# File: A26.sector.csv
# Title: Final energy delivery and reliability (backup) sectors - supplysector characteristics
# Units: NA
# Description: Characteristics of supply sectors for final energy delivery and reliability, setting the Units for price and inputs as well as the logit exponent.
# Source: NA
# Column types: ccccic 
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,logit.type
backup_electricity,EJ,EJ,1975$/GJ,-3,
csp_backup,EJ,EJ,1975$/GJ,-3,
delivered biomass,EJ,EJ,1975$/GJ,-3,
delivered coal,EJ,EJ,1975$/GJ,-3,
electricity_net_ownuse,EJ,EJ,1975$/GJ,-3,
elect_td_bld,EJ,EJ,1975$/GJ,-8,
elect_td_ind,EJ,EJ,1975$/GJ,-3,
elect_td_trn,EJ,EJ,1975$/GJ,-3,
gas pipeline,EJ,EJ,1975$/GJ,-3,
wholesale gas,EJ,EJ,1975$/GJ,-3,
delivered gas,EJ,EJ,1975$/GJ,-3,
refined liquids enduse,EJ,EJ,1975$/GJ,-3,
refined liquids industrial,EJ,EJ,1975$/GJ,-3,
