# File: A324.subsector_shrwt.csv
# Title: agriculture, construction, mining default subsector shareweights
# Units: Unitless
# Column types: ccccn
# ----------
supplysector,subsector,year.fillout,year,share.weight
agricultural energy use,refined liquids,start-year,,1
agricultural energy use,gas,start-year,,1
agricultural energy use,biomass,start-year,,0.1
agricultural energy use,electricity,start-year,,1
agricultural energy use,hydrogen,start-year,,0.1
agricultural energy use,coal,start-year,,1
agricultural energy use,heat,start-year,,1
mining energy use,refined liquids,start-year,,1
mining energy use,gas,start-year,,1
mining energy use,biomass,start-year,,1
mining energy use,electricity,start-year,,1
mining energy use,hydrogen,start-year,,0.1
mining energy use,coal,start-year,,1
mining energy use,heat,start-year,,1
construction,construction,start-year,,1
construction energy use,refined liquids,start-year,,1
construction energy use,gas,start-year,,1
construction energy use,biomass,start-year,,1
construction energy use,electricity,start-year,,1
construction energy use,hydrogen,start-year,,0.1
construction energy use,coal,start-year,,1
construction energy use,heat,start-year,,1
construction feedstocks,refined liquids,start-year,,1
