# File: A54.tranSubsector_interp_revised.csv
# Title: Transportation default subsector shareweight interpolation
# Source: Documented in JIRA issue https://jira.pnnl.gov/jira/browse/JGCRI-358?src=confmacro.
# Units: NA
# Column types: ccccccc 
# ----------
supplysector,tranSubsector,apply.to,from.year,to.year,to.value,interpolation.function
trn_aviation_intl,International Aviation,share-weight,final-calibration-year,end-year,,fixed
trn_freight,Domestic Ship,share-weight,final-calibration-year,end-year,,fixed
trn_freight,Freight Rail,share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Light truck,share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Medium truck,share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Heavy truck,share-weight,final-calibration-year,end-year,,fixed
trn_pass,Cycle,share-weight,final-calibration-year,end-year,,fixed
trn_pass,Domestic Aviation,share-weight,final-calibration-year,end-year,,fixed
trn_pass,HSR,share-weight,final-calibration-year,end-year,,linear
trn_pass,Passenger Rail,share-weight,final-calibration-year,end-year,,fixed
trn_pass,Walk,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road,Bus,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV,2W and 3W,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV_4W,Car,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV_4W,Large Car and Truck,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV_4W,Mini Car,share-weight,final-calibration-year,end-year,,fixed
trn_shipping_intl,International Ship,share-weight,final-calibration-year,end-year,,fixed
trn_pass,road,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road,LDV,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV,4W,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV,2W,share-weight,final-calibration-year,end-year,,fixed
trn_freight,road,share-weight,final-calibration-year,end-year,,fixed
