# File: steel_prod_process.csv
# Title: Crude steel production by country and process
# Units: Thousand tonnes
# Description: National steel production by process (Blast Furnace and Electric Arc Furnace)
# Source: World Steel Association Statistical Year books
# Column types: cinnc
# ----------
country_name,year,BLASTFUR,EAF,unit_prod
Albania,1971,0,3.56,thousand tons
United Arab Emirates,1971,0,64.1,thousand tons
Argentina,1971,1590,1605,thousand tons
Australia,1971,4290,785,thousand tons
Austria,1971,3680,387,thousand tons
Belgium,1971,6350,1944,thousand tons
Bulgaria,1971,1010,429,thousand tons
Bosnia and Herzegovina,1971,38.1,16.76,thousand tons
Belarus,1971,0,1070,thousand tons
Brazil,1971,15800,4092,thousand tons
Canada,1971,6850,4970,thousand tons
Switzerland,1971,0,712,thousand tons
Chile,1971,809,154,thousand tons
China,1971,77200,14420,thousand tons
Colombia,1971,199,271,thousand tons
Cuba,1971,0,239.4,thousand tons
Czech Republic,1971,4060,373,thousand tons
Germany,1971,23500,9500,thousand tons
Denmark,1971,0,571,thousand tons
Dominican Republic,1971,0.0712,27.75,thousand tons
Algeria,1971,536,64.1,thousand tons
Ecuador,1971,0,41.32,thousand tons
Egypt,1971,839,1183,thousand tons
Spain,1971,3000,8300,thousand tons
Estonia,1971,0.712,0,thousand tons
Finland,1971,2230,687,thousand tons
France,1971,8910,6020,thousand tons
United Kingdom,1971,8230,2470,thousand tons
Ghana,1971,0,17.77,thousand tons
Greece,1971,0,775,thousand tons
Guatemala,1971,0.356,118.6,thousand tons
Croatia,1971,0,50.6,thousand tons
Hungary,1971,1170,166,thousand tons
Indonesia,1971,0,2027,thousand tons
India,1971,12300,6910,thousand tons
Ireland,1971,0,257,thousand tons
"Iran, Islamic Republic of",1971,1570,3132,thousand tons
Israel,1971,0,199.9,thousand tons
Italy,1971,7610,11460,thousand tons
Jordan,1971,0,21.33,thousand tons
Japan,1971,54000,21840,thousand tons
Kazakhstan,1971,3400,0,thousand tons
Kenya,1971,0,14.22,thousand tons
"Korea, Republic of",1971,17600,13140,thousand tons
Libyan Arab Jamahiriya,1971,0,751,thousand tons
Sri Lanka,1971,0,21.33,thousand tons
Luxembourg,1971,0,1836,thousand tons
Latvia,1971,353,1.425,thousand tons
Morocco,1971,3.56,0,thousand tons
"Moldova, Republic of",1971,0,647,thousand tons
Mexico,1971,3730,7410,thousand tons
"Macedonia, the former Yugoslav Republic of",1971,0.0712,114.6,thousand tons
Myanmar,1971,0,17.77,thousand tons
Malaysia,1971,0,2604,thousand tons
Netherlands,1971,3920,113.2,thousand tons
Norway,1971,0,484,thousand tons
New Zealand,1971,394,106.6,thousand tons
Pakistan,1971,606,71.2,thousand tons
Peru,1971,204,330.4,thousand tons
Philippines,1971,0,303.8,thousand tons
Poland,1971,5130,2340,thousand tons
"Korea, Democratic Peoples Republic of",1971,1070,0,thousand tons
Portugal,1971,292,483,thousand tons
Paraguay,1971,54.9,0,thousand tons
Qatar,1971,0,520,thousand tons
Romania,1971,2380,945,thousand tons
Russian Federation,1971,36000,6130,thousand tons
Saudi Arabia,1971,0,2120,thousand tons
Singapore,1971,0,429,thousand tons
El Salvador,1971,0.356,28.82,thousand tons
Slovakia,1971,2460,203.6,thousand tons
Slovenia,1971,0,370,thousand tons
Sweden,1971,2300,1419,thousand tons
Syrian Arab Republic,1971,0,49.9,thousand tons
Thailand,1971,0,1499,thousand tons
Trinidad and Tobago,1971,0,528,thousand tons
Tunisia,1971,121,42,thousand tons
Turkey,1971,3730,6480,thousand tons
Taiwan,1971,7100,4930,thousand tons
Ukraine,1971,21900,702,thousand tons
Uruguay,1971,0,27.1,thousand tons
United States of America,1971,38500,34120,thousand tons
Uzbekistan,1971,81.2,209.1,thousand tons
Venezuela,1971,0.285,2736,thousand tons
Viet Nam,1971,0,218.3,thousand tons
South Africa,1971,3330,2711,thousand tons
Angola,1971,0,1,thousand tons
Albania,1972,0,3.62,thousand tons
United Arab Emirates,1972,0,65.1,thousand tons
Argentina,1972,1610,1631,thousand tons
Australia,1972,4360,798,thousand tons
Austria,1972,3740,393,thousand tons
Belgium,1972,6450,1978,thousand tons
Bulgaria,1972,1030,436,thousand tons
Bosnia and Herzegovina,1972,38.7,17.04,thousand tons
Belarus,1972,0,1087,thousand tons
Brazil,1972,16000,4158,thousand tons
Canada,1972,6960,5050,thousand tons
Switzerland,1972,0,724,thousand tons
Chile,1972,822,156.6,thousand tons
China,1972,78400,14631,thousand tons
Colombia,1972,202,275.1,thousand tons
Cuba,1972,0,243.4,thousand tons
Czech Republic,1972,4120,379,thousand tons
Germany,1972,23900,9640,thousand tons
Denmark,1972,0,580,thousand tons
Dominican Republic,1972,0.0724,28.16,thousand tons
Algeria,1972,544,65.1,thousand tons
Ecuador,1972,0,42,thousand tons
Egypt,1972,853,1201,thousand tons
Spain,1972,3050,8440,thousand tons
Estonia,1972,0.724,0,thousand tons
Finland,1972,2270,698,thousand tons
France,1972,9060,6110,thousand tons
United Kingdom,1972,8360,2510,thousand tons
Ghana,1972,0,18.14,thousand tons
Greece,1972,0,788,thousand tons
Guatemala,1972,0.362,120.5,thousand tons
Croatia,1972,0,51.4,thousand tons
Hungary,1972,1190,168.7,thousand tons
Indonesia,1972,0,2065,thousand tons
India,1972,12500,7010,thousand tons
Ireland,1972,0,261,thousand tons
"Iran, Islamic Republic of",1972,1590,3184,thousand tons
Israel,1972,0,202.6,thousand tons
Italy,1972,7730,11640,thousand tons
Jordan,1972,0,21.71,thousand tons
Japan,1972,54900,22170,thousand tons
Kazakhstan,1972,3450,0,thousand tons
Kenya,1972,0,14.47,thousand tons
"Korea, Republic of",1972,17900,13360,thousand tons
Libyan Arab Jamahiriya,1972,0,763,thousand tons
Sri Lanka,1972,0,21.71,thousand tons
Luxembourg,1972,0,1859,thousand tons
Latvia,1972,359,1.448,thousand tons
Morocco,1972,3.62,0,thousand tons
"Moldova, Republic of",1972,0,657,thousand tons
Mexico,1972,3790,7530,thousand tons
"Macedonia, the former Yugoslav Republic of",1972,0.0724,116.5,thousand tons
Myanmar,1972,0,18.14,thousand tons
Malaysia,1972,0,2644,thousand tons
Netherlands,1972,3990,115.1,thousand tons
Norway,1972,0,491,thousand tons
New Zealand,1972,400,108.3,thousand tons
Pakistan,1972,615,72.4,thousand tons
Peru,1972,208,335.7,thousand tons
Philippines,1972,0,308,thousand tons
Poland,1972,5220,2380,thousand tons
"Korea, Democratic Peoples Republic of",1972,1090,0,thousand tons
Portugal,1972,297,491,thousand tons
Paraguay,1972,55.7,0,thousand tons
Qatar,1972,0,528,thousand tons
Romania,1972,2420,959,thousand tons
Russian Federation,1972,36600,6230,thousand tons
Saudi Arabia,1972,0,2158,thousand tons
Singapore,1972,0,437,thousand tons
El Salvador,1972,0.362,29.34,thousand tons
Slovakia,1972,2500,207.1,thousand tons
Slovenia,1972,0,375,thousand tons
Sweden,1972,2340,1443,thousand tons
Syrian Arab Republic,1972,0,50.7,thousand tons
Thailand,1972,0,1525,thousand tons
Trinidad and Tobago,1972,0,537,thousand tons
Tunisia,1972,123,42.8,thousand tons
Turkey,1972,3790,6590,thousand tons
Taiwan,1972,7220,5010,thousand tons
Ukraine,1972,22300,713,thousand tons
Uruguay,1972,0,27.5,thousand tons
United States of America,1972,39100,34660,thousand tons
Uzbekistan,1972,82.5,211.9,thousand tons
Venezuela,1972,0.29,2776,thousand tons
Viet Nam,1972,0,221.2,thousand tons
South Africa,1972,3380,2751,thousand tons
Angola,1972,0,1,thousand tons
Albania,1973,0,3.68,thousand tons
United Arab Emirates,1973,0,66.2,thousand tons
Argentina,1973,1640,1657,thousand tons
Australia,1973,4430,811,thousand tons
Austria,1973,3800,400,thousand tons
Belgium,1973,6550,2002,thousand tons
Bulgaria,1973,1040,443,thousand tons
Bosnia and Herzegovina,1973,39.3,17.33,thousand tons
Belarus,1973,0,1105,thousand tons
Brazil,1973,16300,4220,thousand tons
Canada,1973,7070,5130,thousand tons
Switzerland,1973,0,736,thousand tons
Chile,1973,835,159.2,thousand tons
China,1973,79700,14843,thousand tons
Colombia,1973,206,280.1,thousand tons
Cuba,1973,0,247.3,thousand tons
Czech Republic,1973,4190,384,thousand tons
Germany,1973,24300,9800,thousand tons
Denmark,1973,0,589,thousand tons
Dominican Republic,1973,0.0735,28.57,thousand tons
Algeria,1973,553,66.2,thousand tons
Ecuador,1973,0,42.6,thousand tons
Egypt,1973,866,1221,thousand tons
Spain,1973,3100,8570,thousand tons
Estonia,1973,0.735,0,thousand tons
Finland,1973,2300,709,thousand tons
France,1973,9200,6210,thousand tons
United Kingdom,1973,8500,2550,thousand tons
Ghana,1973,0,18.41,thousand tons
Greece,1973,0,800,thousand tons
Guatemala,1973,0.368,122.5,thousand tons
Croatia,1973,0,52.2,thousand tons
Hungary,1973,1200,171.4,thousand tons
Indonesia,1973,0,2093,thousand tons
India,1973,12700,7130,thousand tons
Ireland,1973,0,265,thousand tons
"Iran, Islamic Republic of",1973,1620,3237,thousand tons
Israel,1973,0,206.4,thousand tons
Italy,1973,7850,11820,thousand tons
Jordan,1973,0,22.1,thousand tons
Japan,1973,55700,22590,thousand tons
