# File: A25.globaltech_eff.csv
# Title: Hydrogen efficiencies 
# Units: Unitless
# Comments: Different from GCAM 3.0 in that CCS tech efficiencies take into account electricity inputs and outputs (using 3:1 conversion)
# Column types: ccccnnnnnnnn 
# ----------
supplysector,subsector,technology,minicam.energy.input,1971,2020,2035,2050,2065,2080,2095,2100
H2 central production,coal,coal chemical,regional coal,0.640,0.640,0.660,0.680,0.701,0.712,0.722,0.722
H2 central production,coal,coal chemical CCS,regional coal,0.586,0.586,0.604,0.623,0.642,0.652,0.662,0.662
H2 central production,gas,natural gas steam reforming,regional natural gas,0.703,0.703,0.715,0.728,0.741,0.752,0.763,0.763
H2 central production,gas,natural gas steam reforming CCS,regional natural gas,0.656,0.656,0.673,0.689,0.706,0.717,0.728,0.728
H2 central production,biomass,biomass to H2,regional biomass,0.451,0.451,0.465,0.480,0.494,0.502,0.509,0.509
H2 central production,biomass,biomass to H2 CCS,regional biomass,0.451,0.451,0.465,0.480,0.494,0.502,0.509,0.509
H2 central production,nuclear,thermal splitting,nuclearFuelGenIII,0.850,0.850,0.850,0.850,0.850,0.863,0.876,0.876
H2 central production,electricity,electrolysis,elect_td_ind,0.626,0.626,0.654,0.682,0.712,0.723,0.734,0.734
H2 central production,wind,electrolysis,onshore wind resource,0.626,0.626,0.654,0.682,0.712,0.723,0.734,0.734
H2 central production,solar,electrolysis,global solar resource,0.626,0.626,0.654,0.682,0.712,0.723,0.734,0.734
H2 forecourt production,gas,natural gas steam reforming,delivered gas,0.561,0.561,0.587,0.615,0.643,0.653,0.663,0.663
H2 forecourt production,electricity,electrolysis,elect_td_trn,0.601,0.601,0.627,0.655,0.684,0.694,0.704,0.704
H2 distribution,H2 distribution,H2 distribution,H2 central production,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
H2 enduse,H2 distribution,H2 distribution,H2 distribution,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
H2 enduse,H2 forecourt production,H2 forecourt production,H2 forecourt production,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
