# File: A327.globaltech_coef.csv
# Title: Paper and paperboard production default coefficients
# Units: GJ per kg (EJ of energy per Mt of paper and paperboard) for paper and paperboard; unitless (EJ energy per EJ heat) for process heat
# Column types: cccccnn
# ----------
supplysector,subsector,technology,minicam.energy.input,secondary.output,1975,2100
waste biomass for paper,biomass,biomass,regional woodpulp for energy,,1.43,1.43
waste biomass for paper,biomass,biomass cogen,regional woodpulp for energy,electricity,1.82,1.82
waste biomass for paper,biomass,biomass CCS,regional woodpulp for energy,,1.93,1.93
process heat paper,gas,gas,wholesale gas,,1.25,1.25
process heat paper,gas,gas cogen,wholesale gas,electricity,1.67,1.67
process heat paper,refined liquids,refined liquids,refined liquids industrial,,1.25,1.25
process heat paper,refined liquids,refined liquids cogen,refined liquids industrial,electricity,1.67,1.67
process heat paper,heat,heat,district heat,,1,1
process heat paper,coal,coal,delivered coal,,1.25,1.25
process heat paper,coal,coal cogen,delivered coal,electricity,1.67,1.67
process heat paper,electricity,electric boiler,elect_td_ind,,1,1
process heat paper,electricity,electric heat pump,elect_td_ind,,0.45,0.45
process heat paper,hydrogen,hydrogen,H2 industrial,,1.18,1.18
