# File: WSA_steel_prod_2015-2020.csv
# Title: Crude steel production by region
# Units: Mt
# Description: Crude steel production 2020 for deep dive regions
# Source: World Steel Association
# Column types: cnnnnnn
# ----------
region,2015,2016,2017,2018,2019,2020
China,803.825,807.6094,870.8545,928.26,1053,1053
USA,78.845262,78.475017,81.612209,86.607386,87.761182,72.7
South Korea,69.670481,68.575794,71.029994,72.464039,71.411852,67.1
Japan,105.134378,104.775329,104.661087,104.318836,99.284114,83.2
India,89.026383,95.476616,101.454678,109.271969,111.350704,99.6
EU ,177.8461408,175.030507,182.37761,178.882566,169.4124,138.8
EU-12,25.19528533,24.805277,26.418857,26.688975,23.399811,
EU-15,152.6508554,150.22523,155.958753,152.193591,146.012589,
Argentina,5.0,4.1,4.6,5.2,4.6,
Australia_NZ,5.717334,5.83658,5.985367,6.340625,6.159864,
Brazil,33.3,31.6,34.8,35.4,32.6,
Canada,12.5,12.6,13.2,13.4,12.9,
Colombia,1.211073,1.271895,1.252758,1.219009,1.332817,
Indonesia,4.8542,4.745908,5.195078,6.182981,7.783361,
Mexico,18.217748,18.823632,19.924137,20.20397,18.386996,
Pakistan,2.892001,3.553,4.966,4.719,3.304036,
Russia,70.898,70.453,71.491,72.122,71.897,
South Africa,6.4171,6.1413,6.3012,6.3273,6.1517,
South Korea,69.670481,68.575794,71.029994,72.464039,71.411852,
Taiwan,21.392483,21.750889,22.437827,23.240461,21.954356,
USA,78.845262,78.475017,81.612209,86.607386,87.761182,
