# File: A44.dens_region_flsp.csv
# Title: Population density per GCAM region and period
# Units: pop/km2
# Source: World Bank Statistics
# Column types: cin
# ----------
region,year,tot_dens
Africa_Eastern,1975,16
Africa_Northern,1975,14
Africa_Southern,1975,9
Africa_Western,1975,14
Argentina,1975,9
Australia_NZ,1975,2
Brazil,1975,13
Canada,1975,3
Central America and Caribbean,1975,65
Central Asia,1975,9
China,1975,100
Colombia,1975,21
EU-12,1975,93
EU-15,1975,67
Europe_Eastern,1975,75
Europe_Non_EU,1975,59
European Free Trade Association,1975,23
India,1975,199
Indonesia,1975,70
Japan,1975,294
Mexico,1975,31
Middle East,1975,15
Pakistan,1975,77
Russia,1975,8
South Africa,1975,21
South America_Northern,1975,11
South America_Southern,1975,11
South Asia,1975,108
South Korea,1975,350
Southeast Asia,1975,66
Taiwan,1975,470
USA,1975,24
Africa_Eastern,1990,25
Africa_Northern,1990,21
Africa_Southern,1990,15
Africa_Western,1990,21
Argentina,1990,12
Australia_NZ,1990,3
Brazil,1990,18
Canada,1990,3
Central America and Caribbean,1990,86
Central Asia,1990,12
China,1990,127
Colombia,1990,29
EU-12,1990,100
EU-15,1990,70
Europe_Eastern,1990,80
Europe_Non_EU,1990,76
European Free Trade Association,1990,24
India,1990,279
Indonesia,1990,97
Japan,1990,326
Mexico,1990,43
Middle East,1990,26
Pakistan,1990,124
Russia,1990,9
South Africa,1990,30
South America_Northern,1990,16
South America_Southern,1990,15
South Asia,1990,149
South Korea,1990,425
Southeast Asia,1990,92
Taiwan,1990,585
USA,1990,28
Africa_Eastern,2005,38
Africa_Northern,2005,27
Africa_Southern,2005,22
Africa_Western,2005,32
Argentina,2005,14
Australia_NZ,2005,3
Brazil,2005,22
Canada,2005,4
Central America and Caribbean,2005,109
Central Asia,2005,14
China,2005,144
Colombia,2005,38
EU-12,2005,97
EU-15,2005,74
Europe_Eastern,2005,73
Europe_Non_EU,2005,88
European Free Trade Association,2005,26
India,2005,366
Indonesia,2005,121
Japan,2005,336
Mexico,2005,55
Middle East,2005,37
Pakistan,2005,185
Russia,2005,9
South Africa,2005,39
South America_Northern,2005,21
South America_Southern,2005,19
South Asia,2005,205
South Korea,2005,482
Southeast Asia,2005,116
Taiwan,2005,649
USA,2005,33
Africa_Eastern,2010,44
Africa_Northern,2010,29
Africa_Southern,2010,25
Africa_Western,2010,37
Argentina,2010,15
Australia_NZ,2010,3
Brazil,2010,23
Canada,2010,4
Central America and Caribbean,2010,116
Central Asia,2010,15
China,2010,148
Colombia,2010,40
EU-12,2010,95
EU-15,2010,76
Europe_Eastern,2010,72
Europe_Non_EU,2010,92
European Free Trade Association,2010,28
India,2010,394
Indonesia,2010,130
Japan,2010,336
Mexico,2010,59
Middle East,2010,42
Pakistan,2010,207
Russia,2010,9
South Africa,2010,42
South America_Northern,2010,22
South America_Southern,2010,21
South Asia,2010,219
South Korea,2010,491
Southeast Asia,2010,123
Taiwan,2010,663
USA,2010,34
Africa_Eastern,2015,50
Africa_Northern,2015,32
Africa_Southern,2015,29
Africa_Western,2015,42
Argentina,2015,16
Australia_NZ,2015,4
Brazil,2015,24
Canada,2015,4
Central America and Caribbean,2015,123
Central Asia,2015,16
China,2015,152
Colombia,2015,42
EU-12,2015,94
EU-15,2015,77
Europe_Eastern,2015,71
Europe_Non_EU,2015,98
European Free Trade Association,2015,30
India,2015,418
Indonesia,2015,139
Japan,2015,335
Mexico,2015,63
Middle East,2015,47
Pakistan,2015,230
Russia,2015,9
South Africa,2015,45
South America_Northern,2015,24
South America_Southern,2015,22
South Asia,2015,233
South Korea,2015,503
Southeast Asia,2015,130
Taiwan,2015,673
USA,2015,36
Africa_Eastern,2020,56
Africa_Northern,2020,34
Africa_Southern,2020,32
Africa_Western,2020,48
Argentina,2020,16
Australia_NZ,2020,4
Brazil,2020,25
Canada,2020,4
Central America and Caribbean,2020,130
Central Asia,2020,16
China,2020,154
Colombia,2020,44
EU-12,2020,94
EU-15,2020,79
Europe_Eastern,2020,69
Europe_Non_EU,2020,102
European Free Trade Association,2020,31
India,2020,444
Indonesia,2020,144
Japan,2020,332
Mexico,2020,66
Middle East,2020,51
Pakistan,2020,251
Russia,2020,9
South Africa,2020,47
South America_Northern,2020,25
South America_Southern,2020,23
South Asia,2020,250
South Korea,2020,508
Southeast Asia,2020,137
Taiwan,2020,673
USA,2020,37
Africa_Eastern,2025,62
Africa_Northern,2025,36
Africa_Southern,2025,36
Africa_Western,2025,53
Argentina,2025,17
Australia_NZ,2025,4
Brazil,2025,26
Canada,2025,4
Central America and Caribbean,2025,135
Central Asia,2025,17
China,2025,155
Colombia,2025,47
EU-12,2025,93
EU-15,2025,80
Europe_Eastern,2025,67
Europe_Non_EU,2025,105
European Free Trade Association,2025,32
India,2025,467
Indonesia,2025,149
Japan,2025,326
Mexico,2025,69
Middle East,2025,55
Pakistan,2025,271
Russia,2025,9
South Africa,2025,49
South America_Northern,2025,26
South America_Southern,2025,24
South Asia,2025,265
South Korea,2025,511
Southeast Asia,2025,142
Taiwan,2025,673
USA,2025,38
Africa_Eastern,2030,69
Africa_Northern,2030,38
Africa_Southern,2030,39
Africa_Western,2030,59
Argentina,2030,17
Australia_NZ,2030,4
Brazil,2030,27
Canada,2030,5
Central America and Caribbean,2030,140
Central Asia,2030,17
China,2030,154
Colombia,2030,49
EU-12,2030,92
EU-15,2030,81
Europe_Eastern,2030,66
Europe_Non_EU,2030,108
European Free Trade Association,2030,33
India,2030,489
Indonesia,2030,153
Japan,2030,320
Mexico,2030,72
Middle East,2030,59
Pakistan,2030,290
Russia,2030,9
South Africa,2030,51
South America_Northern,2030,28
South America_Southern,2030,25
South Asia,2030,280
South Korea,2030,511
Southeast Asia,2030,147
Taiwan,2030,673
USA,2030,40
Africa_Eastern,2035,75
Africa_Northern,2035,39
Africa_Southern,2035,43
Africa_Western,2035,64
Argentina,2035,18
Australia_NZ,2035,5
Brazil,2035,27
Canada,2035,5
Central America and Caribbean,2035,144
Central Asia,2035,17
China,2035,153
Colombia,2035,50
EU-12,2035,91
EU-15,2035,82
Europe_Eastern,2035,64
Europe_Non_EU,2035,111
European Free Trade Association,2035,34
India,2035,509
Indonesia,2035,156
Japan,2035,313
Mexico,2035,74
Middle East,2035,63
Pakistan,2035,307
Russia,2035,9
South Africa,2035,52
South America_Northern,2035,29
South America_Southern,2035,25
South Asia,2035,293
South Korea,2035,508
Southeast Asia,2035,151
Taiwan,2035,673
USA,2035,41
Africa_Eastern,2040,80
Africa_Northern,2040,40
Africa_Southern,2040,46
Africa_Western,2040,70
Argentina,2040,18
Australia_NZ,2040,5
Brazil,2040,27
Canada,2040,5
Central America and Caribbean,2040,147
Central Asia,2040,18
China,2040,150
Colombia,2040,52
EU-12,2040,90
EU-15,2040,83
Europe_Eastern,2040,63
Europe_Non_EU,2040,113
European Free Trade Association,2040,35
India,2040,526
Indonesia,2040,158
Japan,2040,305
Mexico,2040,76
Middle East,2040,67
Pakistan,2040,324
Russia,2040,9
South Africa,2040,53
South America_Northern,2040,30
South America_Southern,2040,26
South Asia,2040,305
South Korea,2040,500
Southeast Asia,2040,154
Taiwan,2040,673
USA,2040,42
Africa_Eastern,2045,86
Africa_Northern,2045,41
Africa_Southern,2045,50
Africa_Western,2045,76
Argentina,2045,18
Australia_NZ,2045,5
Brazil,2045,28
Canada,2045,5
Central America and Caribbean,2045,150
Central Asia,2045,18
China,2045,146
Colombia,2045,53
EU-12,2045,88
EU-15,2045,84
Europe_Eastern,2045,62
Europe_Non_EU,2045,115
European Free Trade Association,2045,36
India,2045,542
Indonesia,2045,159
Japan,2045,297
Mexico,2045,77
Middle East,2045,70
Pakistan,2045,340
Russia,2045,9
South Africa,2045,54
South America_Northern,2045,31
South America_Southern,2045,26
South Asia,2045,316
South Korea,2045,489
Southeast Asia,2045,156
Taiwan,2045,673
USA,2045,43
Africa_Eastern,2050,91
Africa_Northern,2050,42
Africa_Southern,2050,53
Africa_Western,2050,82
Argentina,2050,18
Australia_NZ,2050,5
Brazil,2050,28
Canada,2050,5
Central America and Caribbean,2050,152
Central Asia,2050,18
China,2050,141
Colombia,2050,54
EU-12,2050,87
EU-15,2050,84
Europe_Eastern,2050,61
Europe_Non_EU,2050,116
European Free Trade Association,2050,37
India,2050,554
Indonesia,2050,158
Japan,2050,289
Mexico,2050,78
Middle East,2050,73
Pakistan,2050,354
Russia,2050,9
South Africa,2050,55
South America_Northern,2050,31
South America_Southern,2050,26
South Asia,2050,324
South Korea,2050,475
Southeast Asia,2050,158
Taiwan,2050,673
USA,2050,44
Africa_Eastern,2055,96
Africa_Northern,2055,43
Africa_Southern,2055,56
Africa_Western,2055,87
Argentina,2055,18
Australia_NZ,2055,5
Brazil,2055,28
Canada,2055,5
Central America and Caribbean,2055,153
Central Asia,2055,18
China,2055,136
Colombia,2055,55
EU-12,2055,85
EU-15,2055,85
Europe_Eastern,2055,60
Europe_Non_EU,2055,116
European Free Trade Association,2055,38
India,2055,564
Indonesia,2055,157
Japan,2055,280
Mexico,2055,79
Middle East,2055,76
Pakistan,2055,366
Russia,2055,8
South Africa,2055,55
South America_Northern,2055,32
South America_Southern,2055,26
South Asia,2055,331
South Korea,2055,459
Southeast Asia,2055,158
Taiwan,2055,673
USA,2055,45
Africa_Eastern,2060,100
Africa_Northern,2060,43
Africa_Southern,2060,59
Africa_Western,2060,92
Argentina,2060,18
Australia_NZ,2060,6
Brazil,2060,27
Canada,2060,6
Central America and Caribbean,2060,153
Central Asia,2060,18
China,2060,130
Colombia,2060,55
EU-12,2060,84
EU-15,2060,85
Europe_Eastern,2060,59
Europe_Non_EU,2060,116
European Free Trade Association,2060,39
India,2060,569
Indonesia,2060,155
Japan,2060,272
Mexico,2060,79
Middle East,2060,78
Pakistan,2060,375
Russia,2060,8
South Africa,2060,55
South America_Northern,2060,32
South America_Southern,2060,26
South Asia,2060,336
South Korea,2060,441
Southeast Asia,2060,158
Taiwan,2060,673
USA,2060,46
Africa_Eastern,2065,104
Africa_Northern,2065,44
Africa_Southern,2065,61
Africa_Western,2065,96
Argentina,2065,18
Australia_NZ,2065,6
Brazil,2065,27
Canada,2065,6
Central America and Caribbean,2065,153
Central Asia,2065,17
China,2065,124
Colombia,2065,56
EU-12,2065,82
EU-15,2065,85
Europe_Eastern,2065,58
Europe_Non_EU,2065,116
European Free Trade Association,2065,39
India,2065,571
Indonesia,2065,153
Japan,2065,263
Mexico,2065,79
Middle East,2065,80
Pakistan,2065,382
Russia,2065,8
South Africa,2065,56
South America_Northern,2065,32
South America_Southern,2065,26
South Asia,2065,339
South Korea,2065,423
Southeast Asia,2065,157
Taiwan,2065,673
USA,2065,47
Africa_Eastern,2070,107
Africa_Northern,2070,44
Africa_Southern,2070,64
Africa_Western,2070,100
Argentina,2070,18
Australia_NZ,2070,6
Brazil,2070,26
Canada,2070,6
Central America and Caribbean,2070,152
Central Asia,2070,17
China,2070,118
Colombia,2070,56
EU-12,2070,79
EU-15,2070,85
Europe_Eastern,2070,57
Europe_Non_EU,2070,115
European Free Trade Association,2070,40
India,2070,570
Indonesia,2070,150
Japan,2070,254
