# File: A54.globaltranTech_retire.csv
# Title: Transportation technology retirement parameters. Only applies to vintaged technologies
# Units: Years for lifetime and half.life; Unitless for steepness
# Comments: maximum lifetime of cohort. If no retirement function is used; the entire cohort is retired in this number of years.
# half.life: number of years at which 50% of the cohort is retired; using the s-curve-shutdown-decider retirement function.
# steepness: shape parameter used by the s-curve-shutdown-decider retirement function.
# Column types: cccciinnn
# ----------
supplysector,tranSubsector,tranTechnology,year,lifetime,half.life,steepness,median.shutdown.point,profit.shutdown.steepness
trn_freight_road,Truck,Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck,NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (>12t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (>12t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (>14t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (>14t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (>15t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (>15t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (>32t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (>32t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (0-1t),Liquids,final-calibration-year,20,10,0.23,-0.1,6
trn_freight_road,Truck (0-1t),NG,final-calibration-year,20,10,0.23,-0.1,6
trn_freight_road,Truck (0-2.7t),Liquids,final-calibration-year,20,10,0.23,-0.1,6
trn_freight_road,Truck (0-2.7t),NG,final-calibration-year,20,10,0.23,-0.1,6
trn_freight_road,Truck (0-2t),Liquids,final-calibration-year,20,10,0.23,-0.1,6
trn_freight_road,Truck (0-2t),NG,final-calibration-year,20,10,0.23,-0.1,6
trn_freight_road,Truck (0-3.5t),Liquids,final-calibration-year,20,10,0.23,-0.1,6
trn_freight_road,Truck (0-3.5t),NG,final-calibration-year,20,10,0.23,-0.1,6
trn_freight_road,Truck (0-4.5t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (0-4.5t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (0-6t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (0-6t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (1-6t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (1-6t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (16-32t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (16-32t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (2-5t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (2-5t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (2.7-4.5t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (2.7-4.5t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (3.5-16t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (3.5-16t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (4.5-12t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (4.5-12t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (4.5-15t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (4.5-15t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (5-9t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (5-9t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (6-14t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (6-14t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (6-15t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (6-15t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (6-30t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (6-30t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (9-16t),Liquids,final-calibration-year,20,10,0.124,-0.1,6
trn_freight_road,Truck (9-16t),NG,final-calibration-year,20,10,0.124,-0.1,6
trn_pass_road_LDV_4W,Compact Car,BEV,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Compact Car,FCEV,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Compact Car,Hybrid Liquids,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Compact Car,Liquids,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Compact Car,NG,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Large Car,BEV,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Large Car,FCEV,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Large Car,Hybrid Liquids,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Large Car,Liquids,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Large Car,NG,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Large Car and SUV,BEV,final-calibration-year,25,11,0.23,-0.1,6
trn_pass_road_LDV_4W,Large Car and SUV,FCEV,final-calibration-year,25,11,0.23,-0.1,6
trn_pass_road_LDV_4W,Large Car and SUV,Hybrid Liquids,final-calibration-year,25,11,0.23,-0.1,6
trn_pass_road_LDV_4W,Large Car and SUV,Liquids,final-calibration-year,25,11,0.23,-0.1,6
trn_pass_road_LDV_4W,Large Car and SUV,NG,final-calibration-year,25,11,0.23,-0.1,6
trn_pass_road_LDV_4W,Light Truck and SUV,BEV,final-calibration-year,25,11,0.23,-0.1,6
trn_pass_road_LDV_4W,Light Truck and SUV,FCEV,final-calibration-year,25,11,0.23,-0.1,6
trn_pass_road_LDV_4W,Light Truck and SUV,Hybrid Liquids,final-calibration-year,25,11,0.23,-0.1,6
trn_pass_road_LDV_4W,Light Truck and SUV,Liquids,final-calibration-year,25,11,0.23,-0.1,6
trn_pass_road_LDV_4W,Light Truck and SUV,NG,final-calibration-year,25,11,0.23,-0.1,6
trn_pass_road_LDV_4W,Midsize Car,BEV,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Midsize Car,FCEV,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Midsize Car,Hybrid Liquids,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Midsize Car,Liquids,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Midsize Car,NG,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Mini Car,BEV,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Mini Car,FCEV,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Mini Car,Liquids,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Mini Car,NG,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Multipurpose Vehicle,BEV,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Multipurpose Vehicle,FCEV,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Multipurpose Vehicle,Hybrid Liquids,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Multipurpose Vehicle,Liquids,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Multipurpose Vehicle,NG,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Subcompact Car,BEV,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Subcompact Car,FCEV,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Subcompact Car,Hybrid Liquids,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Subcompact Car,Liquids,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Subcompact Car,NG,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Van,BEV,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Van,FCEV,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Van,Hybrid Liquids,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Van,Liquids,final-calibration-year,25,11,0.218,-0.1,6
trn_pass_road_LDV_4W,Van,NG,final-calibration-year,25,11,0.218,-0.1,6
trn_freight_road,Truck,Liquids,initial-future-year,20,10,0.122,-0.1,6
