# File: A44.pcflsp_default.csv
# Title: Default per-capita assumption to use for countries with no floorspace data
# Units: Floorspace (m2) per person
# Source: GCAM 3.0 assumptions (Jiyong Eom); India from https://eaei.lbl.gov/publications/strategies-low-carbon-growth-india
# Column types: ccnnn 
# ----------
region_GCAM3,gcam.consumer,1975,1990,2005
USA,resid,62.25796962,66.46814215,69.39578954
Canada,resid,37.25575198,43.05999819,48.33038306
Western Europe,resid,29.38865067,35.38621375,40
Japan,resid,6.331875622,28.74803283,34.56937323
Australia_NZ,resid,36.50304432,40.32238926,47.17862756
Former Soviet Union,resid,24.6120462,24.62160688,24.40555037
China,resid,26.59514901,26.90553353,28.14095812
Middle East,resid,20.89452677,18.40464827,20
Africa,resid,8.99973208,8.959575547,9.089594367
Latin America,resid,15.47345991,15.86076797,17.595
Southeast Asia,resid,6.210086019,7.269943062,8.52
Eastern Europe,resid,26.9530431,27.35131696,29.00908976
Korea,resid,5.009224663,12.23536805,22.22365076
India,resid,9.917673684,10.10755795,10.62
USA,comm,23.18527307,24.59389731,25.55633403
Canada,comm,17.18980921,18.76713091,20.20545826
Western Europe,comm,15.24736089,16.49043341,17.4480639
Japan,comm,4.213465364,11.70292703,13.63394651
Australia_NZ,comm,14.13618349,15.60261329,18.24068422
Former Soviet Union,comm,7.570519739,7.574435101,7.485972843
China,comm,8.38514849,8.520572741,9.059547115
Middle East,comm,10.25747567,9.540961892,10
Africa,comm,2.966059312,2.950893177,3
Latin America,comm,7.262955005,7.397689111,8
Southeast Asia,comm,4.21295963,4.574284966,5
Eastern Europe,comm,6.33930804,6.561920054,7.485972843
Korea,comm,9.430403565,11.39907001,13.91244933
India,comm,0.171296129,0.249268525,0.66
