# File: A11.fos_curves.csv
# Title: GCAM 3.0 fossil resource supply curves
# Units: available: EJ; extractioncost: 1975$/GJ
# Source: MiniCAM inputs, derived from analysis of Rogner 1997, https://doi.org/10.1146/annurev.energy.22.1.217
# Column types: ccccnn 
# ----------
region_GCAM3,resource,subresource,grade,available,extractioncost
Africa,coal,coal,grade 1,56,0.34
Africa,coal,coal,grade 2,1059,0.37
Africa,coal,coal,grade 3,723,1.2
Africa,coal,coal,grade 4,1026,1.7
Africa,coal,coal,grade 5,1406,2
Africa,coal,coal,grade 6,1406,2.3
Africa,coal,coal,grade 7,0,2.6
Australia_NZ,coal,coal,grade 1,57,0.34
Australia_NZ,coal,coal,grade 2,1186,0.37
Australia_NZ,coal,coal,grade 3,1753,1.2
Australia_NZ,coal,coal,grade 4,2491,1.7
Australia_NZ,coal,coal,grade 5,3414,2
Australia_NZ,coal,coal,grade 6,3414,2.3
Australia_NZ,coal,coal,grade 7,0,2.6
Canada,coal,coal,grade 1,20,0.34
Canada,coal,coal,grade 2,293,0.37
Canada,coal,coal,grade 3,293,1.2
Canada,coal,coal,grade 4,415,1.7
Canada,coal,coal,grade 5,569,2
Canada,coal,coal,grade 6,569,2.3
Canada,coal,coal,grade 7,0,2.6
China,coal,coal,grade 1,295,0.34
China,coal,coal,grade 2,7032,0.37
China,coal,coal,grade 3,4820,1.2
China,coal,coal,grade 4,6849,1.7
China,coal,coal,grade 5,9387,2
China,coal,coal,grade 6,9387,2.3
China,coal,coal,grade 7,0,2.6
Eastern Europe,coal,coal,grade 1,86,0.34
Eastern Europe,coal,coal,grade 2,390,0.37
Eastern Europe,coal,coal,grade 3,689,1.2
Eastern Europe,coal,coal,grade 4,979,1.7
Eastern Europe,coal,coal,grade 5,1341,2
Eastern Europe,coal,coal,grade 6,1341,2.3
Eastern Europe,coal,coal,grade 7,0,2.6
Former Soviet Union,coal,coal,grade 1,158,0.34
Former Soviet Union,coal,coal,grade 2,8728,0.37
Former Soviet Union,coal,coal,grade 3,15404,1.2
Former Soviet Union,coal,coal,grade 4,21890,1.7
Former Soviet Union,coal,coal,grade 5,29997,2
Former Soviet Union,coal,coal,grade 6,29997,2.3
Former Soviet Union,coal,coal,grade 7,0,2.6
India,coal,coal,grade 1,55,0.34
India,coal,coal,grade 2,1018,0.37
India,coal,coal,grade 3,434,1.2
India,coal,coal,grade 4,616,1.7
India,coal,coal,grade 5,845,2
India,coal,coal,grade 6,845,2.3
India,coal,coal,grade 7,0,2.6
Japan,coal,coal,grade 1,2,0.34
Japan,coal,coal,grade 2,336,0.37
Japan,coal,coal,grade 3,496,1.2
Japan,coal,coal,grade 4,704,1.7
Japan,coal,coal,grade 5,965,2
Japan,coal,coal,grade 6,965,2.3
Japan,coal,coal,grade 7,0,2.6
Korea,coal,coal,grade 1,4,0.34
Korea,coal,coal,grade 2,17,0.37
Korea,coal,coal,grade 3,0,1.2
Korea,coal,coal,grade 4,0,1.7
Korea,coal,coal,grade 5,0,2
Korea,coal,coal,grade 6,0,2.3
Korea,coal,coal,grade 7,0,2.6
Latin America,coal,coal,grade 1,11,0.34
Latin America,coal,coal,grade 2,116,0.37
Latin America,coal,coal,grade 3,144,1.2
Latin America,coal,coal,grade 4,205,1.7
Latin America,coal,coal,grade 5,280,2
Latin America,coal,coal,grade 6,280,2.3
Latin America,coal,coal,grade 7,0,2.6
Middle East,coal,coal,grade 1,0,0.34
Middle East,coal,coal,grade 2,2,0.37
Middle East,coal,coal,grade 3,2,1.2
Middle East,coal,coal,grade 4,3,1.7
Middle East,coal,coal,grade 5,4,2
Middle East,coal,coal,grade 6,4,2.3
Middle East,coal,coal,grade 7,0,2.6
Southeast Asia,coal,coal,grade 1,6,0.34
Southeast Asia,coal,coal,grade 2,1018,0.37
Southeast Asia,coal,coal,grade 3,434,1.2
Southeast Asia,coal,coal,grade 4,616,1.7
Southeast Asia,coal,coal,grade 5,845,2
Southeast Asia,coal,coal,grade 6,845,2.3
Southeast Asia,coal,coal,grade 7,0,2.6
