# File: A54.tranSubsector_interp.csv
# Title: Transportation default subsector shareweight interpolation
# Units: NA
# Column types: ccccccc 
# ----------
supplysector,tranSubsector,apply.to,from.year,to.year,to.value,interpolation.function
trn_aviation_intl,International Aviation,share-weight,final-calibration-year,end-year,,fixed
trn_freight,Domestic Ship,share-weight,final-calibration-year,end-year,,fixed
trn_freight,Freight Rail,share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,3W Rural,share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck,share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (>12t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (>14t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (>15t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (>32t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (0-1t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (0-2.7t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (0-2t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (0-3.5t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (0-4.5t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (0-6t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (1-6t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (16-32t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (2-5t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (2.7-4.5t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (3.5-16t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (4.5-12t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (4.5-15t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (5-9t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (6-14t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (6-15t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (6-30t),share-weight,final-calibration-year,end-year,,fixed
trn_freight_road,Truck (9-16t),share-weight,final-calibration-year,end-year,,fixed
trn_pass,Cycle,share-weight,final-calibration-year,end-year,,fixed
trn_pass,Domestic Aviation,share-weight,final-calibration-year,end-year,,fixed
trn_pass,HSR,share-weight,final-calibration-year,end-year,,linear
trn_pass,Passenger Rail,share-weight,final-calibration-year,end-year,,fixed
trn_pass,Walk,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road,Bus,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_bus,Heavy Bus,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_bus,Light Bus,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV,Three-Wheeler,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV_2W,Moped,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV_2W,Motorcycle (>250cc),share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV_2W,Motorcycle (50-250cc),share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV_2W,Motorcycle (50-250cc),share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV_2W,Scooter,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV_4W,Compact Car,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV_4W,Large Car,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV_4W,Large Car and SUV,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV_4W,Light Truck and SUV,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV_4W,Midsize Car,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV_4W,Mini Car,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV_4W,Multipurpose Vehicle,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV_4W,Subcompact Car,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV_4W,Van,share-weight,final-calibration-year,end-year,,fixed
trn_shipping_intl,International Ship,share-weight,final-calibration-year,end-year,,fixed
trn_pass,road,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road,LDV,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road,bus,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV,4W,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV,2W,share-weight,final-calibration-year,end-year,,fixed
trn_freight,road,share-weight,final-calibration-year,end-year,,fixed
