# File: A44.flsp_param.csv
# Title: Parameters for projecting future floorspace per capita using the updated Gompertz function
# Units: unitless
# Source: Econometric analysis documented in CMP 346
# Column types: cnnnn
# ----------
region,unadjust.satiation,land.density.param,b.param,income.param
USA,150,0,3.49026,0.4875
Africa_Eastern,100,4.540518,1.4053895,0.156197
Africa_Northern,100,4.540518,1.4053895,0.156197
Africa_Southern,100,4.540518,1.4053895,0.156197
Africa_Western,100,4.540518,1.4053895,0.156197
Australia_NZ,100,4.540518,1.4053895,0.156197
Brazil,100,4.540518,1.4053895,0.156197
Canada,100,4.540518,1.4053895,0.156197
Central America and Caribbean,100,4.540518,1.4053895,0.156197
Central Asia,100,4.540518,1.4053895,0.156197
China,100,4.540518,1.4053895,0.156197
EU-12,100,4.540518,1.4053895,0.156197
EU-15,100,4.540518,1.4053895,0.156197
Europe_Eastern,100,4.540518,1.4053895,0.156197
Europe_Non_EU,100,4.540518,1.4053895,0.156197
European Free Trade Association,100,4.540518,1.4053895,0.156197
India,100,4.540518,1.4053895,0.156197
Indonesia,100,4.540518,1.4053895,0.156197
Japan,100,4.540518,1.4053895,0.156197
Mexico,100,4.540518,1.4053895,0.156197
Middle East,100,4.540518,1.4053895,0.156197
Pakistan,100,4.540518,1.4053895,0.156197
Russia,100,4.540518,1.4053895,0.156197
South Africa,100,4.540518,1.4053895,0.156197
South America_Northern,100,4.540518,1.4053895,0.156197
South America_Southern,100,4.540518,1.4053895,0.156197
South Asia,100,4.540518,1.4053895,0.156197
South Korea,100,4.540518,1.4053895,0.156197
Southeast Asia,100,4.540518,1.4053895,0.156197
Taiwan,100,4.540518,1.4053895,0.156197
Argentina,100,4.540518,1.4053895,0.156197
Colombia,100,4.540518,1.4053895,0.156197
