# EIA residual fuel oil bunkering by international ships in thousand barrels of oil per day,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Panama,5.14,5.68,4.9,4.14,4.66,7.81,12.17,12.77,13.14,14,14,18.25,18.25,18.25,17.71,51.91,51.91,51.91,51.77,45.39,51.18,43.75,0,40,48.59
Paraguay,0.01,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,0.3,0.61,2.55,0.05,0.01,0.55,0.08,0,0.4,0.45,0.45,0.45,0.45,0.45,0,0,0,0,0,0,0,0,0,0,2.01
Puerto Rico,0.41,0.6,1.66,0.91,1.82,1.82,1.82,1.82,1.82,1.82,2.04,2,2,2,2,2.01,1.92,1.92,1.91,1.92,1.92,1.92,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.11,0.11,0.11,0.11
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,1.05,1.05,0,0,0,0,0,0,0,0
Trinidad and Tobago,5.02,0.93,0.67,0.56,0.4,0.36,0.36,0,2.1,1.82,2,1.82,1.42,1.42,1.42,2.12,6.39,5.98,6.24,3.14,2.74,3.16,5.33,3.43,2.9
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,0.74,1.11,0.68,0.59,0.68,0.68,2.39,1.53,1.28,2.24,4.31,3.7,3.16,3.59,3.51,5.27,4.85,4.32,4.26,5.04,2.77,4.14,5.94,7.12,6.33
Venezuela,6.87,7.45,12.38,12.02,12.37,12.5,10.92,11.86,12.77,14.14,14.19,14.23,8.16,8.16,10.24,10.97,9.8,8.47,10.81,10.27,10.84,13.92,14.6,14.01,13.81
"Virgin Islands,  U.S.",7,1.46,1,1,1,1,1,1.09,1.28,1.28,1.46,1.46,1.46,1.46,1.55,1.55,1.61,1.81,1.8,1.81,1.81,1.81,0,0,0
"Virgin Islands, British",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,443.32,442.36,466.11,464.61,500.1,492.79,492.45,525.9,506.73,502.02,534.74,589.81,625.96,596.69,654.37,651.34,682.57,700.02,777.94,816.7,859.78,883.67,882.44,782.8,754.97
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,40.15,50.8,56.02,58.83,63,64.25,62.47,66.18,64.06,58.44,69.88,80.32,86.22,69.84,83.74,82.01,111.63,114.47,143.45,131.35,140.66,159.2,160.84,121.56,108.82
Bosnia and Herzegovina,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,3.87,3.78,2.55,3.87,3.87,3.35,4.71,4,4,0,0.02,0.02,0,0,0,0,0,0.29,1.04,0.88
Croatia,,,,,,,0,0,0.57,0.45,0.44,0.31,0.26,0.26,0.2,0.29,0.24,0.29,0.29,0.29,0.24,0.36,0.4,0.11,0.11
Cyprus,0.26,0.74,0.75,0.89,0.62,0.6,0.69,0.65,0.91,0.98,1.02,1.3,1.15,1.97,2.6,2.65,1.92,1.61,0.49,4.11,3.47,3.12,3.01,2.66,2.45
Czech Republic,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,5.3,9.15,12.02,12.09,12.46,10.23,9.2,16.17,17.09,17.21,15.46,14.1,11.73,12.42,14.26,10.83,7.55,8.85,6.98,8.92,13.7,15.32,11.75,4.74,6.77
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,7.88,6.94,6.68,7.56,8.08,7.74,10.4,7.02,4.84,0,0.35,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Czechoslovakia,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Former Serbia and Montenegro,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Former Yugoslavia,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
France,33.36,34.14,37.22,39.6,45.27,44.87,39.25,38.36,32.36,38.49,42.58,43.45,39.14,44.51,45.13,38.36,37.73,41.93,48.22,44.67,47.48,49.34,42.47,42.82,41.23
Germany,,,,,,27.83,23.23,30.48,28.03,28.03,24.53,27.05,26.91,28.49,30.05,31.61,34.05,38.03,40.06,37.32,37.36,45.47,45.26,40.56,40.77
"Germany, East",5.37,6.85,6.95,7.19,4.78,,,,,,,,,,,,,,,,,,,,
"Germany, West",60,43,34.39,27.68,29.85,,,,,,,,,,,,,,,,,,,,
Gibraltar,6.13,5.67,7.32,6.9,7.02,7.21,13.59,13.68,13.68,13.68,13.65,13.68,15.54,13.68,35.47,16.75,17.06,18.06,18.58,19.05,19.56,20.13,20.56,21.17,21.17
Greece,24.32,25.55,29.98,28.22,37.23,32.34,33.34,43.19,45.19,46.67,42.28,42.64,49.44,43.33,51.07,51.83,46.37,48.72,49.5,44.92,49.41,49.2,49.61,33.47,42.46
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0.25,0.18,0.16,0.14,0.16,0.37,0.25,0.41,0.35,0.81,0.95,0.88,0.87,0.8,0.67,0.62,0.88,1.11,0.85,0.41,0.87,1.18,0.78,0.58,0.71
Italy,51.18,47.38,44.5,40.24,36.83,35.22,33.1,33.33,32.67,33.65,31.62,30.84,34.49,30.85,33.36,34.78,39.69,43.97,48.06,49.3,48.47,44.48,56.36,48.22,48.65
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.22,0.51,0.42,0.42,0.42,0.42,0.42,0.42,0.42,8.9,12.99,14.67,22.68
Montenegro,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Netherlands,135.13,132.48,154.24,149.11,159.39,163.49,164.81,177.33,166.27,162.33,169.29,185.14,184.79,193.04,204.34,225.75,225.43,212.46,233.13,271.64,283,264.4,253.24,233.14,220.47
Norway,3.52,3.18,3.42,3.55,4.1,3.8,4.79,5.11,5.65,6.24,5.89,8.52,9.12,8.34,6.68,6.04,4.67,4.44,4.49,5.21,3.22,2.47,3.37,1.54,2.92
Poland,3.82,5.51,4.02,9.12,5.09,1.91,3.38,0.74,1.33,2.6,3.31,2.42,12.09,3.91,4.46,4.4,3.99,3.87,3.88,3.78,3.91,3.59,4.12,3.34,2.88
Portugal,3.36,3.3,2.89,4.15,4.89,4.65,5.08,4.4,4.38,4.12,4.23,4.61,4.95,6.36,7.3,4.88,5.43,6.8,8.25,6.63,7.49,8.2,8.78,7.95,7.44
Romania,0,0,0,0,0,0,0,0,0,0,0,0,1.39,1.39,1.38,0,0,0,0,0,0,0.26,0.95,0.16,0.07
Serbia,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Slovakia,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.89,1.22,0.6,0.35
Spain,35.68,37.5,39.07,37.78,46.25,48.83,48.04,48.68,48.97,43.67,62.79,76.25,88.9,86.06,91.36,104.01,107.81,110.45,114.25,126.38,131.51,133.63,133.19,133.21,126.23
Sweden,9.12,12.42,9.23,9.03,9.33,11.61,13.15,13.27,15.85,15.43,16.37,19.51,23.41,23.66,21.62,22.65,19.54,26.07,31.51,32.29,35.02,36.35,35.21,37.04,32.43
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,1.47,1.87,1.02,1.34,0.85,0.95,0.7,0.78,0.8,1.22,0.86,1.22,1.59,2.44,3.75,2.58,4.56,4.21,7.74,9.38,10.27,11.15,7.95,3.13,2.92
United Kingdom,16.86,15.48,16.05,21.01,24.7,22.83,23.02,23.38,19.69,23.96,25.73,31.88,29.74,20.83,16.51,10.85,13.59,14.26,17.8,20.62,23.18,26.03,30.08,31.1,22.6
Eurasia,80,82.11,90.98,89.4,78.46,80,278.25,237.86,231.82,231.62,231.06,232.3,231.95,233.3,232.49,248.29,260.02,255.13,255.93,248.04,7.92,8.25,8.78,9.98,21.28
Armenia,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,,,,,,,0.95,0.66,1.82,1.62,1.06,1.3,1.42,2.39,1.18,1.04,1.3,1.28,1.87,1.4,3.14,4.05,4.34,3.92,3.74
Former U.S.S.R.,80,82.11,90.98,89.4,78.46,80,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,,,,,,,0,0,0,0,0,0,0,0,0,1.77,2.24,2.13,2.37,3.17,2.46,2.23,3.01,3.98,3.41
Lithuania,,,,,,,0,0,0,0,0,1,0.53,0.91,1.31,1.48,1.48,1.72,1.69,2.35,2.32,1.97,1.42,2.08,2.32
Moldova,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,,,,,,,277.3,237.21,230,230,230,230,230,230,230,244,255,250,250,241.11,0,0,0,0,11.81
Tajikistan,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle East,201.59,192.54,199.1,243.82,249.66,332.86,269.92,273.69,262.73,263.51,287.73,318.75,258.91,257.84,213.55,206.55,209.34,188.27,213.94,248.85,240.38,250.16,375.94,351.73,366.65
Bahrain,0,0,1.82,1.82,2.01,2.01,2,1.82,1.82,1.8,0.8,1.33,1.33,1.33,1.3,1.3,1.3,1.3,1.3,1.13,0,0,0,1.17,1.37
Iran,20.07,20.07,22.1,20.07,49.3,47.72,7.28,9.12,8.21,8.21,8.19,8.48,11.09,13.25,40,28,10.8,10.77,11.35,12.04,8.45,15.49,15.49,59.05,41.86
Iraq,3.65,3.65,2.73,3.65,2.74,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63
Israel,0,0,0,0,0,0,0,2.28,2.21,2.37,0.87,1.9,1.62,1.7,2.29,2.39,3.5,3.8,3.4,3.65,4.2,4.42,4.29,5.94,5.69
Jordan,0,0,0,0.15,0,0,0,0,0.05,0,0,0,0.04,0.13,0.58,0.07,0.07,0.15,0.66,0.8,0.53,0.46,0.35,0.36,0.18
Kuwait,14.41,13.87,14.56,14.6,12.77,0.36,4.55,7.3,2.55,2.74,2.73,2.74,8.9,9.18,8.5,7.13,7.59,7.77,7.95,7.26,9.47,8.27,16.84,6.44,6.77
Lebanon,0.36,0.55,0.45,0.18,0.18,0.18,0.18,0,0,0,0,0,0,0,0,0,0.27,0.27,0.27,0.27,0.31,0.35,0.4,0.44,0.47
Oman,14,9,4.55,4.18,5.47,4.56,2,2.19,0.45,1.88,2.91,7.3,4.68,1.02,1.15,0.91,0.62,0.01,0,0.55,0,0,0,2.23,3.39
Palestine,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,11.49,0,2.7,3.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,20.98,25,30,75,54.7,94.88,95.17,94.88,91.23,93.06,100.08,100.36,35.33,35.33,38.89,38.99,38.99,40.8,41,42,48.99,51.29,52.44,47.4,61
Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,116.48,116.75,116.55,116.75,112.8,177.5,156.91,155,155.1,152.36,171.05,194.82,194.82,194.82,119.75,126.65,145.1,122.27,146.87,180,167.3,168.76,284.99,228.1,242.7
Yemen,0.14,3.65,3.64,3.65,4.93,4.74,1.82,1.09,1.09,1.09,1.09,1.82,1.09,1.09,1.09,1.09,1.09,1.13,1.13,1.13,1.13,1.13,1.13,0.6,0.58
Africa,92.47,87.09,90.87,90.26,105.95,93.29,80.1,82.95,89.31,97.57,108.86,101.62,111.01,122.54,109.47,114.41,111.55,113.8,91.45,90.28,74.88,71.75,73.99,73.34,78.4
Algeria,5.11,3.65,1.82,1.82,1.82,1.82,0.91,1.09,1.28,1.09,1.95,3.28,2.97,3.08,3.26,2.55,3.27,2.76,4.86,5.62,4.8,5.38,5,4.38,4.98
Angola,7.3,8.21,8.28,8.21,8.12,8.21,8.19,8.03,8.03,7.85,7.92,8.03,0,0,0,0,0,0,0,0.27,0.02,0,0,3.38,3.21
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.04,0.04,0.15,0.15,0.11,0.09,0.07
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),0.18,0.13,0.11,0.11,0.09,0.11,0.15,0.15,0.15,0.18,0.18,0.18,0.84,0.84,0,0,0,0.22,0.22,0.15,0,0,0,0,0
Congo (Kinshasa),0.64,0.58,0.56,0.57,0.57,0.64,0.58,0.58,0.62,0.66,0.04,0.04,0.6,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0,0,0
Cote dIvoire (IvoryCoast),0,0,0,0,0.02,0.02,0,0,0,0,2.95,1.35,1.35,1.35,1.42,1.42,1.39,1.39,1.38,1.31,0.91,0.91,0.44,0.4,0.27
Djibouti,0.9,0.9,0.9,5.27,5.29,5.51,5.55,0,5.62,5.6,5.64,5.69,5.69,5.69,5.68,5.75,5.75,5.84,5.82,5.84,1.7,0.97,1.2,1.2,1.2
Egypt,20.49,19.29,26.13,20.07,35.22,22.08,20.2,21.9,21.9,21.84,29.11,31.02,36.4,43.72,46.42,46.55,42.82,46.62,30.39,23.05,17.61,15.24,6.71,3.9,5.93
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,,,,,,,,,0.09,0.09,0.09,0.09,0.09,0.09,0,0.15,0.15,0.02,0,0,0,0,0,0,0
Ethiopia,0.18,0,0,0,0,0,2.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,1.55,0.78,0.82,0.88,0.82,0.93,0.82,0,0,0.82,0.82,0.99,4.42,4.42,1.27,0,2.43,1.82,1.87,1.97,1.97,1.95,2.45,2.35,3.63
"Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,2.97,2.46,1.65,2.42,2.73,2.17,2.27,2.7,2.3,0.93,0.91,3.49,1.24,1.42,1.42,1.42,1.42,0.2,0.38,0.44,0.49,0.51,0.02,0.51,0.09
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,0.97,1,0.91,0.88,0.33,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.2,0.2,0.2,0.2,0.18,0.2,0.2,0.18,0.18,0.18
Libya,2.92,0.91,0.91,1.28,1.46,1.28,1.27,1.28,1.46,1.64,1.82,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64
Madagascar,0.18,0.15,0.16,0.18,0.15,0.18,0.18,0.16,0.16,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.27,0.18,0.11,0.11
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0.07,0.3,0.07,0.39,0.38,0.38,0.38,0.46,0.46,0.38,0.56,0.58,0.58,0.58,0.86,1.06,0.49,0.63,0.73,0.47,1.08,1.39,1.75,1.97,1.97
Morocco,0,0,0.04,0.04,0,0.02,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0
Mozambique,0,0,0,0.37,0.02,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
Namibia,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,3.6,4.11,4.01,4.93,5.11,5.47,3.8,5.66,5.11,5.47,5.46,5.47,5.2,4.63,2.93,5.66,5.36,7.37,3.44,4.18,0,0,7.32,7.79,8.5
Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,1.33,0.44,0.44,0.44,0.44,0.44
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,1.46,1.37,1.27,0.33,1.28,1.24,1.18,1.19,1.22,1.42,1.42,1.46,1.46,1.46,0,0,0,0,0,0,0,0,0,0,0
Seychelles,0.09,0.11,0.02,0,0.02,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.06,0.06
Sierra Leone,0.29,0.26,0.27,0.27,0.29,0.33,0.33,0.27,0.27,0.31,0.31,0.33,0.33,0.33,0.33,0.33,0.33,0.35,0.35,0.36,0.36,0.36,0.38,0,0
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.18,0.18,0.18,0.15,0.15
South Africa,43.1,41.97,42.03,42.24,42.24,42.33,30.28,38.81,40,48.45,48.87,36.83,47.02,52.2,43.14,46.78,45.42,43.85,37.91,41.53,42.46,41.53,45.54,44.23,45.49
Sudan and South Sudan,0,0.52,0.47,0,0,0,0.55,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,0.46,0.4,0.44,0,0,0.38,0.38,0.38,0.38,0.4,0.4,0.4,0.42,0.42,0.44,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0.18,0.2,0.2,0.2,0.2,0.2,0.2,0.16,0.15,0,0.15,0.05
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
