SRES B2 GNP and energy values ,,,,,,,,
Similar to EIA Projections in 2005,,,,,,,,
SRES B2 GDP/cap and FE/cap in 2095,,,,,,,,





Cal GNP,,,,,,,,
INPUT_TABLE,,,,,,,,
Variable ID,,Millions $1990,,,,,,
1006,,,,,,,,
,"gnpcalib(L,M)",,,,,,,
Region#,2005,2020,2035,2050,2065,2080,2095,
1,8559839,11704628,14474230,17219996,20308123,24299173,29086532,USA
2,771176,1053068,1303987,1579834,1817861,2110449,2463134,CANADA
3,10363051,12860964,14347126,15544075,16431657,17382954,19166584,WEUR
4,3384540,3860552,4024037,4210928,4482265,4839737,5271149,JAPAN
5,485840,678611,841400,1008713,1169385,1332121,1522298,AUS&NZ
6,626496,966682,2038656,3929571,5937552,7535338,8890428,FSU
7,1370421,4718253,11166656,19826725,26183582,31608743,36556890,ACENP
8,720541,1202035,2347368,4169756,5917276,7224619,7899916,MIDEAST
9,534486,934063,2300023,5588434,11120607,18181925,24972741,AFR
10,1863557,3064914,5982282,10646577,15505288,19168985,21317629,LA
11,818696,2208234,4984811,9348387,13309088,17677882,21794407,S&E ASIA
12,308828,646083,1378931,2382435,3154677,3537302,3831800,EEUR
13,610203,1278211,1798483,2082721,2031009,1946281,1851225,KOR
14,667398,1960058,4820255,9688303,14648756,20391237,26236040,INDIA
,31085072,47136358,71808244,107226454,142017128,177236746,210860772,Global


FE Calb,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
1011,,FE (ratio to 1990),,,,,,,,,,
,,"calibPE(L,M)",,"(will really be calib FE, not PE)",,,,,,Org values,,
Region#,2005,2020,2035,2050,2065,2080,2095,,,2080,2095,
1,1.237,1.339,1.423,1.458,1.483,1.508,1.554,USA,,1.839,1.942,1.554
2,1.297,1.416,1.477,1.493,1.425,1.351,1.303,CANADA,,1.648,1.629,1.303
3,1.162,1.125,1.066,0.987,0.894,0.798,0.750,WEUR,,0.973,0.938,0.750
4,1.226,1.174,1.046,0.913,0.798,0.694,0.613,JAPAN,,0.846,0.766,0.613
5,1.413,1.576,1.652,1.671,1.634,1.552,1.498,AUS&NZ,,1.892,1.872,1.498
6,0.590,0.669,0.846,1.004,1.038,1.048,1.043,FSU,,1.278,1.304,1.043
7,1.157,1.589,2.139,2.609,2.862,3.053,3.302,ACENP,,3.723,4.128,3.302
8,1.732,2.454,3.105,3.623,4.121,4.419,4.358,MIDEAST,,5.389,5.448,4.358
9,1.254,1.642,2.113,2.578,3.614,5.079,6.439,AFR,,6.193,8.049,6.439
10,1.519,1.974,2.373,2.654,3.140,3.515,3.605,LA,,4.286,4.506,3.605
11,1.711,2.834,4.094,5.148,5.666,6.101,6.442,S&E ASIA,,7.44,8.053,6.442
12,0.692,0.804,0.922,0.959,0.899,0.834,0.792,EEUR,,1.017,0.99,0.792
13,2.423,2.670,2.694,2.528,2.345,2.168,2.024,KOR,,2.644,2.53,2.024
14,1.538,2.513,3.850,5.187,6.070,6.857,7.579,INDIA,,8.361,9.474,7.579
,1.173,1.414,1.686,1.905,2.072,2.229,2.366,Global,,2.718,2.957,2.366


,Org values,,,,,,,,,,,

1,1.252,1.407,1.552,1.650,1.742,1.839,1.942,,,,,
2,1.313,1.488,1.611,1.690,1.674,1.648,1.629,,,,,
3,1.176,1.182,1.163,1.117,1.050,0.973,0.938,,,,,
4,1.241,1.234,1.141,1.034,0.938,0.846,0.766,,,,,
5,1.431,1.656,1.802,1.892,1.920,1.892,1.872,,,,,
6,0.597,0.703,0.923,1.136,1.219,1.278,1.304,,,,,
7,1.171,1.670,2.333,2.953,3.362,3.723,4.128,,,,,
8,1.754,2.579,3.386,4.101,4.842,5.389,5.448,,,,,
9,1.270,1.725,2.305,2.918,4.246,6.193,8.049,,
10,1.538,2.074,2.588,3.004,3.689,4.286,4.506,,
11,1.732,2.978,4.465,5.828,6.657,7.440,8.053,,
12,0.701,0.845,1.006,1.086,1.056,1.017,0.990,,
13,2.453,2.806,2.938,2.862,2.755,2.644,2.530,,
14,1.557,2.641,4.199,5.872,7.131,8.361,9.474,,
,1.188,1.486,1.839,2.156,2.434,2.718,2.957,,


Adjustment:,1.01,1.05,1.09,1.13,1.17,1.22,1.25,0.248%,per year decrease
