IEAName,iso,IEA_Fert_reg,BPName
Albania,alb,Central European countries,Other Europe & Eurasia
Algeria,dza,Africa,Algeria
Angola,ago,Africa,Other Africa
Argentina,arg,Latin America,Argentina
Armenia,arm,CIS,Other Europe & Eurasia
Australia,aus,Oceania,Australia
Austria,aut,Western Europe,Austria
Azerbaijan,aze,CIS,Azerbaijan
Bahrain,bhr,Middle East,Other Middle East
Bangladesh,bgd,Other Asia,Bangladesh
Belarus,blr,CIS,Belarus
Belgium,bel,Western Europe,Belgium
Benin,ben,Africa,Other Africa
Bolivia,bol,Latin America,Other S. & Cent. America
Bosnia and Herzegovina,bih,Central European countries,Other Europe & Eurasia
Botswana,bwa,Africa,Other Africa
Brazil,bra,Latin America,Brazil
Brunei Darussalam,brn,Other Asia,Other Asia Pacific
Bulgaria,bgr,Central European countries,Bulgaria
Cambodia,khm,China,Other Asia Pacific
Cameroon,cmr,Africa,Other Africa
Canada,can,North America,Canada
Chile,chl,Latin America,Chile
Chinese Taipei,twn,Other Asia,Taiwan
Colombia,col,Latin America,Colombia
Congo,cog,Africa,Other Africa
Costa Rica,cri,Latin America,Other S. & Cent. America
Cote dIvoire,civ,Africa,Other Africa
Croatia,hrv,Central European countries,Other Europe & Eurasia
Cuba,cub,Latin America,Other S. & Cent. America
Cyprus,cyp,Western Europe,Other Europe & Eurasia
Czech Republic,cze,Central European countries,Czech Republic
Dem. Peoples Rep. of Korea,prk,China,Other Asia Pacific
Democratic Republic of Congo,cod,Africa,Other Africa
Denmark,dnk,Western Europe,Denmark
Dominican Republic,dom,Latin America,Other S. & Cent. America
Ecuador,ecu,Latin America,Ecuador
Egypt,egy,Africa,Egypt
El Salvador,slv,Latin America,Other S. & Cent. America
Eritrea,eri,Africa,Other Africa
Estonia,est,CIS,Other Europe & Eurasia
Ethiopia,eth,Africa,Other Africa
Finland,fin,Western Europe,Finland
Former Yugoslav Republic of Macedonia,mkd,Central European countries,Other Europe & Eurasia
France,fra,Western Europe,France
Gabon,gab,Africa,Other Africa
Georgia,geo,CIS,Other Europe & Eurasia
Germany,deu,Western Europe,Germany
Ghana,gha,Africa,Other Africa
Gibraltar,gib,Western Europe,Other Europe & Eurasia
Greece,grc,Western Europe,Greece
Guatemala,gtm,Latin America,Other S. & Cent. America
Haiti,hti,Latin America,Other S. & Cent. America
