INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
200,,,,,,,,,,
,,,shareweight,interpolation-rule,,,,,,
region,supplysector,subsector,1975,apply-to,from-year,to-year,interpolation-function,,,
Africa,electricity,wind,1,share-weight,2020,2065,linear,,,
Australia_NZ,electricity,wind,1,share-weight,2020,2065,linear,,,
Canada,electricity,wind,1,share-weight,2020,2065,linear,,,
China,electricity,wind,1,share-weight,2020,2065,linear,,,
Eastern Europe,electricity,wind,1,share-weight,2020,2065,linear,,,
Former Soviet Union,electricity,wind,1,share-weight,2020,2065,linear,,,
India,electricity,wind,1,share-weight,2020,2065,linear,,,
Japan,electricity,wind,1,share-weight,2020,2065,linear,,,
Korea,electricity,wind,1,share-weight,2020,2065,linear,,,
Latin America,electricity,wind,1,share-weight,2020,2065,linear,,,
Middle East,electricity,wind,1,share-weight,2020,2065,linear,,,
Southeast Asia,electricity,wind,1,share-weight,2020,2065,linear,,,
Western Europe,electricity,wind,1,share-weight,2020,2065,linear,,,
Africa,electricity,solar,1,share-weight,2020,2065,linear,,,
Australia_NZ,electricity,solar,1,share-weight,2020,2065,linear,,,
Canada,electricity,solar,1,share-weight,2020,2065,linear,,,
China,electricity,solar,1,share-weight,2020,2065,linear,,,
Eastern Europe,electricity,solar,1,share-weight,2020,2065,linear,,,
Former Soviet Union,electricity,solar,1,share-weight,2020,2065,linear,,,
India,electricity,solar,1,share-weight,2020,2065,linear,,,
Japan,electricity,solar,1,share-weight,2020,2065,linear,,,
Korea,electricity,solar,1,share-weight,2020,2065,linear,,,
Latin America,electricity,solar,1,share-weight,2020,2065,linear,,,
Middle East,electricity,solar,1,share-weight,2020,2065,linear,,,
Southeast Asia,electricity,solar,1,share-weight,2020,2065,linear,,,
Western Europe,electricity,solar,1,share-weight,2020,2065,linear,,,
Africa,electricity,biomass,1,share-weight,2020,2065,linear,,,
Australia_NZ,electricity,biomass,1,share-weight,2020,2065,linear,,,
Canada,electricity,biomass,1,share-weight,2020,2065,linear,,,
China,electricity,biomass,1,share-weight,2020,2065,linear,,,
Eastern Europe,electricity,biomass,1,share-weight,2020,2065,linear,,,
Former Soviet Union,electricity,biomass,1,share-weight,2020,2065,linear,,,
India,electricity,biomass,1,share-weight,2020,2065,linear,,,
Japan,electricity,biomass,1,share-weight,2020,2065,linear,,,
Korea,electricity,biomass,1,share-weight,2020,2065,linear,,,
Latin America,electricity,biomass,1,share-weight,2020,2065,linear,,,
Middle East,electricity,biomass,1,share-weight,2020,2065,linear,,,
Southeast Asia,electricity,biomass,1,share-weight,2020,2065,linear,,,
Western Europe,electricity,biomass,1,share-weight,2020,2065,linear,,,
Africa,electricity,geothermal,1,share-weight,2020,2065,linear,,,
Australia_NZ,electricity,geothermal,1,share-weight,2020,2065,linear,,,
Canada,electricity,geothermal,1,share-weight,2020,2065,linear,,,
China,electricity,geothermal,1,share-weight,2020,2065,linear,,,
Eastern Europe,electricity,geothermal,1,share-weight,2020,2065,linear,,,
Former Soviet Union,electricity,geothermal,1,share-weight,2020,2065,linear,,,
India,electricity,geothermal,1,share-weight,2020,2065,linear,,,
Japan,electricity,geothermal,1,share-weight,2020,2065,linear,,,
Latin America,electricity,geothermal,1,share-weight,2020,2065,linear,,,
Middle East,electricity,geothermal,1,share-weight,2020,2065,linear,,,
Southeast Asia,electricity,geothermal,1,share-weight,2020,2065,linear,,,
Western Europe,electricity,geothermal,1,share-weight,2020,2065,linear,,,
USA,base load generation,geothermal,1,share-weight,2020,2065,linear,,,
USA,base load generation,wind,1,share-weight,2020,2065,linear,,,
USA,base load generation,solar,1,share-weight,2020,2065,linear,,,
USA,base load generation,biomass,1,share-weight,2020,2065,linear,,,
USA,intermediate generation,biomass,1,share-weight,2020,2065,linear,,,
USA,intermediate generation,solar,1,share-weight,2020,2065,linear,,,
USA,subpeak generation,solar,1,share-weight,2020,2065,linear,,,
,,,,,,,,,,
Shareweight path and technology-level logit exponent,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
201,,,,,,,,,,
,,,sharewt,,,,,,,
region,supplysector,subsector,2010,2015,2020,2035,2050,2065,2080,2095
Africa,electricity,wind,0.02,0.04,0.06,0.5,0.5,0.5,0.5,0.5
Australia_NZ,electricity,wind,0.12,0.18,0.26,0.5,0.5,0.5,0.5,0.5
Canada,electricity,wind,0.09,0.18,0.26,0.5,0.5,0.5,0.5,0.5
China,electricity,wind,0.03,0.05,0.06,0.5,0.5,0.5,0.5,0.5
Eastern Europe,electricity,wind,0.04,0.08,0.12,0.5,0.5,0.5,0.5,0.5
Former Soviet Union,electricity,wind,0.005,0.005,0.01,0.5,0.5,0.5,0.5,0.5
India,electricity,wind,0.07,0.1,0.15,0.5,0.5,0.5,0.5,0.5
Japan,electricity,wind,0.09,0.17,0.25,0.5,0.5,0.5,0.5,0.5
Korea,electricity,wind,0.02,0.04,0.06,0.5,0.5,0.5,0.5,0.5
Latin America,electricity,wind,0.02,0.04,0.06,0.5,0.5,0.5,0.5,0.5
Middle East,electricity,wind,0.01,0.01,0.02,0.5,0.5,0.5,0.5,0.5
Southeast Asia,electricity,wind,0.02,0.04,0.06,0.5,0.5,0.5,0.5,0.5
Western Europe,electricity,wind,1.9,1.9,1.9,0.5,0.5,0.5,0.5,0.5
Africa,electricity,solar,0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5
Australia_NZ,electricity,solar,0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5
Canada,electricity,solar,0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5
China,electricity,solar,0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5
Eastern Europe,electricity,solar,0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5
Former Soviet Union,electricity,solar,0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5
India,electricity,solar,0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5
Japan,electricity,solar,0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5
Korea,electricity,solar,0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5
Latin America,electricity,solar,0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5
Middle East,electricity,solar,0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5
Southeast Asia,electricity,solar,0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5
Western Europe,electricity,solar,0.05,0.05,0.1,0.5,0.5,0.5,0.5,0.5
Africa,electricity,biomass,0.1,0.13,0.17,0.5,0.5,0.5,0.5,0.5
Australia_NZ,electricity,biomass,0.12,0.15,0.2,0.5,0.5,0.5,0.5,0.5
Canada,electricity,biomass,0.3,0.3,0.33,0.5,0.5,0.5,0.5,0.5
China,electricity,biomass,0.008,0.015,0.05,0.5,0.5,0.5,0.5,0.5
Eastern Europe,electricity,biomass,0.14,0.23,0.33,0.5,0.5,0.5,0.5,0.5
Former Soviet Union,electricity,biomass,0.01,0.04,0.04,0.5,0.5,0.5,0.5,0.5
India,electricity,biomass,0.07,0.1,0.1,0.5,0.5,0.5,0.5,0.5
Japan,electricity,biomass,0.25,0.29,0.33,0.5,0.5,0.5,0.5,0.5
Korea,electricity,biomass,0.02,0.04,0.06,0.5,0.5,0.5,0.5,0.5
Latin America,electricity,biomass,0.3,0.33,0.3,0.5,0.5,0.5,0.5,0.5
Middle East,electricity,biomass,0.02,0.03,0.04,0.25,0.25,0.25,0.25,0.25
Southeast Asia,electricity,biomass,0.2,0.25,0.33,0.5,0.5,0.5,0.5,0.5
Western Europe,electricity,biomass,0.36,0.36,0.36,0.5,0.5,0.5,0.5,0.5
Africa,electricity,geothermal,0.01,0.01,0.02,0.5,0.5,0.5,0.5,0.5
Australia_NZ,electricity,geothermal,0.05,0.05,0.15,0.5,0.5,0.5,0.5,0.5
Canada,electricity,geothermal,0.05,0.05,0.15,0.5,0.5,0.5,0.5,0.5
China,electricity,geothermal,0.05,0.05,0.15,0.5,0.5,0.5,0.5,0.5
Eastern Europe,electricity,geothermal,0.05,0.05,0.15,0.5,0.5,0.5,0.5,0.5
Former Soviet Union,electricity,geothermal,0,0.01,0.01,0.5,0.5,0.5,0.5,0.5
India,electricity,geothermal,0.05,0.05,0.15,0.5,0.5,0.5,0.5,0.5
Japan,electricity,geothermal,0.05,0.05,0.15,0.5,0.5,0.5,0.5,0.5
Latin America,electricity,geothermal,0.05,0.05,0.15,0.5,0.5,0.5,0.5,0.5
Middle East,electricity,geothermal,0.01,0.03,0.03,0.5,0.5,0.5,0.5,0.5
