# File: EPA_CH4_Landfill.csv
# Title: CH4 emissions from Landfills
# Units: MtCO2eq
# Description: Sector Waste
# Column types: cnnnnnnnnnccc
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,2.5,2.8,3.2,3.7,4.3,4.9,5.6,6.3,7,Non-OECD Asia,,
Albania,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,Non-OECD Europe & Eurasia,
Algeria,3.8,4.7,7.5,8.1,8.6,9.1,9.6,10,10.3,,Africa,OPEC
Andorra,0,0,0,0,0,0.1,0.1,0.1,0.1,Non-OECD Europe & Eurasia,,
Angola,0.4,0.4,0.5,0.8,0.8,0.9,1,1.1,1.2,Africa,,OPEC
Antigua and Barbuda,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,Central and South America,,
Argentina,4.4,5.2,7.5,7.9,8.3,8.7,9.1,9.5,9.8,,Central and South America,
Armenia,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,Non-OECD Europe & Eurasia,
Australia,14.2,13.5,11.9,10.6,11.2,11.8,12.4,13,13.5,,OECD,
Austria,3.3,2.8,2.2,1.9,1.5,1.5,1.5,1.5,1.4,,OECD,EU
Azerbaijan,1.3,1.4,1.5,1.5,1.6,1.6,1.7,1.8,1.8,,Non-OECD Europe & Eurasia,
Bahamas,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,Central and South America,,
Bahrain,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,Middle East,,
Bangladesh,1.2,1.3,1.5,1.6,1.7,1.8,2,2.1,2.2,,Non-OECD Asia,
Barbados,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,Central and South America,,
Belarus,2.3,1.9,2.7,4.4,6,5.9,5.7,5.6,5.5,,Non-OECD Europe & Eurasia,
Belgium,2.6,2.4,1.7,0.8,0.4,0.4,0.4,0.4,0.4,,OECD,EU
Belize,0,0,0,0,0,0,0,0,0,Central and South America,,
Benin,0.1,0.2,0,0,0,0,0.1,0.1,0.1,Africa,,
Bhutan,0,0,0,0,0,0,0.1,0.1,0.1,Non-OECD Asia,,
Bolivia,0.1,0.4,0.7,0.8,0.9,1,1.1,1.1,1.2,,Central and South America,
Bosnia and Herzegovina,1,0.8,0.9,1,1,1,1,1,1,Non-OECD Europe & Eurasia,,
Botswana,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,Africa,,
Brazil,16.6,19.3,22.3,23.2,24.7,26,27.3,28.4,29.5,,Central and South America,
Brunei,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Non-OECD Asia,,
Bulgaria,4.7,5.1,4.8,4.3,3.8,3.7,3.5,3.4,3.2,,Non-OECD Europe & Eurasia,EU
Burkina Faso,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,Africa,,
Burma,3.7,4.1,4.5,4.9,5.3,5.7,6.1,6.5,6.9,,Non-OECD Asia,
Burundi,0,0,0,0,0,0,0,0,0,Africa,,
Cambodia,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,,Non-OECD Asia,
Cameroon,1,1.1,1.2,1.4,1.5,1.7,1.9,2,2.2,Africa,,
Canada,17.3,18,18.8,20.2,21.1,21.9,22.7,23.5,24.1,,OECD,
Cape Verde,0,0,0,0,0,0,0,0,0,Africa,,
Central African Republic,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,Africa,,
Chad,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,Africa,,
Chile,1.5,1.6,1.8,2.2,2.3,2.4,2.5,2.6,2.7,,OECD,
China,40.7,43.1,44.7,46,47.1,48.2,49,49.4,49.3,,Non-OECD Asia,
Colombia,6.5,7.4,8.2,9.2,9.8,10.3,10.9,11.3,11.7,,Central and South America,
Comoros,0,0,0,0,0,0,0,0,0,Africa,,
Congo (Brazzaville),0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,Africa,,
Congo (Kinshasa),5.2,6.1,7,8.1,9.6,11.1,12.9,14.8,16.8,,Africa,
