# File: EPA_CH4_MM.csv
# Title: CH4 emissions from Manure Management
# Units: MtCO2eq
# Description: Sector Agriculture
# Column types: cnnnnnnnnnccc
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,0.1,0.18,0.24,0.28,0.27,0.3,0.33,0.36,0.41,Non-OECD Asia,,
Albania,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,Non-OECD Europe & Eurasia,
Algeria,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,1.3,1.3,1.2,1.1,1.3,1.3,1.4,1.5,1.5,,Central and South America,
Armenia,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,,Non-OECD Europe & Eurasia,
Australia,1.5,1.7,2,2,1.9,1.9,2,2.1,2.1,,OECD,
Austria,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,,OECD,EU
Azerbaijan,0.6,0.5,0.6,0.8,0.8,0.8,0.8,0.8,0.8,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,0,0,0,0,0,0,0,0,0,Middle East,,
Bangladesh,0.9,0.9,1,1.1,1.2,1.4,1.7,1.9,2.3,,Non-OECD Asia,
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,,
Belarus,1.1,0.8,0.7,0.7,0.7,0.7,0.7,0.6,0.6,,Non-OECD Europe & Eurasia,
Belgium,1.7,1.8,1.7,1.6,1.5,1.5,1.5,1.4,1.4,,OECD,EU
Belize,0,0,0,0,0,0,0,0,0,Central and South America,,
Benin,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Africa,,
Bhutan,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Non-OECD Asia,,
Bolivia,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,,Central and South America,
Bosnia and Herzegovina,0.3,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.3,Non-OECD Europe & Eurasia,,
Botswana,0,0,0,0,0,0,0,0,0,Africa,,
Brazil,13.3,14.6,14.2,15.2,16.6,17.4,18.1,18.8,19.5,,Central and South America,
Brunei,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bulgaria,2.2,1.2,0.9,0.9,0.8,0.8,0.8,0.8,0.8,,Non-OECD Europe & Eurasia,EU
Burkina Faso,0.1,0.2,0.3,0.4,0.6,0.6,0.7,0.8,0.9,Africa,,
Burma,1.1,1.3,1.7,2.3,3.1,3.3,3.5,3.8,4.1,,Non-OECD Asia,
Burundi,0,0,0,0,0,0,0,0,0,Africa,,
Cambodia,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,,Non-OECD Asia,
Cameroon,0.6,0.4,0.6,0.6,0.6,0.7,0.7,0.8,0.9,Africa,,
Canada,2.5,2.8,2.9,3.1,2.9,2.9,2.9,2.9,2.9,,OECD,
Cape Verde,0,0,0,0,0,0,0,0,0,Africa,,
Central African Republic,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,Africa,,
Chad,4.6,5.2,6.3,7,7.8,8.5,9,9.6,10.2,Africa,,
Chile,0.9,1.2,1.2,1.4,1.6,1.6,1.7,1.7,1.7,,OECD,
China,16,18.8,19.5,19.1,20.1,20.4,20.7,21.1,21.4,,Non-OECD Asia,
Colombia,0.6,0.7,0.9,0.8,0.7,0.7,0.7,0.7,0.7,,Central and South America,
Comoros,0,0,0,0,0,0,0,0,0,Africa,,
Congo (Brazzaville),0,0,0,0,0,0,0,0,0,Africa,,
Congo (Kinshasa),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,Africa,
