# File: EPA_CH4_Waste.csv
# Title: CH4 emissions from wastewater
# Units: MtCO2eq
# Description: Sector Waste
# Column types: cnnnnnnnnnccc
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,1.4,2,2.2,2.6,3,3.3,3.7,4,4.4,Non-OECD Asia,,
Albania,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,,Non-OECD Europe & Eurasia,
Algeria,0.3,0.3,0.5,0.5,0.5,0.6,0.6,0.6,0.7,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,0,0,0,0,1.1,1.2,1.3,1.4,1.5,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,4.3,4.7,5.5,5.8,6.1,6.5,6.7,7,7.3,,Central and South America,
Armenia,0.1,0,0,0,0.2,0.2,0.2,0.2,0.2,,Non-OECD Europe & Eurasia,
Australia,3.2,2.9,2.6,2.5,2.6,2.7,2.9,3,3.1,,OECD,
Austria,0.1,0.1,0.1,0,0,0,0,0,0,,OECD,EU
Azerbaijan,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,1.7,2,2.2,2.4,2.6,2.7,2.9,3,3.1,Middle East,,
Bangladesh,10.6,11.8,13,14,15,16,17.2,18.3,19.4,,Non-OECD Asia,
Barbados,1.5,1.6,1.6,1.7,1.7,1.7,1.7,1.8,1.8,Central and South America,,
Belarus,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,,Non-OECD Europe & Eurasia,
Belgium,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,,OECD,EU
Belize,4.9,5.6,6.4,7.2,8.1,8.9,9.7,10.5,11.3,Central and South America,,
Benin,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,Africa,,
Bhutan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bolivia,0,0.1,0.4,0.8,0.8,0.9,1,1,1.1,,Central and South America,
Bosnia and Herzegovina,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,Non-OECD Europe & Eurasia,,
Botswana,0,0,0,0,0,0,0,0,0,Africa,,
Brazil,9.2,11.2,12.6,13.4,14.3,15.1,15.8,16.5,17.1,,Central and South America,
Brunei,0,0,0,0,0,0,0,0.1,0.1,Non-OECD Asia,,
Bulgaria,1.7,1.3,0.9,0.7,0.7,0.7,0.6,0.6,0.6,,Non-OECD Europe & Eurasia,EU
Burkina Faso,0,0,0,0,0,0,0,0,0,Africa,,
Burma,4.1,4.5,4.8,5.2,5.5,5.7,6,6.3,6.5,,Non-OECD Asia,
Burundi,0,0,0,0,0,0,0,0,0,Africa,,
Cambodia,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Cameroon,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,Africa,,
Canada,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,,OECD,
Cape Verde,0,0,0,0,0,0,0,0,0,Africa,,
Central African Republic,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,Africa,,
Chad,0.5,0.6,0.6,0.8,0.9,0.9,1,1.1,1.2,Africa,,
Chile,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,OECD,
China,114,120.7,125.4,128.8,132,135.1,137.4,138.4,138.1,,Non-OECD Asia,
