# File: EPA_N2O_MM.csv
# Title: N2O emissions from manure management
# Units: MtCO2eq
# Description: Sector Agriculture
# Column types: cnnnnnnnnnccc
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Albania,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Algeria,0.8,1.1,1.9,1.7,1.7,1.8,1.8,1.9,1.9,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,,Central and South America,
Armenia,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Australia,0.5,0.9,1.3,1.5,1.6,1.7,1.7,1.7,1.7,,OECD,
Austria,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,OECD,EU
Azerbaijan,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,0,0,0,0,0,0,0,0,0,Middle East,,
Bangladesh,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,,Non-OECD Asia,
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,,
Belarus,3,2.3,1.9,1.7,1.7,1.7,1.7,1.6,1.6,,Non-OECD Europe & Eurasia,
Belgium,1,1,0.9,0.8,0.8,0.8,0.7,0.7,0.7,,OECD,EU
Belize,0,0,0,0,0,0,0,0,0,Central and South America,,
Benin,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Africa,,
Bhutan,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,Non-OECD Asia,,
Bolivia,0,0,0,0,0,0,0,0,0,,Central and South America,
Bosnia and Herzegovina,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,Non-OECD Europe & Eurasia,,
Botswana,0,0,0,0,0,0,0,0,0,Africa,,
Brazil,3.1,3.6,3.6,4,4.7,5,5.3,5.6,6,,Central and South America,
Brunei,0,0,0,0,0.1,0.1,0.1,0.1,0.1,Non-OECD Asia,,
Bulgaria,1.5,0.8,0.6,0.5,0.5,0.5,0.4,0.4,0.4,,Non-OECD Europe & Eurasia,EU
Burkina Faso,0.1,0.1,0.2,0.3,0.5,0.5,0.6,0.7,0.8,Africa,,
Burma,1.9,2.1,2.3,2.6,2.9,3.3,3.7,4.2,4.6,,Non-OECD Asia,
Burundi,0,0,0,0,0.1,0.1,0.1,0.1,0.1,Africa,,
Cambodia,1,1.3,1.3,1.4,1.6,1.7,1.9,2,2.2,,Non-OECD Asia,
Cameroon,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,Africa,,
Canada,3.1,3.7,4,4.3,4.1,4.3,4.3,4.4,4.5,,OECD,
Cape Verde,0,0,0,0,0,0,0,0,0,Africa,,
Central African Republic,0,0,0,0,0,0,0,0,0,Africa,,
Chad,0,0,0,0,0,0,0,0,0,Africa,,
Chile,1.8,1,0.3,0.4,0.4,0.4,0.4,0.5,0.5,,OECD,
