# File: EPA_SF6_Semi.csv
# Title: EPA SF6 emissions from the manufacture of semiconductors
# Source: EPA Global mitigation of Non-CO2 GHG Gases (https://www.epa.gov/global-mitigation-non-co2-greenhouse-gases/global-non-co2-greenhouse-gas-emission-projections)
# Description: Sector Industrial Processes Manufacture of Semiconductors
# Units: MtCO2e
# Column types: cnnnnnnnnn
country,1990,1995,2000,2005,2010,2015,2020,2025,2030
Afghanistan,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0
Armenia,0,0,0,0.00539929,0,0,0,0,0
Australia,0.000878744,0.000878744,0.001107831,0.00126473,0.007221647,0.00931973,0.105757855,0.115114728,0.125299453
Austria,0.0974016,0.409032,0.3173532,0.16136016,0.06555456,0.04167156,0.026223774,0.027624991,0.029148179
Azerbaijan,0,0,0,0,0,0,0,0,0
"Bahamas, The",0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0.000978132,0.00990337,0.010223667,0.010986665,0.011835759
Belgium,0.001633342,0.001633342,0.001768076,0.002018484,0.0029412,0.002567508,0.00610517,0.006367776,0.006649805
Belize,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0
Brazil,0.002515246,0.002515246,0,0,0,0.001353751,0.004057848,0.004676698,0.005291254
Brunei,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0.000726446,0.000829331,0.000615619,0.000251588,0.000275235,0.000321868,0.000373133
Burkina Faso,0,0,0,0,0,0,0,0,0
Burma,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0
Canada,0.004377652,0.004377652,0.002893466,0.004068457,0.001643284,0.001261927,0.001317575,0.001454709,0.001606117
Central African Republic,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0
China,0.013292654,0.013292654,0.038869332,0.09539749,0.07889249,0.153831998,0.196626204,0.243449771,0.301194383
Colombia,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),0,0,0,0,0,0,0,0,0
Congo (Kinshasa),0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,0,0,0,0,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0
Czechia,0.000964108,0.000964108,0.00857736,0.00112632,0.001576848,0.00272916,0.004038594,0.004544832,0.005117026
Denmark,0,0,0,0,0.000112513,0.000164091,0.000172925,0.000186565,0.000200984
Djibouti,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0
Finland,0.000764125,0.000764125,0.000726446,0.000829331,0.002852811,0.004160327,0.004358932,0.004753923,0.005184708
France,0.055524571,0.055021024,0.064741678,0.035226,0.0049476,0.002355341,0.001821532,0.001892594,0.001966701
Gabon,0,0,0,0,0,0,0,0,0
"Gambia, The",0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0
Germany,0.08436,0.047281667,0.053745356,0.0711588,0.017061,0.019608,0.02426242,0.024752472,0.025218338
Ghana,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0
Holy See,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0
