# File: EPA_N2O_OthAg.csv
# Title: N2O emissions from other agriculture
# Units: MtCO2eq
# Description: Sector Agriculture (savanna burning ag residue burning and soils)
# Column types: cnnnnnnnnnccc
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Albania,0,0,0.3,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Algeria,0,0,0,0,0,0,0,0,0,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,63.4,60.1,60.1,65.8,65.8,65.8,65.8,65.8,65.8,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,4.5,3.4,3.5,2.7,2.7,2.7,2.7,2.7,2.7,,Central and South America,
Armenia,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Australia,16.6,12.9,22.9,11,11,11,11,11,11,,OECD,
Austria,0.1,0,0,0,0,0,0,0,0,,OECD,EU
Azerbaijan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,0,0,0,0,0,0,0,0,0,Middle East,,
Bangladesh,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,Non-OECD Asia,
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,,
Belarus,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Belgium,0,0,0,0,0,0,0,0,0,,OECD,EU
Belize,0,0,0,0,0,0,0,0,0,Central and South America,,
Benin,4.3,4.2,3.7,2.9,2.9,2.9,2.9,2.9,2.9,Africa,,
Bhutan,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Non-OECD Asia,,
Bolivia,18.2,16.3,15.5,21.1,21.1,21.1,21.1,21.1,21.1,,Central and South America,
Bosnia and Herzegovina,0,0,0.6,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Botswana,3.4,2.7,0.8,1.1,1.1,1.1,1.1,1.1,1.1,Africa,,
Brazil,98.8,90.6,80.7,120.9,120.9,120.9,120.9,120.9,120.9,,Central and South America,
Brunei,0.9,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,Non-OECD Asia,,
Bulgaria,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.1,,Non-OECD Europe & Eurasia,EU
Burkina Faso,1.1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,Africa,,
Burma,68.7,77.4,57.3,52.3,52.3,52.3,52.3,52.3,52.3,,Non-OECD Asia,
Burundi,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Africa,,
Cambodia,1.8,1.8,1,3.5,3.5,3.5,3.5,3.5,3.5,,Non-OECD Asia,
Cameroon,9.6,9.2,9.1,7.2,7.2,7.2,7.2,7.2,7.2,Africa,,
Canada,2.8,19.6,1.8,2.9,2.9,2.9,2.9,2.9,2.9,,OECD,
Cape Verde,0,0,0,0,0,0,0,0,0,Africa,,
Central African Republic,53.8,49,35.4,34.6,34.6,34.6,34.6,34.6,34.6,Africa,,
Chad,5,4.4,5.1,4.7,4.7,4.7,4.7,4.7,4.7,Africa,,
Chile,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,OECD,
China,3,3,1.7,1.2,1.2,1.2,1.2,1.2,1.2,,Non-OECD Asia,
Colombia,5.6,5.2,5.3,3.7,3.7,3.7,3.7,3.7,3.7,,Central and South America,
Comoros,0,0,0,0,0,0,0,0,0,Africa,,
Congo (Brazzaville),5,4.8,4.4,4.8,4.8,4.8,4.8,4.8,4.8,Africa,,
Congo (Kinshasa),135.3,127.9,109.7,106.2,106.2,106.2,106.2,106.2,106.2,,Africa,
Cook Islands,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Costa Rica,0,0.1,0,0,0,0,0,0,0,Central and South America,,
Cote d'Ivoire,11.8,12,12.6,12,12,12,12,12,12,Africa,,
Croatia,0,0,0.1,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Cuba,0.5,0.5,0.4,0.2,0.2,0.2,0.2,0.2,0.2,Central and South America,,
Cyprus,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,EU
Czech Republic,0.2,0.1,0.1,0,0,0,0,0,0,,OECD,EU
Denmark,0,0,0,0,0,0,0,0,0,,OECD,EU
Djibouti,0,0,0,0,0,0,0,0,0,Africa,,
Dominica,0,0,0,0,0,0,0,0,0,Central and South America,,
Dominican Republic,0.1,0.1,0,0,0,0,0,0,0,Central and South America,,
Ecuador,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,,Central and South America,OPEC
Egypt,0,0,0,0,0,0,0,0,0,,Africa,
El Salvador,0,0,0,0,0,0,0,0,0,Central and South America,,
Equatorial Guinea,0,0,0,0,0,0,0,0,0,Africa,,
Eritrea,0.1,0.1,0.1,0,0,0,0,0,0,Africa,,
Estonia,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,EU
Ethiopia,7.8,6.8,6.8,6.9,6.9,6.9,6.9,6.9,6.9,,Africa,
Fiji,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Finland,0,0,0,0,0,0,0,0,0,,OECD,EU
France,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,OECD,EU
Gabon,0.4,0.4,0.3,0.5,0.5,0.5,0.5,0.5,0.5,Africa,,
