# File: EPA_PFC_Semi.csv
# Title: EPA PFC emissions from Manufacture of Semiconductors
# Source: EPA Global mitigation of Non-CO2 GHG Gases (https://www.epa.gov/global-mitigation-non-co2-greenhouse-gases/global-non-co2-greenhouse-gas-emission-projections)
# Description: Gas PFCs; Sector Industrial Processes - Manufacture of Semiconductors
# Units: MtCO2e
# Column types: cnnnnnnnnn
country,1990,1995,2000,2005,2010,2015,2020,2025,2030
Afghanistan,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0
Armenia,0,0,0,0.025034039,0,0,0,0,0
Australia,0.00497255,0.00497255,0.006679254,0.005863973,0.049033782,0.039711638,0.450637266,0.490507171,0.533904577
Austria,0.034028253,0.08334963,0.08731604,0.1577892,0.078048961,0.049549343,0.039363297,0.041466599,0.043752986
Azerbaijan,0,0,0,0,0,0,0,0,0
"Bahamas, The",0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0.006641355,0.042198546,0.043563338,0.046814496,0.050432508
Belgium,0.014592618,0.014592618,0.016830423,0.014776075,0.00652648,0.007911196,0.010165403,0.010602655,0.011072247
Belize,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0
Brazil,0.014233023,0.014233023,0,0,0,0.005768372,0.017290607,0.019927543,0.022546185
Brunei,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0.004379838,0.003845228,0.004179953,0.001072024,0.001172786,0.001371489,0.001589932
Burkina Faso,0,0,0,0,0,0,0,0,0
Burma,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0
Canada,5.89E-05,0.023383376,0.03017802,0.004432609,0.001874684,0.002064473,0.002220269,0.002451356,0.002706496
Central African Republic,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0
China,0.04119823,0.04119823,0.128354713,0.242259825,0.533502807,0.730069659,0.933166226,1.155385701,1.429435248
Colombia,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),0,0,0,0,0,0,0,0,0
Congo (Kinshasa),0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,0,0,0,0,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0
Czechia,0.000231078,0.000231078,0.002590565,0.005516346,0.040202461,0.000442292,0.00043945,0.000494535,0.000556797
Denmark,0,0,0,0,0.000763943,0.000699197,0.00073684,0.000794959,0.000856397
Djibouti,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0
Finland,0.004323956,0.004323956,0.004379838,0.003845228,0.019370114,0.017727275,0.018573536,0.020256605,0.022092188
France,0.202554052,0.308078122,0.583721345,0.357486834,0.171202616,0.070132263,0.084439456,0.087733624,0.091168933
Gabon,0,0,0,0,0,0,0,0,0
"Gambia, The",0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0
Germany,0.1715765,0.265099667,0.428836434,0.30834973,0.148404333,0.14117344,0.149624082,0.152646193,0.155519141
Ghana,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0
Holy See,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0
