# File: EPA_CH4_Oilgas.csv
# Title: CH4 emissions from Natural Gas and Oil Systems
# Units: MtCO2eq
# Description: Sector Energy
# Column types: cnnnnnnnnnccc
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,0.9,0.1,0.1,0,0,0,0,0,0,Non-OECD Asia,,
Albania,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Algeria,10.6,12.4,20.9,25.8,27.8,34.1,36.8,38,39,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,17.9,24.3,28.1,47.4,84.9,92.3,88.7,92.4,99.8,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,8.3,10.2,10.8,11.6,12.2,12.2,13.1,14.8,16.9,,Central and South America,
Armenia,1.7,1.1,0.5,0.6,0.6,0.7,0.7,0.8,0.8,,Non-OECD Europe & Eurasia,
Australia,7,7,5.9,4.9,5.3,5.6,6,6.2,6.5,,OECD,
Austria,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,OECD,EU
Azerbaijan,9.3,6.5,8.5,11.9,24.4,31.6,34.1,35.7,38,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,0.5,0.5,0.6,0.8,0.9,1,1.1,1.2,1.2,Middle East,,
Bangladesh,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Barbados,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,Central and South America,,
Belarus,1.2,1.2,1.5,1.6,1.7,1.6,1.7,1.7,1.8,,Non-OECD Europe & Eurasia,
Belgium,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,,OECD,EU
Belize,0,0,0,0,0.1,0.1,0.1,0.1,0.2,Central and South America,,
Benin,0.1,0.1,0,0,0,0,0,0,0,Africa,,
Bhutan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bolivia,0.7,1.6,0.7,1.9,2.2,2.3,2.4,2.7,3,,Central and South America,
Bosnia and Herzegovina,0,0.4,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Botswana,0,0,0,0,0,0,0,0,0,Africa,,
Brazil,1,1,1.6,3.1,4,5.6,7.3,8.2,9.1,,Central and South America,
Brunei,8.4,9.1,10.7,11.1,10.9,11.8,12.3,12.6,13.4,Non-OECD Asia,,
