# File: EPA_N2O_Waste.csv
# Title: N2O emissions from domestic wastewater
# Units: MtCO2eq
# Description: Sector Waste human sewage and domestic wastewater
# Column types: cnnnnnnnnnccc
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,Non-OECD Asia,,
Albania,0,0,0,0,0.1,0.1,0.1,0.1,0.1,,Non-OECD Europe & Eurasia,
Algeria,0.3,0.3,0.5,0.5,0.5,0.6,0.6,0.6,0.6,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,0.8,0.9,1,1,1.1,1.1,1.2,1.2,1.3,,Central and South America,
Armenia,0.1,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Australia,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,,OECD,
Austria,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,OECD,EU
Azerbaijan,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,0,0,0,0,0,0,0,0,0,Middle East,,
Bangladesh,0.7,0.7,0.9,1,1.1,1.2,1.2,1.3,1.4,,Non-OECD Asia,
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,,
Belarus,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,Non-OECD Europe & Eurasia,
Belgium,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,OECD,EU
Belize,0,0,0,0,0,0,0,0,0,Central and South America,,
Benin,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Africa,,
Bhutan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bolivia,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,,Central and South America,
Bosnia and Herzegovina,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,Non-OECD Europe & Eurasia,,
Botswana,0,0,0,0,0,0,0,0,0,Africa,,
Brazil,2.8,3.4,3.8,4.3,4.6,4.9,5.1,5.3,5.5,,Central and South America,
Brunei,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bulgaria,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,,Non-OECD Europe & Eurasia,EU
Burkina Faso,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,Africa,,
Burma,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.6,,Non-OECD Asia,
Burundi,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,Africa,,
Cambodia,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,,Non-OECD Asia,
Cameroon,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,0.9,Africa,,
Canada,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,,OECD,
Cape Verde,0,0,0,0,0,0,0,0,0,Africa,,
Central African Republic,0,0,0,0,0,0,0,0,0,Africa,,
Chad,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Africa,,
Chile,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,,OECD,
