# File: EPA_CH4_EntFerm.csv
# Title: CH4 emissions from Enteric Fermentation
# Units: MtCO2eq
# Description: Sector Agriculture
# Column types: cnnnnnnnnnccc
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,3.7,4.2,5.5,5.8,6.4,7.1,7.8,8.7,9.6,Non-OECD Asia,,
Albania,1.2,1.7,1.5,1.3,1.2,1.2,1.2,1.1,1.1,,Non-OECD Europe & Eurasia,
Algeria,3.4,3.4,3.9,4.2,4.6,5,5.6,6.1,6.8,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,2.3,2.2,3,3.1,3.2,3.5,3.6,3.7,3.8,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,57.4,59,57.5,60.5,62.9,67,69.7,71.6,73.4,,Central and South America,
Armenia,0.9,0.8,0.7,0.8,0.9,0.9,0.9,0.9,0.9,,Non-OECD Europe & Eurasia,
Australia,63.9,59.3,60.4,60.1,57.2,59.4,61.2,62.9,64.7,,OECD,
Austria,3.8,3.6,3.4,3.2,3.2,3.2,3.2,3.2,3.2,,OECD,EU
Azerbaijan,3.4,2.6,3.2,3.9,4.3,4.3,4.3,4.4,4.4,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,0,0,0,0,0,0,0,0,0,Middle East,,
Bangladesh,8.2,8.9,9.1,10,11.5,13.5,15.8,18.7,22.1,,Non-OECD Asia,
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,,
Belarus,10,7.4,6.2,6.1,5.9,5.8,5.7,5.6,5.4,,Non-OECD Europe & Eurasia,
Belgium,4.1,4.1,3.9,3.5,3.4,3.4,3.3,3.3,3.2,,OECD,EU
Belize,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Central and South America,,
Benin,1,1,1.2,1.4,1.6,1.7,1.8,1.9,2,Africa,,
Bhutan,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,Non-OECD Asia,,
Bolivia,7.6,8.7,9.9,6.9,7.5,8.2,8.8,9.5,10.1,,Central and South America,
Bosnia and Herzegovina,1.6,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,Non-OECD Europe & Eurasia,,
Botswana,2,1.9,1.9,1.7,1.9,2.1,2.2,2.2,2.3,Africa,,
Brazil,176.8,192.7,201.6,241.2,210.6,220.9,222,220.8,219,,Central and South America,
Brunei,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bulgaria,3.9,2,1.8,1.6,1.4,1.4,1.3,1.3,1.3,,Non-OECD Europe & Eurasia,EU
Burkina Faso,3.5,4.3,5.3,6.5,7.8,8.8,9.6,10.5,11.5,Africa,,
Burma,12.3,13,14.5,16.1,18.7,21.1,23.6,26.3,29.3,,Non-OECD Asia,
Burundi,0.5,0.3,0.3,0.4,0.6,0.7,0.7,0.8,0.8,Africa,,
Cambodia,2.9,3.6,3.7,3.8,4.4,4.8,5.3,5.7,6.2,,Non-OECD Asia,
Cameroon,2.2,2.2,2.7,2.8,2.9,3.1,3.3,3.4,3.6,Africa,,
Canada,16.3,19.3,19.9,22,20.7,21.2,21.5,21.7,21.8,,OECD,
