# File: EPA_FPD_HFCs.csv
# Title: EPA FPD emissions from flat panel displays
# Source: EPA Global mitigation of Non-CO2 GHG Gases (https://www.epa.gov/global-mitigation-non-co2-greenhouse-gases/global-non-co2-greenhouse-gas-emission-projections)
# Description: Sector Electronics
# Units: MTCO2eq
# Column types: cnnnnnnnnn
country,1990,1995,2000,2005,2010,2015,2020,2025,2030
Afghanistan,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0
Armenia,0,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0
"Bahamas, The",0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0
Brunei,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0
Burma,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0
China,0.00012103,0.000301161,0.000749385,0.01581186,0.060150222,0.125051253,0.188120751,0.27930897,0.339229521
Colombia,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),0,0,0,0,0,0,0,0,0
Congo (Kinshasa),0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,0,0,0,0,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0
"Gambia, The",0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0
Holy See,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0
Iran,0,0,0,0,0,0,0,0,0
Iraq,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0
Jamaica,0,0,0,0,0,0,0,0,0
Japan,7.20E-07,0.0002664,0.00183816,0.002978219,0.003020976,0.001932029,0.001645449,0.002478693,0.003055019
Jordan,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0,0,0,0
"Korea, North",0,0,0,0,0,0,0,0,0
