# File: EPA_N2O_Ag.csv
# Title: N2O emissions from agricultural soils
# Units: MtCO2eq
# Description: Sector Agriculture
# Column types: cnnnnnnnnnccc
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,2.4,2.3,2.8,2.9,3.1,3.3,3.6,4,4.5,Non-OECD Asia,,
Albania,1,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.5,,Non-OECD Europe & Eurasia,
Algeria,12.4,6.6,0.7,0,0,0,0,0,0,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,1.7,1.7,2.3,2.3,2.4,2.6,2.7,2.8,2.8,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,50.2,56.5,65.2,72.1,74.3,80.1,83.9,87,90.2,,Central and South America,
Armenia,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,,Non-OECD Europe & Eurasia,
Australia,13.4,13.9,16.4,16,15.5,16.5,17.2,17.9,18.6,,OECD,
Austria,3.4,3.7,3.2,2.9,3.1,3.3,3.4,3.4,3.4,,OECD,EU
Azerbaijan,1.7,1.1,1.1,1.5,1.6,1.7,1.7,1.8,1.9,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,0,0,0,0,0,0,0,0,0,Middle East,,
Bangladesh,9.6,13,14.3,16.8,20,23.3,27.2,32,38,,Non-OECD Asia,
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,,
Belarus,16.6,10.9,12.1,12.2,12.4,12.5,12.6,12.6,12.7,,Non-OECD Europe & Eurasia,
Belgium,4.9,4.8,4.3,3.9,4.1,4.4,4.4,4.4,4.4,,OECD,EU
Belize,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Central and South America,,
Benin,0,0,2.3,4.5,5.1,5.5,5.9,6.3,6.8,Africa,,
Bhutan,0.8,0.6,0.4,0.1,0.1,0.2,0.2,0.2,0.2,Non-OECD Asia,,
Bolivia,0.3,0.6,0.6,1,1.1,1.2,1.3,1.4,1.5,,Central and South America,
Bosnia and Herzegovina,0.4,0.3,0.5,0.5,0.5,0.5,0.5,0.6,0.6,Non-OECD Europe & Eurasia,,
Botswana,1.6,1.6,1.6,1.4,1.5,1.6,1.7,1.7,1.8,Africa,,
Brazil,98.5,110.8,116.6,141.6,129.9,136.6,138.9,140.4,141.6,,Central and South America,
Brunei,0,0,0,0,0.1,0.1,0.1,0.1,0,Non-OECD Asia,,
Bulgaria,9,4.1,3.4,3.5,3.3,3.4,3.4,3.4,3.5,,Non-OECD Europe & Eurasia,EU
Burkina Faso,3.4,4.1,5,6.4,7.5,8.4,9.2,10,11,Africa,,
Burma,5,5.8,6.9,7.2,8.3,9.3,10.3,11.4,12.7,,Non-OECD Asia,
Burundi,0,0,7.7,25.4,35.4,38.4,41,43.8,47.5,Africa,,
Cambodia,1.1,1.4,1.5,1.6,1.8,2,2.3,2.7,3.1,,Non-OECD Asia,
Cameroon,3.1,3.1,3.9,4,4.1,4.4,4.7,4.9,5.2,Africa,,
Canada,24.7,26.8,28.6,28.5,31.5,35.5,38,40.6,43.1,,OECD,
Cape Verde,0,0,0.1,0.2,0.2,0.2,0.3,0.3,0.3,Africa,,
Central African Republic,1.4,1.6,1.8,2,2.1,2.2,2.3,2.4,2.4,Africa,,
Chad,2.7,3.1,3.9,4.3,4.7,5.2,5.5,5.7,6,Africa,,
Chile,0.2,5.2,6.6,6.8,7.1,7.6,8,8.4,8.8,,OECD,
China,219,262.6,263.4,308.6,329.2,351.9,369.8,388.1,406.4,,Non-OECD Asia,
