# File: EPA_PFC_Al.csv
# Title: PFC emissions from aluminum
# Source: EPA Global mitigation of Non-CO2 GHG Gases (https://www.epa.gov/global-mitigation-non-co2-greenhouse-gases/global-non-co2-greenhouse-gas-emission-projections)
# Description: PFC emissions from Aluminum production
# Units: MtCO2e
# Column types: cnnnnnnnnn
country,1990,1995,2000,2005,2010,2015,2020,2025,2030
Afghanistan,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0
Argentina,1.57517,0.495823333,0.3261,0.150420144,0.117867286,0.110564246,0.130343029,0.146031172,0.170987811
Armenia,0,0,0,0,0,0,0,0,0
Australia,4.607012919,1.530835665,1.287061789,1.79170112,0.283315235,0.171323657,0.254096036,0.285441228,0.335014278
Austria,1.14875855,0,0,0,0,0,0,0,0
Azerbaijan,0,0.014104289,0,0.032211118,0,0.022931618,0.025110516,0.028726954,0.034253288
"Bahamas, The",0,0,0,0,0,0,0,0,0
Bahrain,0.094018252,0.1578,0.2968,0.19569705,0.11278694,0.113250688,0.126397373,0.143807752,0.170665829
Bangladesh,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0.035260723,0.215488042,0.133087633,0.060862567,0.045863237,0.055862794,0.062031948,0.072057383
Botswana,0,0,0,0,0,0,0,0,0
Brazil,2.20626,2.23188,1.05989,0.90103,0.55283,0.24713066,0.307922914,0.381339077,0.468885318
Brunei,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0
Burma,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0
Cameroon,0.469659083,0.278559708,0.19594441,0.091678265,0.039199619,0.041276913,0.051430718,0.060864598,0.068757533
Canada,7.557842998,6.314018953,4.94844811,3.828827912,1.84681255,0.953619613,0.838936916,0.945642136,1.113202033
Central African Republic,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0
China,3.162109773,6.772941596,7.00649844,5.45621,9.373202857,18.38747616,24.69626002,33.16960163,44.55016554
Colombia,0,0,0.1484,0.547,0.547,0.547,0.547,0.547,0.547
Comoros,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),0,0,0,0,0,0,0,0,0
Congo (Kinshasa),0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,0,0,0,0,0,0,0,0,0
Croatia,1.240238592,4.25375712,1.328482555,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0
Egypt,2.277273489,1.598917646,1.08,0.622865158,0.345630672,0.346615787,0.389025391,0.441902047,0.523708437
El Salvador,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0
France,3.567139804,2.102942438,1.921970107,0.829675875,0.052528211,0.062150082,0.118241477,0.134923216,0.160525642
Gabon,0,0,0,0,0,0,0,0,0
"Gambia, The",0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0
Germany,2.888655,1.80071,0.41328,0.39188044,0.15678537,0.09490156,0.112583809,0.124553012,0.144196951
Ghana,0.547,0.417,0.065,0.00460325,0,0.006214218,0.007742868,0.009588953,0.011790344
Greece,0.190259786,0.062852492,0.108938999,0.052869151,0.039377011,0.0658877,0.094898161,0.108565472,0.129450703
Grenada,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0
