# File: EPA_N2O_StatMob.csv
# Title: N2O emissions from stationary and mobile combustion
# Units: MtCO2eq
# Description: Sector Energy
# Column types: cnnnnnnnnnccc
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Albania,0.1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,,Non-OECD Europe & Eurasia,
Algeria,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,0,0,0,0,0.1,0.1,0.1,0.1,0.1,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,0.6,0.8,1,1,1.2,1.3,1.4,1.6,1.8,,Central and South America,
Armenia,0.1,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Australia,1.3,1.7,2.4,2.8,2.7,2.6,2.6,2.5,2.5,,OECD,
Austria,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,OECD,EU
Azerbaijan,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,0,0,0,0,0,0,0,0,0.1,Middle East,,
Bangladesh,0,0,0,0,0,0.1,0.1,0.1,0.1,,Non-OECD Asia,
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,,
Belarus,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,Non-OECD Europe & Eurasia,
Belgium,0.6,0.7,0.9,0.8,1.3,1.3,1.4,1.4,1.4,,OECD,EU
Belize,0,0,0,0,0,0,0,0,0,Central and South America,,
Benin,0.1,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,Africa,,
Bhutan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bolivia,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,,Central and South America,
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Botswana,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,Africa,,
Brazil,2.6,2.8,2.9,3.7,4.1,4.5,5,5.5,6.1,,Central and South America,
Brunei,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bulgaria,0.3,0.3,0.2,0.2,0.3,0.3,0.4,0.4,0.5,,Non-OECD Europe & Eurasia,EU
Burkina Faso,0,0,0,0,0,0,0,0,0,Africa,,
Burma,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Burundi,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,Africa,,
Cambodia,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,,Non-OECD Asia,
Cameroon,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,Africa,,
