# File: EPA_CH4_Rice.csv
# Title: CH4 emissions from rice cultivation
# Units: MtCO2eq
# Description: Sector Agriculture
# Column types: cnnnnnnnnnccc
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,0.696,0.676,0.517,0.636,0.602,0.616,0.582,0.55,0.52,Non-OECD Asia,,
Albania,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Algeria,0,0,0,0,0,0,0,0,0,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,0,0,0,0,0,0,0,0,0,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,0.4,0.6,0.6,0.5,0.7,0.7,0.8,0.8,0.9,,Central and South America,
Armenia,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Australia,0.5,0.6,0.7,0.3,0,0.1,0.2,0.2,0.3,,OECD,
Austria,0,0,0,0,0,0,0,0,0,,OECD,EU
Azerbaijan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,0,0,0,0,0,0,0,0,0,Middle East,,
Bangladesh,14.6,13.9,15.1,14.7,15.3,15.4,15.9,16.5,17.1,,Non-OECD Asia,
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,,
Belarus,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Belgium,0,0,0,0,0,0,0,0,0,,OECD,EU
Belize,0,0,0,0,0,0,0,0,0,Central and South America,,
Benin,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Africa,,
Bhutan,0.1,0.1,0.1,0.1,0,0,0,0,0,Non-OECD Asia,,
Bolivia,0.2,0.2,0.3,0.4,0.4,0.4,0.3,0.3,0.3,,Central and South America,
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Botswana,0,0,0,0,0,0,0,0,0,Africa,,
Brazil,7.6,9.3,8.3,8.9,6.8,6.8,6.8,6.7,6.7,,Central and South America,
Brunei,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bulgaria,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,,Non-OECD Europe & Eurasia,EU
Burkina Faso,0,0,0,0,0,0,0,0,0,Africa,,
Burma,22.3,28.2,29.5,34.6,36.1,35.8,36.2,36.6,37,,Non-OECD Asia,
Burundi,0,0,0,0,0,0,0,0,0,Africa,,
Cambodia,3,3.2,3.1,4,3.8,3.8,3.6,3.4,3.2,,Non-OECD Asia,
Cameroon,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,Africa,,
Canada,0,0,0,0,0,0,0,0,0,,OECD,
Cape Verde,0,0,0,0,0,0,0,0,0,Africa,,
Central African Republic,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,Africa,,
Chad,1,1.7,2.5,3.1,2.9,3,2.8,2.7,2.5,Africa,,
Chile,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,OECD,
China,139.1,129.1,125.7,120.8,124.6,116.8,113.5,110.3,107.2,,Non-OECD Asia,
Colombia,3.5,3,1.3,1.4,1.3,1.3,1.3,1.2,1.1,,Central and South America,
Comoros,0,0,0,0,0,0,0,0,0,Africa,,
Congo (Brazzaville),0,0,0,0,0,0,0,0,0,Africa,,
Congo (Kinshasa),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,Africa,
