# File: EPA_CH4_OthAg.csv
# Title: CH4 emissions from other agriculture
# Units: MtCO2eq
# Description: Sector Agriculture
# Column types: cnnnnnnnnnccc
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Albania,0,0,0.2,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Algeria,0,0,0,0,0,0,0,0,0,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,40.7,32.2,31.4,32.6,32.6,32.6,32.6,32.6,32.6,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,3.7,2.9,3,2.7,2.7,2.7,2.7,2.7,2.7,,Central and South America,
Armenia,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Australia,12.6,9.9,17.6,8.7,8.7,8.7,8.7,8.7,8.7,,OECD,
Austria,0.1,0,0,0,0,0,0,0,0,,OECD,EU
Azerbaijan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,0,0,0,0,0,0,0,0,0,Middle East,,
Bangladesh,0.6,0.6,0.4,0.5,0.5,0.5,0.5,0.5,0.5,,Non-OECD Asia,
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,,
Belarus,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Belgium,0,0,0,0,0,0,0,0,0,,OECD,EU
Belize,0,0,0,0,0,0,0,0,0,Central and South America,,
Benin,2.9,2.5,1.6,1,1,1,1,1,1,Africa,,
Bhutan,0,0,0.2,0,0,0,0,0,0,Non-OECD Asia,,
Bolivia,10.4,7.5,5.7,11.6,11.6,11.6,11.6,11.6,11.6,,Central and South America,
Bosnia and Herzegovina,0,0,0.4,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Botswana,2.4,1.9,0.5,0.8,0.8,0.8,0.8,0.8,0.8,Africa,,
Brazil,57,41.9,24.4,106.6,106.6,106.6,106.6,106.6,106.6,,Central and South America,
Brunei,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,Non-OECD Asia,,
Bulgaria,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,,Non-OECD Europe & Eurasia,EU
Burkina Faso,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,Africa,,
Burma,39.6,40,12.7,10.8,10.8,10.8,10.8,10.8,10.8,,Non-OECD Asia,
Burundi,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Africa,,
Cambodia,1.5,1.5,0.9,3.8,3.8,3.8,3.8,3.8,3.8,,Non-OECD Asia,
Cameroon,6.4,5.6,5.4,3,3,3,3,3,3,Africa,,
Canada,2.8,18.5,2.1,3.3,3.3,3.3,3.3,3.3,3.3,,OECD,
Cape Verde,0,0,0,0,0,0,0,0,0,Africa,,
Central African Republic,37,32.2,21.5,20.1,20.1,20.1,20.1,20.1,20.1,Africa,,
Chad,3.6,3.1,3.6,3.3,3.3,3.3,3.3,3.3,3.3,Africa,,
Chile,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,,OECD,
China,2.5,2.5,1.3,1,1,1,1,1,1,,Non-OECD Asia,
Colombia,3.3,2.4,2.8,1.2,1.2,1.2,1.2,1.2,1.2,,Central and South America,
Comoros,0,0,0,0,0,0,0,0,0,Africa,,
Congo (Brazzaville),3.2,2.5,2.4,2.1,2.1,2.1,2.1,2.1,2.1,Africa,,
Congo (Kinshasa),86.9,68.9,50.6,43.1,43.1,43.1,43.1,43.1,43.1,,Africa,
Cook Islands,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Costa Rica,0.1,0.1,0,0,0,0,0,0,0,Central and South America,,
Cote d'Ivoire,7.4,6.5,7.7,5.3,5.3,5.3,5.3,5.3,5.3,Africa,,
Croatia,0,0,0.1,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Cuba,0.8,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2,Central and South America,,
Cyprus,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,EU
Czech Republic,0.2,0.1,0.1,0,0,0,0,0,0,,OECD,EU
Denmark,0,0,0,0,0,0,0,0,0,,OECD,EU
Djibouti,0,0,0,0,0,0,0,0,0,Africa,,
Dominica,0,0,0,0,0,0,0,0,0,Central and South America,,
Dominican Republic,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,Central and South America,,
Ecuador,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,Central and South America,OPEC
Egypt,0,0,0,0,0,0,0,0,0,,Africa,
El Salvador,0,0,0,0,0,0,0,0,0,Central and South America,,
Equatorial Guinea,0,0,0,0,0,0,0,0,0,Africa,,
Eritrea,0.1,0,0.1,0,0,0,0,0,0,Africa,,
Estonia,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,EU
Ethiopia,5.6,5,4.9,5.1,5.1,5.1,5.1,5.1,5.1,,Africa,
Fiji,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Finland,0,0,0,0,0,0,0,0,0,,OECD,EU
France,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,OECD,EU
Gabon,0.2,0.2,0,0.4,0.4,0.4,0.4,0.4,0.4,Africa,,
Gambia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Africa,,
Georgia,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Germany,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,OECD,EU
Ghana,2.8,2.4,2.2,1.9,1.9,1.9,1.9,1.9,1.9,Africa,,
Greece,0.1,0.1,0.1,0,0,0,0,0,0,,OECD,EU
Grenada,0,0,0,0,0,0,0,0,0,Central and South America,,
Guatemala,0.4,0.5,13.6,2.6,2.6,2.6,2.6,2.6,2.6,Central and South America,,
Guinea,4.4,3.8,3.2,3.4,3.4,3.4,3.4,3.4,3.4,Africa,,
Guinea-Bissau,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,Africa,,
Guyana,0.5,0.4,0.1,0.2,0.2,0.2,0.2,0.2,0.2,Central and South America,,
Haiti,0,0,0,0,0,0,0,0,0,Central and South America,,
Holy See,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Honduras,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,Central and South America,,
Hungary,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,OECD,EU
Iceland,0,0,0,0,0,0,0,0,0,,OECD,
India,6.4,6.5,7,6,6,6,6,6,6,,Non-OECD Asia,
