# File: EPA_CH4_StatMob.csv
# Title: CH4 emissions from stationary and mobile combustion
# Units: MtCO2eq
# Description: Sector Energy
# Column types: cnnnnnnnnnccc
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Albania,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,Non-OECD Europe & Eurasia,
Algeria,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,0.4,0.9,1.2,1.6,1.6,1.8,2,2.3,2.5,,Central and South America,
Armenia,0.1,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Australia,0.8,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,,OECD,
Austria,0.1,0.1,0.1,0.1,0,0,0,0,0,,OECD,EU
Azerbaijan,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,0,0,0,0,0,0,0,0,0,Middle East,,
Bangladesh,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,,
Belarus,0.4,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,,Non-OECD Europe & Eurasia,
Belgium,0.4,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.2,,OECD,EU
Belize,0,0,0,0,0,0,0,0,0,Central and South America,,
Benin,0.3,0.3,0.4,0.6,0.6,0.7,0.7,0.8,0.8,Africa,,
Bhutan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bolivia,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.3,0.4,,Central and South America,
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Botswana,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.4,Africa,,
Brazil,7.1,5.8,5.6,7.2,8.1,8.9,9.7,10.6,11.6,,Central and South America,
Brunei,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bulgaria,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,,Non-OECD Europe & Eurasia,EU
Burkina Faso,0,0,0,0,0,0,0,0,0,Africa,,
Burma,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Burundi,0.4,0.6,0.4,0.1,0.1,0.1,0.1,0.1,0.1,Africa,,
Cambodia,0.6,0.5,0.5,0.6,0.7,0.8,1,1.1,1.4,,Non-OECD Asia,
Cameroon,0.9,0.8,0.9,0.9,1,1.1,1.2,1.3,1.4,Africa,,
Canada,2.4,2.5,3.3,3,3,3,2.9,2.9,2.9,,OECD,
Cape Verde,0,0,0,0,0,0,0,0,0,Africa,,
Central African Republic,4.4,6.5,5.7,5.4,5.9,6.3,6.7,7.2,7.7,Africa,,
