# File: EPA_CH4_Coal.csv
# Title: CH4 emissions from Coal
# Units: MtCO2eq
# Description: Sector Energy
# Column types: cnnnnnnnnnccc
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,Non-OECD Asia,,
Albania,0.78,0.06,0.01,0.03,0.04,0.05,0.05,0.05,0.05,,Non-OECD Europe & Eurasia,
Algeria,0,0,0,0,0,0,0,0,0,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,0,0,0,0,0,0,0,0,0,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,0.2,0.3,0.2,0,0.1,0.1,0.2,0.2,0.2,,Central and South America,
Armenia,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Australia,17.8,17.4,20.8,22.8,27.2,29.6,31.1,33.7,36.6,,OECD,
Austria,0,0,0,0,0,0,0,0,0,,OECD,EU
Azerbaijan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,0,0,0,0,0,0,0,0,0,Middle East,,
Bangladesh,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,,
Belarus,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Belgium,0.3,0,0,0,0,0,0,0,0,,OECD,EU
Belize,0,0,0,0,0,0,0,0,0,Central and South America,,
Benin,0,0,0,0,0,0,0,0,0,Africa,,
Bhutan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bolivia,0,0,0,0,0,0,0,0,0,,Central and South America,
Bosnia and Herzegovina,0.3,0,1.2,1.4,1.5,1.6,1.5,1.5,1.6,Non-OECD Europe & Eurasia,,
Botswana,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,Africa,,
Brazil,1.1,0.9,0.9,1,1.1,1.5,1.8,1.8,2.1,,Central and South America,
