# File: EPA_CH4_Bio.csv
# Title: CH4 emissions from biomass combustion
# Units: MtCO2eq
# Description: Sector Energy
# Column types: cnnnnnnnnnccc
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Albania,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,Non-OECD Europe & Eurasia,
Algeria,0,0,0,0,0,0,0,0,0,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,0.8,0.9,1,1.2,1.3,1.3,1.4,1.4,1.5,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,,Central and South America,
Armenia,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Australia,1.7,1.7,1.4,1,1.1,1.3,1.5,1.8,2.1,,OECD,
Austria,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.4,,OECD,EU
Azerbaijan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,0,0,0,0,0,0,0,0,0,Middle East,,
Bangladesh,1.8,1.9,2,2.2,2.3,2.3,2.3,2.3,2.4,,Non-OECD Asia,
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,,
Belarus,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,Non-OECD Europe & Eurasia,
Belgium,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,OECD,EU
Belize,0,0,0,0,0,0,0,0,0,Central and South America,,
Benin,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,Africa,,
Bhutan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bolivia,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,Central and South America,
Bosnia and Herzegovina,0,0,0,0,0,0.1,0.1,0.1,0.1,Non-OECD Europe & Eurasia,,
Botswana,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,Africa,,
Brazil,4.5,3.7,3.8,4.9,5.2,5.6,5.9,6.3,6.8,,Central and South America,
Brunei,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bulgaria,0,0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,,Non-OECD Europe & Eurasia,EU
Burkina Faso,0,0,0,0,0,0,0,0,0,Africa,,
Burma,2.2,2.2,2.3,2.5,2.6,2.6,2.6,2.6,2.7,,Non-OECD Asia,
Burundi,0,0,0,0,0,0,0,0,0,Africa,,
Cambodia,0,0.7,0.8,0.9,0.9,0.9,0.9,0.9,1,,Non-OECD Asia,
