# File: EPA_N2O_OtherEn.csv
# Title: N2O emissions from other energy
# Units: MtCO2eq
# Description: Sector Energy (Fugitive from natural gas and oil and fugitive from solid fuels)
# Column types: cnnnnnnnnnccc
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Albania,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Algeria,0,0,0,0,0,0,0,0,0,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,0,0,0,0,0,0,0,0,0,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,0,0,0,0,0,0,0,0,0,,Central and South America,
Armenia,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Australia,0,0,0,0,0,0,0,0,0,,OECD,
Austria,0,0,0,0,0,0,0,0,0,,OECD,EU
Azerbaijan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,0,0,0,0,0,0,0,0,0,Middle East,,
Bangladesh,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,,
Belarus,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Belgium,0,0,0,0,0,0,0,0,0,,OECD,EU
Belize,0,0,0,0,0,0,0,0,0,Central and South America,,
Benin,0,0,0,0,0,0,0,0,0,Africa,,
Bhutan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bolivia,0,0,0,0,0,0,0,0,0,,Central and South America,
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Botswana,0,0,0,0,0,0,0,0,0,Africa,,
Brazil,0,0,0,0,0,0,0,0,0,,Central and South America,
Brunei,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bulgaria,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,EU
Burkina Faso,0,0,0,0,0,0,0,0,0,Africa,,
Burma,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Burundi,0,0,0,0,0,0,0,0,0,Africa,,
Cambodia,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Cameroon,0,0,0,0,0,0,0,0,0,Africa,,
Canada,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,OECD,
Cape Verde,0,0,0,0,0,0,0,0,0,Africa,,
Central African Republic,0,0,0,0,0,0,0,0,0,Africa,,
Chad,0,0,0,0,0,0,0,0,0,Africa,,
Chile,0,0,0,0,0,0,0,0,0,,OECD,
China,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Colombia,0,0,0,0,0,0,0,0,0,,Central and South America,
Comoros,0,0,0,0,0,0,0,0,0,Africa,,
Congo (Brazzaville),0,0,0,0,0,0,0,0,0,Africa,,
Congo (Kinshasa),0,0,0,0,0,0,0,0,0,,Africa,
Cook Islands,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Costa Rica,0,0,0,0,0,0,0,0,0,Central and South America,,
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,Africa,,
Croatia,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Cuba,0,0,0,0,0,0,0,0,0,Central and South America,,
