# File: EPA_HCFC22.csv
# Title: High GWP emissions from Production of HCFC22
# Source: EPA Global mitigation of Non-CO2 GHG Gases (https://www.epa.gov/global-mitigation-non-co2-greenhouse-gases/global-non-co2-greenhouse-gas-emission-projections)
# Units: MtCO2eq
# Description: Sector HCFC22
# Column types: cnnnnnnnnn
country,1990,1995,2000,2005,2010,2015,2020,2025,2030
Afghanistan,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0
Argentina,0,0,0.153644651,0.638298645,6.686801455,3.847627886,2.723229933,3.145156015,4.014104633
Armenia,0,0,0,0,0,0,0,0,0
Australia,1.42468352,0.909312,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0
"Bahamas, The",0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0
Brazil,1.40634,1.7901,0,0,0,0,0,0,0
Brunei,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0
Burma,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0
Canada,0.970540192,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0
China,0,1.283119504,11.43926855,41.98689,96.36625429,127.3187433,98.45118833,115.9764738,148.0186352
Colombia,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),0,0,0,0,0,0,0,0,0
Congo (Kinshasa),0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,0,0,0,0,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0
France,2.073036,0.270248,0.43512,0.483439579,0.1364264,0.1144632,0.196107708,0.250288652,0.319438792
Gabon,0,0,0,0,0,0,0,0,0
"Gambia, The",0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0
Germany,3.197445818,1.91808,0.184704,0.200103438,0.343878493,0.36151528,0.394102596,0.502985877,0.641951601
Ghana,0,0,0,0,0,0,0,0,0
Greece,1.182816,4.114992,4.724752,2.72912,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0
Holy See,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0
India,0,1.998190336,5.2,2.608365,0.01673,0.012921621,0.009145517,0.010562486,0.013480706
Indonesia,0,0,0,0,0,0,0,0,0
Iran,0,0,0,0,0,0,0,0,0
Iraq,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0
Italy,0.444,0.444,0.001254374,0.001302416,0.001009669,0.001256702,0.001268161,0.001618531,0.002065701
Jamaica,0,0,0,0,0,0,0,0,0
