# File:IMF_GDP_growth.csv
# Title: GDP growth rate projections
# Units: Percent
# Description: GDP real growth by country 1980-2024
# Source: http://www.imf.org/external/pubs/ft/weo/2015/02/weodata/index.aspx, accessed 08/09/2019
# Column types: iccccccccccccccccccccccccccccccccccccccccccccccccccci 
# ----------
WEO Country Code,ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
512,AFG,Afghanistan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.692,0.671,11.83,5.361,13.34,3.863,20.585,8.438,6.479,13.968,5.683,2.697,0.988,2.164,2.665,2.3,3,3.5,3.997,4.495,4.992,5.489,2017
914,ALB,Albania,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.684,5.7,2.9,1.1,2,-1.5,5.6,-0.8,-1.4,9.8,-10,-28,-7.2,9.6,9.4,8.9,9.1,-10.924,8.829,12.891,6.946,8.293,4.537,5.529,5.515,5.526,5.903,5.983,7.5,3.354,3.707,2.545,1.418,1.024,1.784,2.207,3.347,3.844,4.162,3.664,3.86,3.856,3.963,3.973,3.991,2017
612,DZA,Algeria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-5.4,3,6.4,5.4,5.6,5.6,-0.2,-0.7,-1.9,4.8,0.8,-1.2,1.6,-2.102,-0.9,3.848,3.8,1.1,5.098,3.2,3.8,3,5.6,7.2,4.3,5.9,1.684,3.373,2.36,1.632,3.616,2.823,3.391,2.8,3.8,3.7,3.2,1.4,2.059,2.316,1.777,1.369,1.085,0.387,0.432,2017
614,AGO,Angola,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.406,-4.4,0,4.2,6,3.5,2.9,4.083,6.129,0.042,-3.45,0.991,-5.838,-23.983,1.339,15,13.544,7.274,4.691,2.181,3.055,4.206,13.666,2.99,10.953,15.029,11.548,14.01,11.166,0.859,4.859,3.472,8.542,4.955,4.823,0.944,-2.58,-0.15,-1.699,0.444,2.881,2.219,2.962,3.801,3.862,2017
311,ATG,Antigua and Barbuda,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.161,3.815,-0.084,5.364,10.165,7.644,11.494,6.626,5.213,5.252,3.012,2.177,1.158,5.28,6.676,-4.359,6.605,5.471,4.731,3.708,6.692,-4.954,1.024,6.058,5.736,6.412,12.729,9.259,-0.03,-12.108,-7.2,-2.079,3.507,-0.104,4.658,4.026,4.827,3.627,5.326,3.982,3.305,2.499,2,2,2,2017
213,ARG,Argentina,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.7,-5.744,-3.149,3.733,2,-6.951,7.146,2.529,-1.957,-7.007,-1.338,10.498,10.299,6.251,5.83,-2.845,5.527,8.111,3.85,-3.385,-0.789,-4.409,-10.894,8.955,8.911,8.852,8.047,9.008,4.057,-5.919,10.125,6.004,-1.026,2.405,-2.513,2.731,-2.08,2.669,-2.515,-1.201,2.164,3.217,3.402,3.649,3.562,2018
911,ARM,Armenia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-14.054,5.4,8.033,5.169,3.387,6.271,3.17,5.853,9.468,14.807,14.052,10.473,14.113,13.198,13.749,6.948,-14.15,2.2,4.7,7.134,3.3,3.606,3.254,0.261,7.479,5.028,4.556,4.5,4.5,4.5,4.5,4.5,2017
314,ABW,Aruba,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.255,7.017,1.871,1.368,7.604,-2.97,-3.271,1.977,7.909,1.22,1.051,2.034,0.153,-11.334,-3.339,3.505,-1.368,4.165,0.904,-0.448,0.483,2.308,1.2,0.7,0.9,1.1,1.1,1.1,1.1,2017
193,AUS,Australia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.894,4.127,0.063,-0.474,6.346,5.456,2.448,4.893,4.253,4.626,1.502,-1.009,2.565,3.902,4.892,2.843,4.159,4.558,4.723,4.446,3.038,2.601,4.176,2.671,4.28,2.878,2.819,4.368,2.675,1.884,2.386,2.765,3.875,2.137,2.642,2.461,2.779,2.382,2.811,2.072,2.759,2.762,2.641,2.65,2.638,2018
122,AUT,Austria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.314,-0.099,1.908,2.804,0.332,2.243,2.341,1.681,0.961,3.887,4.346,3.442,2.094,0.527,2.402,2.668,2.398,2.094,3.581,3.556,3.376,1.267,1.652,0.941,2.735,2.244,3.454,3.727,1.46,-3.765,1.837,2.923,0.68,0.026,0.661,1.143,2.04,2.551,2.713,1.976,1.7,1.55,1.46,1.46,1.46,2017
912,AZE,Azerbaijan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-23.098,-19.673,-13.027,2.531,8.884,6.007,11.396,6.227,6.486,9.439,10.208,9.254,27.962,34.466,25.463,10.591,9.37,4.789,-1.573,2.203,5.843,2.798,1.05,-3.064,0.107,1.352,3.381,3.075,2.097,1.573,1.495,1.659,2017
313,BHS,The Bahamas,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.1,-2.9,6.3,6.8,2.4,4.1,2.6,3.7,2.255,2.3,1.052,-4.182,-3.826,0.308,3.149,4.379,4.224,4.946,4.716,7.144,4.149,2.626,2.705,-1.265,0.883,3.395,2.517,1.446,-2.324,-4.175,1.539,0.613,3.087,-0.41,-0.148,1.045,-1.69,1.437,2.3,2.1,1.6,1.5,1.5,1.5,1.5,2017
