# Electricity technology capital costs,,,,,,,,,,,,,,,
supplysector,subsector,technology,input-capital,fixed.charge.rate,capacity.factor,1971,1990,2005,2020,2035,2050,2065,2080,2095,2100
electricity,coal,coal (conv pul),capital,0.15,0.8,496,496,496,496,467,440,414,390,367,367
electricity,coal,coal (IGCC),capital,0.15,0.8,575,575,575,575,517,437,433,410,402,402
electricity,coal,coal (IGCC CCS),capital,0.15,0.8,758,758,758,758,666,558,550,522,512,512
electricity,gas,gas (steam/CT),capital,0.15,0.8,158,158,158,163,154,145,136,128,121,121
electricity,gas,gas (CC),capital,0.15,0.8,233,233,233,233,203,177,173,166,163,163
electricity,gas,gas (CC CCS),capital,0.15,0.8,362,362,362,362,313,273,265,254,250,250
electricity,refined liquids,refined liquids (steam/CT),capital,0.15,0.8,158,158,158,163,154,145,136,128,121,121
electricity,refined liquids,refined liquids (IGCC),capital,0.15,0.8,517,517,517,517,451,393,384,368,362,362
electricity,refined liquids,refined liquids (IGCC CCS),capital,0.15,0.8,741,741,741,741,641,558,543,521,513,513
electricity,biomass,biomass (conv),capital,0.15,0.8,511,511,511,511,481,453,427,402,378,378
electricity,biomass,biomass (IGCC),capital,0.15,0.8,592,592,592,592,533,450,446,423,415,415
electricity,biomass,biomass (IGCC CCS),capital,0.15,0.8,763,763,763,763,673,565,558,529,520,520
electricity,nuclear,Gen_II_LWR,capital,0.15,0.9,620,620,620,620,620,620,620,620,620,620
electricity,nuclear,Gen_III,capital,0.15,0.9,815,815,815,2500,2500,2500,2500,2500,2500,2500
electricity,wind,wind,capital,0.125,0.45,642.2,494,380,394.8947368,408.7368421,420.5263158,430.2631579,439.3421053,446.5263158,454.5
electricity,wind,wind_storage,capital,0.125,0.45,1548.04,1190.8,916,892.2894737,884.6315789,891.7631579,914.4736842,933.0789474,950.5263158,967.5
electricity,solar,PV,capital,0.125,0.25,5097.04,3920.8,3016,2059.710526,1511.052632,1191.078947,1009.210526,919.1315789,898.9473684,915
electricity,solar,PV_storage,capital,0.125,0.25,6002.88,4617.6,3552,2557.105263,1986.947368,1663.552632,1493.421053,1412.868421,1401.473684,1426.5
electricity,solar,CSP,capital,0.125,0.31,1813.37,1394.9,1073,1073.552632,1068.736842,1058.736842,1044.736842,1027.921053,1006.526316,1024.5
electricity,solar,CSP_storage,capital,0.125,0.73,3626.74,2789.8,2146,2148.184211,2137.473684,2118.710526,2090.789474,2055.842105,2014.526316,2050.5
electricity,geothermal,geothermal,capital,0.125,0.9,521,521,521,523.2894737,518.7368421,520.7105263,534.2105263,545.3421053,554.1052632,564
elect_td_bld,rooftop_pv,rooftop_pv,capital,0.1,0.25,4403,4403,4403,3018.894737,2253.263158,1826.815789,1568.421053,1521.657895,1509.052632,1536
