# Industry (intermediate service) default shareweights,,,,,,,
supplysector,subsector,technology,1971,2010,2019,2020,2100
industrial energy use,biomass,biomass,1,1,1,1,1
industrial energy use,biomass,biomass cogen,0,0,1,1,1
industrial energy use,coal,coal,1,1,1,1,1
industrial energy use,coal,coal cogen,1,1,1,1,1
industrial energy use,district heat,district heat,1,1,1,1,1
industrial energy use,electricity,electricity,1,1,1,1,1
industrial energy use,gas,gas,1,1,1,1,1
industrial energy use,gas,gas cogen,1,1,1,1,1
industrial energy use,hydrogen,hydrogen,0,0,0,1,1
industrial energy use,hydrogen,hydrogen cogen,0,0,0,1,1
industrial energy use,refined liquids,refined liquids,1,1,1,1,1
industrial energy use,refined liquids,refined liquids cogen,1,1,1,1,1
industrial feedstocks,coal,coal,1,1,1,1,1
industrial feedstocks,gas,gas,1,1,1,1,1
industrial feedstocks,refined liquids,refined liquids,1,1,1,1,1
industry,industry,industry,1,1,1,1,1
