region,0,15,30,45,60
Africa,0.21,0.42,0.53,0.53,0.87
Annex I,0.12,0.40,0.47,0.66,0.91
Australia&NZ,0.07,0.30,0.47,0.47,0.90
Brazil,0.21,0.42,0.53,0.53,0.87
Canada,0.07,0.30,0.30,0.47,0.90
China,0.10,0.42,0.53,0.53,0.87
CIS,0.10,0.42,0.53,0.53,0.87
Eastern Europe,0.21,0.42,0.53,0.53,0.87
EU-15,0.07,0.30,0.47,0.47,0.90
India,0.10,0.53,0.53,0.53,0.87
Japan,0.32,0.66,0.66,0.66,0.90
Latin America,0.10,0.42,0.53,0.53,0.87
Mexico,0.10,0.42,0.53,0.53,0.87
Middle East,0.10,0.42,0.53,0.53,0.87
Non-EU Europe,0.71,0.86,0.86,0.86,0.90
Non-OECD Annex I,0.09,0.39,0.49,0.49,0.80
OECD,0.12,0.40,0.46,0.67,0.92
OPEC,0.10,0.42,0.53,0.53,0.87
Russia,0.10,0.42,0.53,0.53,0.87
South Korea,0.22,0.30,0.37,0.47,0.90
South-SE Asia,0.10,0.42,0.53,0.53,0.87
Turkey,0.22,0.30,0.37,0.37,0.90
Ukraine,0.10,0.42,0.53,0.53,0.87
United States,0.10,0.42,0.42,0.81,0.87
