region,0,15,30,45,60
Africa,0.00,0.37,0.37,0.37,0.46
Annex I,0.00,0.20,0.20,0.20,0.25
Australia&NZ,0.00,0.22,0.22,0.22,0.27
Brazil,0.00,0.27,0.27,0.27,0.33
Canada,0.00,0.27,0.27,0.27,0.34
China,0.00,0.38,0.38,0.38,0.47
CIS,0.00,0.33,0.33,0.33,0.41
Eastern Europe,0.00,0.13,0.13,0.13,0.16
EU-15,0.00,0.12,0.12,0.12,0.14
India,0.00,0.18,0.18,0.18,0.22
Japan,0.00,0.00,0.00,0.00,0.00
Latin America,0.00,0.32,0.32,0.32,0.40
Mexico,0.00,0.35,0.35,0.35,0.43
Middle East,0.00,0.39,0.39,0.39,0.48
Non-EU Europe,0.00,0.38,0.38,0.38,0.47
Non-OECD Annex I,0.00,0.31,0.31,0.31,0.38
OECD,0.00,0.23,0.23,0.23,0.28
OPEC,0.00,0.39,0.39,0.39,0.48
Russia,0.00,0.34,0.34,0.34,0.42
South Korea,0.00,0.02,0.02,0.02,0.03
South-SE Asia,0.00,0.24,0.24,0.24,0.30
Turkey,0.00,0.11,0.11,0.11,0.13
Ukraine,0.00,0.16,0.16,0.16,0.19
United States,0.00,0.18,0.18,0.18,0.22
