region,0,15,30,45,60
Africa,0.55,0.57,0.57,0.57,0.57
Annex I,0.45,0.56,0.56,0.56,0.57
Australia&NZ,0.49,0.57,0.57,0.57,0.57
Brazil,0.49,0.57,0.57,0.57,0.57
Canada,0.49,0.57,0.57,0.57,0.57
China,0.55,0.57,0.57,0.57,0.57
CIS,0.56,0.57,0.57,0.57,0.57
Eastern Europe,0.35,0.55,0.55,0.55,0.55
EU-15,0.00,0.50,0.51,0.51,0.52
India,0.56,0.57,0.57,0.57,0.57
Japan,0.00,0.50,0.51,0.51,0.52
Latin America,0.56,0.57,0.57,0.57,0.57
Mexico,0.49,0.57,0.57,0.57,0.57
Middle East,0.49,0.57,0.57,0.57,0.57
Non-EU Europe,0.00,0.50,0.51,0.51,0.52
Non-OECD Annex I,0.55,0.57,0.57,0.57,0.57
OECD,0.44,0.56,0.56,0.56,0.57
OPEC,0.50,0.57,0.57,0.57,0.57
Russia,0.56,0.57,0.57,0.57,0.57
South Korea,0.49,0.57,0.57,0.57,0.57
South-SE Asia,0.51,0.57,0.57,0.57,0.57
Turkey,0.49,0.57,0.57,0.57,0.57
Ukraine,0.56,0.57,0.57,0.57,0.57
United States,0.49,0.57,0.57,0.57,0.57
