EPA_Source_Category_Raw,Source_Category,CO2,CH4,N2O,HFCs,PFCs,SF6,NOx,CO,NMVOC,SO2
Total Industrial Processes,,146825.25,97.32,69.91,140066.16,6107.35,0.7,534.77,1771.71,1817.65,773.85
A.  Mineral Products,A.  Mineral Products,71195.18,,,,,,,,,
1.  Cement Production,A.  Mineral Products_1.  Cement Production,45909.85,,,,,,,,,
2.  Lime Production,A.  Mineral Products_2.  Lime Production,13659.68,,,,,,,,,
3.  Limestone and Dolomite Use,A.  Mineral Products_3.  Limestone and Dolomite Use,7397.34,,,,,,,,,
4.  Soda Ash Production and Use,A.  Mineral Products_4.  Soda Ash Production and Use,4228.31,,,,,,,,,
5.  Asphalt Roofing,A.  Mineral Products_5.  Asphalt Roofing,,,,,,,,,,
6.  Road Paving with Asphalt,A.  Mineral Products_6.  Road Paving with Asphalt,,,,,,,,,,
7.  Other (as specified in table 2(I).A-G),A.  Mineral Products_7.  Other (as specified in table 2(I).A-G),,,,,,,,,,
Glass Production,A.  Mineral Products_Glass Production,,,,,,,,,,
B.  Chemical Industry ,B.  Chemical Industry ,24065.32,51.7,69.91,,,,63.38,266.99,227.39,240.13
1.  Ammonia Production,B.  Chemical Industry _1.  Ammonia Production,16321.48,,,,,,,,,
2.  Nitric Acid Production ,B.  Chemical Industry _2.  Nitric Acid Production ,,,50.62,,,,,,,
3.  Adipic Acid Production,B.  Chemical Industry _3.  Adipic Acid Production,,,19.29,,,,,,,
4.  Carbide Production,B.  Chemical Industry _4.  Carbide Production,91.7,0.41,,,,,,,,
5.  Other (as specified in table 2(I).A-G),B.  Chemical Industry _5.  Other (as specified in table 2(I).A-G),7652.14,51.29,,,,,63.38,266.99,227.39,240.13
Carbon Black,B.  Chemical Industry _Carbon Black,2896.96,18.16,,,,,,,,
Ethylene,B.  Chemical Industry _Ethylene,,23.95,,,,,,,,
Dichloroethylene,B.  Chemical Industry _Dichloroethylene,,4.5,,,,,,,,
Styrene,B.  Chemical Industry _Styrene,,,,,,,,,,
Methanol,B.  Chemical Industry _Methanol,,4.67,,,,,,,,
Titanium Dioxide Production,B.  Chemical Industry _Titanium Dioxide Production,1921.33,,,,,,,,,
