region,0,15,30,45,60,
Africa,0.00,0.00,0.00,0.00,0.00,
Annex I,0.16,0.19,0.19,0.25,0.25,
Australia&NZ,0.04,0.04,0.04,0.10,0.10,
Brazil,0.00,0.00,0.00,0.00,0.00,
Canada,0.04,0.04,0.04,0.10,0.10,
China,1.00,1.00,1.00,1.00,1.00,
CIS,0.00,0.00,0.00,0.00,0.00,
Eastern Europe,0.32,0.38,0.38,0.41,0.41,
EU-15,0.18,0.25,0.25,0.29,0.29,
India,0.00,0.00,0.00,0.00,0.00,
Japan,0.28,0.28,0.28,0.33,0.33,
Latin America,0.00,0.00,0.00,0.00,0.00,
Mexico,0.00,0.00,0.00,0.00,0.00,
Middle East,0.00,0.00,0.00,0.00,0.00,
Non-EU Europe,0.04,0.04,0.04,0.10,0.10,
Non-OECD Annex I,0.90,0.91,0.91,0.91,0.91,
OECD,0.16,0.19,0.19,0.25,0.25,
OPEC,0.00,0.00,0.00,0.00,0.00,
Russia,0.99,0.99,0.99,0.99,0.99,
South Korea,0.00,0.00,0.00,0.00,0.00,
South-SE Asia,0.00,0.00,0.00,0.00,0.00,
Turkey,0.00,0.00,0.00,0.00,0.00,
Ukraine,0.99,0.99,0.99,0.99,0.99,
United States,0.10,0.10,0.10,0.18,0.18,
