region,0,15,30,45,60,
Africa,0.11,0.20,0.28,0.28,0.28,
Annex I,0.11,0.26,0.28,0.28,0.32,
Australia&NZ,0.04,0.18,0.33,0.33,0.33,
Brazil,0.11,0.27,0.28,0.28,0.28,
Canada,0.04,0.18,0.33,0.33,0.33,
China,0.20,0.23,0.33,0.33,0.33,
CIS,0.11,0.25,0.29,0.29,0.29,
Eastern Europe,0.11,0.23,0.23,0.23,0.41,
EU-15,0.08,0.21,0.23,0.23,0.41,
India,0.17,0.22,0.33,0.33,0.33,
Japan,0.09,0.20,0.29,0.29,0.29,
Latin America,0.11,0.27,0.28,0.28,0.28,
Mexico,0.11,0.27,0.28,0.28,0.28,
Middle East,0.11,0.21,0.28,0.28,0.28,
Non-EU Europe,0.10,0.17,0.23,0.23,0.38,
Non-OECD Annex I,0.17,0.26,0.27,0.27,0.30,
OECD,0.10,0.27,0.28,0.28,0.31,
OPEC,0.11,0.22,0.28,0.28,0.28,
Russia,0.18,0.27,0.28,0.28,0.28,
South Korea,0.11,0.27,0.28,0.28,0.28,
South-SE Asia,0.11,0.27,0.28,0.28,0.28,
Turkey,0.08,0.23,0.23,0.23,0.41,
Ukraine,0.18,0.27,0.28,0.28,0.28,
United States,0.11,0.30,0.30,0.30,0.30,
