region,0,15,30,45,60,
Africa,0.00,0.00,0.00,0.00,0.00,
Annex I,0.00,0.91,0.91,0.91,0.91,
Australia&NZ,0.00,0.00,0.00,0.00,0.00,
Brazil,0.00,0.95,0.95,0.95,0.95,
Canada,0.00,0.00,0.00,0.00,0.00,
China,0.00,0.95,0.95,0.95,0.95,
CIS,0.00,0.00,0.00,0.00,0.00,
Eastern Europe,0.00,0.00,0.00,0.00,0.00,
EU-15,0.00,0.65,0.65,0.65,0.65,
India,0.00,0.95,0.95,0.95,0.95,
Japan,0.00,0.00,0.00,0.00,0.00,
Latin America,0.00,0.95,0.95,0.95,0.95,
Mexico,0.00,0.95,0.95,0.95,0.95,
Middle East,0.00,0.00,0.00,0.00,0.00,
Non-EU Europe,0.00,0.00,0.00,0.00,0.00,
Non-OECD Annex I,0.00,0.95,0.95,0.95,0.95,
OECD,0.00,0.92,0.92,0.92,0.92,
OPEC,0.00,0.95,0.95,0.95,0.95,
Russia,0.00,0.95,0.95,0.95,0.95,
South Korea,0.00,0.95,0.95,0.95,0.95,
South-SE Asia,0.00,0.00,0.00,0.00,0.00,
Turkey,0.00,0.00,0.00,0.00,0.00,
Ukraine,0.00,0.00,0.00,0.00,0.00,
United States,0.00,0.95,0.95,0.95,0.95,
