# File: groundwater_uniform.csv
# Title: Parameters for uniform ground water resource supply curves
# Source: Kim et al. 2016. Balancing global water availability and use at basin scale in an integrated assessment model. Climatic Change, 136(2), pp.217-231.
# Comments: alpha parameter is 0.5, water depth at 50 percentile, water price from 14 region version mapped to 32 region version of GCAM
# Units: NA
# Column types: icnnnnnn
# ----------
GCAM_basin_ID,basin.name,alpha,base.cum,base.rsc,base.prc,hist.use,hist.price
55,Adriatic Sea - Greece - Black Sea Coast,0.5,100,100,0.001,0,0
171,"Africa, East Central Coast",0.5,100,100,0.001,0,0
190,"Africa, Indian Ocean Coast",0.5,100,100,0.001,0,0
144,"Africa, North Interior",0.5,100,100,0.001,0,0
86,"Africa, North West Coast",0.5,100,100,0.001,0,0
100,"Africa, Red Sea - Gulf of Aden Coast",0.5,100,100,0.001,0,0
197,"Africa, South Interior",0.5,100,100,0.001,0,0
142,"Africa, West Coast",0.5,100,100,0.001,0,0
168,Amazon,0.5,100,100,0.001,0,0
58,Amu Darya,0.5,100,100,0.001,0,0
43,Amur,0.5,100,100,0.001,0,0
141,Andaman - Nicobar Islands,0.5,100,100,0.001,0,0
182,"Angola, Coast",0.5,100,100,0.001,0,0
216,Antarctica,0.5,100,100,0.001,0,0
94,Arabian Peninsula,0.5,100,100,0.001,0,0
104,Arabian Sea Coast,0.5,100,100,0.001,0,0
1,Arctic Ocean Islands,0.5,100,100,0.001,0,0
224,Arkansas White Red Basin,0.5,100,100,0.001,0,0
19,Atlantic Ocean Seaboard,0.5,100,100,0.001,0,0
189,"Australia, East Coast",0.5,100,100,0.001,0,0
193,"Australia, Interior",0.5,100,100,0.001,0,0
184,"Australia, North Coast",0.5,100,100,0.001,0,0
202,"Australia, South Coast",0.5,100,100,0.001,0,0
191,"Australia, West Coast",0.5,100,100,0.001,0,0
91,Baja California,0.5,100,100,0.001,0,0
20,Baltic Sea Coast,0.5,100,100,0.001,0,0
116,"Bay of Bengal, North East Coast",0.5,100,100,0.001,0,0
47,"Black Sea, North Coast",0.5,100,100,0.001,0,0
70,"Black Sea, South Coast",0.5,100,100,0.001,0,0
66,"Bo Hai - Korean Bay, North Coast",0.5,100,100,0.001,0,0
120,Brahamani,0.5,100,100,0.001,0,0
217,California River Basin,0.5,100,100,0.001,0,0
101,Caribbean,0.5,100,100,0.001,0,0
143,Caribbean Coast,0.5,100,100,0.001,0,0
45,Caspian Sea Coast,0.5,100,100,0.001,0,0
52,"Caspian Sea, East Coast",0.5,100,100,0.001,0,0
72,"Caspian Sea, South West Coast",0.5,100,100,0.001,0,0
153,Cauvery,0.5,100,100,0.001,0,0
82,Central Iran,0.5,100,100,0.001,0,0
214,Central Patagonia Highlands,0.5,100,100,0.001,0,0
146,Chao Phraya,0.5,100,100,0.001,0,0
78,China Coast,0.5,100,100,0.001,0,0
34,Churchill,0.5,100,100,0.001,0,0
