# File: FAO_municipal_water_AQUASTAT.csv
# Title: Municipal water withdrawals from FAO AQUASTAT database
# Units: km^3
# Comments: missing data for Taiwan filled in from municipal.water.demand.32.csv
# Column types: ciciincc 
# ----------
Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md
Afghanistan,2,Municipal water withdrawal,4251,1987,0.2611,,
Afghanistan,2,Municipal water withdrawal,4251,2000,0.1542,L,
Afghanistan,2,Municipal water withdrawal,4251,2005,0.2034,L,
Albania,3,Municipal water withdrawal,4251,1990,0.1,,
Albania,3,Municipal water withdrawal,4251,2000,0.5504,L,
Albania,3,Municipal water withdrawal,4251,2005,0.5613,L,
Albania,3,Municipal water withdrawal,4251,2017,0.283,,
Algeria,4,Municipal water withdrawal,4251,1980,0.66,,
Algeria,4,Municipal water withdrawal,4251,1990,1.12,I,
Algeria,4,Municipal water withdrawal,4251,2000,1.721,I,
Algeria,4,Municipal water withdrawal,4251,2012,3.02,,
Algeria,4,Municipal water withdrawal,4251,2017,3.6,L,
Angola,7,Municipal water withdrawal,4251,1987,0.067,L,
Angola,7,Municipal water withdrawal,4251,2000,0.246,,
Angola,7,Municipal water withdrawal,4251,2005,0.3195,L,
Antigua and Barbuda,8,Municipal water withdrawal,4251,1990,0.003,,
Antigua and Barbuda,8,Municipal water withdrawal,4251,2005,0.0053,,
Antigua and Barbuda,8,Municipal water withdrawal,4251,2012,0.0072,,
Argentina,9,Municipal water withdrawal,4251,1995,4.56,,
Argentina,9,Municipal water withdrawal,4251,2011,5.85,I,
Armenia,1,Municipal water withdrawal,4251,1995,0.865,I,
Armenia,1,Municipal water withdrawal,4251,2002,0.5168,,
Armenia,1,Municipal water withdrawal,4251,2006,0.843,,
Armenia,1,Municipal water withdrawal,4251,2012,0.6005,,
Armenia,1,Municipal water withdrawal,4251,2017,0.6164,E,
Australia,10,Municipal water withdrawal,4251,2001,4.443,E,
Australia,10,Municipal water withdrawal,4251,2005,4.191,E,
Australia,10,Municipal water withdrawal,4251,2012,3.744,E,
Australia,10,Municipal water withdrawal,4251,2017,3.392,E,
Austria,11,Municipal water withdrawal,4251,1980,0.5582,E,
Austria,11,Municipal water withdrawal,4251,1985,0.7088,,
Austria,11,Municipal water withdrawal,4251,1990,0.6851,,
Austria,11,Municipal water withdrawal,4251,1997,0.6871,,
Austria,11,Municipal water withdrawal,4251,1999,0.6687,,
Austria,11,Municipal water withdrawal,4251,2010,0.72,,
Azerbaijan,52,Municipal water withdrawal,4251,1992,1.013,,
Azerbaijan,52,Municipal water withdrawal,4251,1997,0.3559,,
Azerbaijan,52,Municipal water withdrawal,4251,2002,0.8189,,
Azerbaijan,52,Municipal water withdrawal,4251,2007,0.601,,
Azerbaijan,52,Municipal water withdrawal,4251,2012,0.4888,I,
Azerbaijan,52,Municipal water withdrawal,4251,2017,0.4496,I,
Bahamas,12,Municipal water withdrawal,4251,2000,0.025,I,
Bahamas,12,Municipal water withdrawal,4251,2013,0.031,I,
