# File: aquastat_ctry.csv
# Title: Mapping between aquastat database country names and iso codes
# Units: NA
# Comments: Maps countries in all aquastat databases to iso codes
# Source: NA
# Column types: cccc
# ----------
aquastat_ctry,iso,AusNWC_reg,Superwell_country
Afghanistan,afg,,Afghanistan
Angola,ago,Middle East and Africa,Angola
Albania,alb,,Albania
,and,,Andorra
United Arab Emirates,are,Middle East and Africa,United Arab Emirates
Argentina,arg,Americas,Argentina
Armenia,arm,,Armenia
Antigua and Barbuda,atg,Americas,Antigua and Barbuda
Australia,aus,Asia Pacific,Australia
Austria,aut,Europe,Austria
Azerbaijan,aze,,Azerbaijan
Burundi,bdi,,Burundi
Belgium,bel,,Belgium
Benin,ben,,Benin
Burkina Faso,bfa,,Burkina Faso
Bangladesh,bgd,,Bangladesh
Bulgaria,bgr,,Bulgaria
Bahrain,bhr,Middle East and Africa,Bahrain
Bahamas,bhs,Americas,Bahamas
Bosnia and Herzegovina,bih,,Bosnia and Herzegovina
Belarus,blr,,Belarus
Belize,blz,,Belize
Bolivia (Plurinational State of),bol,,Bolivia
Brazil,bra,Americas,Brazil
Barbados,brb,Americas,Barbados
Brunei Darussalam,brn,,Brunei Darussalam
Bhutan,btn,,Bhutan
Botswana,bwa,,Botswana
Central African Republic,caf,,Central African Republic
Canada,can,Americas,Canada
Switzerland,che,,Switzerland
Chile,chl,Americas,Chile
China,chn,Asia Pacific,China
Cote dIvoire,civ,,Cote dIvoire
Cameroon,cmr,,Cameroon
Democratic Republic of the Congo,cod,,Democratic Republic of the Congo
Congo,cog,,Congo
Colombia,col,,Colombia
Comoros,com,,Comoros
Cabo Verde,cpv,Middle East and Africa,
Cape Verde,cpv,Middle East and Africa,
Costa Rica,cri,,Costa Rica
Cuba,cub,Americas,Cuba
Cyprus,cyp,Europe,Cyprus
Czech Republic,cze,Europe,Czech Republic
Germany,deu,,Germany
Djibouti,dji,Middle East and Africa,Djibouti
Dominica,dma,,Dominica
Denmark,dnk,Europe,Denmark
Dominican Republic,dom,,Dominican Republic
Algeria,dza,Middle East and Africa,Algeria
Ecuador,ecu,Americas,Ecuador
Egypt,egy,Middle East and Africa,Egypt
Eritrea,eri,,Eritrea
Spain,esp,Europe,Spain
Estonia,est,,Estonia
Ethiopia,eth,,Ethiopia
Finland,fin,Europe,Finland
Fiji,fji,,Fiji
,flk,,Falkland Islands
France,fra,Europe,France
,fro,,Faroe Islands
Gabon,gab,,Gabon
United Kingdom,gbr,Europe,United Kingdom
Georgia,geo,,Georgia
,ggy,,Guernsey
Ghana,gha,,Ghana
Guinea,gin,,Guinea
Gambia,gmb,,Gambia
Guinea-Bissau,gnb,,Guinea-Bissau
Equatorial Guinea,gnq,,Equatorial Guinea
Greece,grc,Europe,Greece
Grenada,grd,,
Guatemala,gtm,,Guatemala
Guyana,guy,,Guyana
Honduras,hnd,Americas,Honduras
Croatia,hrv,,Croatia
Haiti,hti,,Haiti
Hungary,hun,Europe,Hungary
Indonesia,idn,Asia Pacific,Indonesia
,imn,,Isle of Man
India,ind,Asia Pacific,India
Ireland,irl,Europe,Ireland
Iran (Islamic Republic of),irn,Middle East and Africa,Iran
Iraq,irq,Middle East and Africa,Iraq
Iceland,isl,,Iceland
Israel,isr,Middle East and Africa,Israel
Italy,ita,Europe,Italy
Jamaica,jam,Americas,Jamaica
,jey,,Jersey
Jordan,jor,Middle East and Africa,Jordan
Japan,jpn,Asia Pacific,Japan
Kazakhstan,kaz,Asia Pacific,Kazakhstan
Kenya,ken,,Kenya
Kyrgyzstan,kgz,,Kyrgyzstan
Cambodia,khm,,Cambodia
