# File: groundwater_trend_watergap.csv
# Title: Historical trends of groundwater depletion based on watergap
# Source: Based on data described in Scanlon et al., 2018. Global models underestimate large decadal declining and rising water storage trends relative to GRACE satellite data, PNAS.
# Units: km^3/yr
# Column types: inccc
# ----------
GCAM_basin_ID,trend_km3PerYr,basinName,scenario,model
55,-0.102,Adriatic Sea - Greece - Black Sea Coast,hi,watergap
171,-0.4756,"Africa, East Central Coast",hi,watergap
190,-0.3051,"Africa, Indian Ocean Coast",hi,watergap
144,-2.0731,"Africa, North Interior",hi,watergap
86,-2.0521,"Africa, North West Coast",hi,watergap
100,-0.0147,"Africa, Red Sea - Gulf of Aden Coast",hi,watergap
197,1.5606,"Africa, South Interior",hi,watergap
142,-1.8643,"Africa, West Coast",hi,watergap
168,2.4376,Amazon,hi,watergap
58,-0.1347,Amu Darya,hi,watergap
43,0.2311,Amur,hi,watergap
141,-0.0068,Andaman - Nicobar Islands,hi,watergap
182,1.2295,"Angola, Coast",hi,watergap
216,0,Antarctica,hi,watergap
94,-9.7365,Arabian Peninsula,hi,watergap
104,-0.6772,Arabian Sea Coast,hi,watergap
1,-0.1313,Arctic Ocean Islands,hi,watergap
224,-4.7167,Arkansas White Red Basin,hi,watergap
19,0.4487,Atlantic Ocean Seaboard,hi,watergap
189,0.2012,"Australia, East Coast",hi,watergap
193,-1.9377,"Australia, Interior",hi,watergap
184,-1.1639,"Australia, North Coast",hi,watergap
202,-0.0178,"Australia, South Coast",hi,watergap
191,-0.0636,"Australia, West Coast",hi,watergap
91,-0.6638,Baja California,hi,watergap
20,0.1381,Baltic Sea Coast,hi,watergap
116,-0.1303,"Bay of Bengal, North East Coast",hi,watergap
47,-0.108,"Black Sea, North Coast",hi,watergap
70,-0.0677,"Black Sea, South Coast",hi,watergap
66,-2.6254,"Bo Hai - Korean Bay, North Coast",hi,watergap
120,0.0903,Brahamani,hi,watergap
217,-5.9161,California River Basin,hi,watergap
101,-0.8172,Caribbean,hi,watergap
143,-0.2031,Caribbean Coast,hi,watergap
45,-0.0881,Caspian Sea Coast,hi,watergap
52,-1.7741,"Caspian Sea, East Coast",hi,watergap
72,-0.1516,"Caspian Sea, South West Coast",hi,watergap
153,-0.7705,Cauvery,hi,watergap
82,-8.0832,Central Iran,hi,watergap
214,-0.0336,Central Patagonia Highlands,hi,watergap
146,0.1207,Chao Phraya,hi,watergap
78,-0.2171,China Coast,hi,watergap
34,0.101,Churchill,hi,watergap
157,0.0159,"Colombia - Ecuador, Pacific Coast",hi,watergap
183,-0.9911,Congo,hi,watergap
54,0.7986,Danube,hi,watergap
25,0.0517,Daugava,hi,watergap
95,-0.0788,Dead Sea,hi,watergap
21,-0.0175,Denmark - Germany Coast,hi,watergap
39,0.0161,Dnieper,hi,watergap
49,-0.0437,Dniester,hi,watergap
53,-0.3224,Don,hi,watergap
74,-0.1723,Douro,hi,watergap
186,1.0846,"East Brazil, South Atlantic Coast",hi,watergap
99,-0.4995,Eastern Jordan - Syria,hi,watergap
73,-0.1178,Ebro,hi,watergap
31,-0.1699,Elbe,hi,watergap
28,-0.07,Ems - Weser,hi,watergap
26,-0.2333,England and Wales,hi,watergap
90,0.0129,Farahrud,hi,watergap
13,0.0602,Finland,hi,watergap
181,0.0335,Fly,hi,watergap
61,-0.2654,"France, South Coast",hi,watergap
41,-0.2798,"France, West Coast",hi,watergap
27,0.0306,Fraser,hi,watergap
110,-11.7494,Ganges - Bramaputra,hi,watergap
64,-0.0792,Gironde,hi,watergap
42,-0.0948,Gobi Interior,hi,watergap
123,-1.8015,Godavari,hi,watergap
222,0.015,Great Basin,hi,watergap
227,0.5421,Great Lakes Basin,hi,watergap
133,0.0086,Grijalva - Usumacinta,hi,watergap
83,-0.0382,Guadalquivir,hi,watergap
81,-0.9095,Guadiana,hi,watergap
162,-1.816,Gulf of Guinea,hi,watergap
148,-0.093,Gulf of Thailand Coast,hi,watergap
124,-0.0319,Hainan,hi,watergap
102,-0.6596,Hamun-i-Mashkel,hi,watergap
234,-0.7934,Hawaii,hi,watergap
97,0.1036,Helmand,hi,watergap
109,0.0257,Hong (Red River),hi,watergap
79,-1.0001,Huang He,hi,watergap
15,0.4104,Hudson Bay Coast,hi,watergap
11,0.1516,Iceland,hi,watergap
145,-0.7833,India East Coast,hi,watergap
