# File: FAO_desal_AQUASTAT.csv
# Title: Desalinated water production by country and year
# Units: km^3
# Column types: ccin
# Source: FAO AQUASTAT database: http://www.fao.org/aquastat/en/
Country,Variable,Year,Value
Algeria,Desalinated water produced,1990,0.064
Algeria,Desalinated water produced,2002,0.017
Angola,Desalinated water produced,1990,1.00E-04
Angola,Desalinated water produced,2000,1.00E-04
Angola,Desalinated water produced,2005,1.00E-04
Antigua and Barbuda,Desalinated water produced,1992,0.0033
Antigua and Barbuda,Desalinated water produced,2005,0.0033
Antigua and Barbuda,Desalinated water produced,2012,0.0071
Argentina,Desalinated water produced,1990,7.00E-04
Argentina,Desalinated water produced,1995,7.00E-04
Argentina,Desalinated water produced,2000,7.00E-04
Australia,Desalinated water produced,1990,0.0298
Australia,Desalinated water produced,1996,0.0298
Australia,Desalinated water produced,2000,0.0298
Australia,Desalinated water produced,2005,0.0298
Australia,Desalinated water produced,2012,0.0298
Austria,Desalinated water produced,1980,0.0022
Austria,Desalinated water produced,1985,0.0022
Austria,Desalinated water produced,1990,0.0022
Austria,Desalinated water produced,1997,0.0022
Austria,Desalinated water produced,2000,0.0022
Bahamas,Desalinated water produced,1989,0.0013
Bahamas,Desalinated water produced,2000,0.0074
Bahrain,Desalinated water produced,1991,0.0441
Bahrain,Desalinated water produced,2000,0.0441
Bahrain,Desalinated water produced,2003,0.1024
Barbados,Desalinated water produced,2005,0.011
Brazil,Desalinated water produced,1996,0.04
Brazil,Desalinated water produced,2010,0.04
Cabo Verde,Desalinated water produced,1990,0.002
Cabo Verde,Desalinated water produced,1997,0.0017
Cabo Verde,Desalinated water produced,2001,0.0017
Canada,Desalinated water produced,1990,0.0027
Canada,Desalinated water produced,1996,0.0027
Canada,Desalinated water produced,2000,0.0027
Canada,Desalinated water produced,2007,0.0027
Canada,Desalinated water produced,2009,0.0027
Chile,Desalinated water produced,1990,0.0048
Chile,Desalinated water produced,2000,0.0048
Chile,Desalinated water produced,2012,0.0645
China,Desalinated water produced,2005,0.0109
China,Desalinated water produced,2008,0.0109
Cuba,Desalinated water produced,2001,4.00E-04
Cyprus,Desalinated water produced,1990,0.003
Cyprus,Desalinated water produced,1993,0.003
Cyprus,Desalinated water produced,2000,0.0335
Cyprus,Desalinated water produced,2007,0.0335
Cyprus,Desalinated water produced,2009,0.0335
Czech Republic,Desalinated water produced,1997,2.00E-04
Czech Republic,Desalinated water produced,2000,2.00E-04
Czech Republic,Desalinated water produced,2007,2.00E-04
Czech Republic,Desalinated water produced,2009,2.00E-04
Denmark,Desalinated water produced,1990,0.015
Denmark,Desalinated water produced,2000,0.015
Denmark,Desalinated water produced,2007,0.015
Denmark,Desalinated water produced,2009,0.015
Djibouti,Desalinated water produced,1990,1.00E-04
Djibouti,Desalinated water produced,2000,1.00E-04
Ecuador,Desalinated water produced,1990,0.0022
Ecuador,Desalinated water produced,1997,0.0022
Ecuador,Desalinated water produced,2000,0.0022
Ecuador,Desalinated water produced,2005,0.0022
Egypt,Desalinated water produced,1990,0.025
Egypt,Desalinated water produced,1993,0.025
Egypt,Desalinated water produced,2002,0.1
El Salvador,Desalinated water produced,1992,1.00E-04
El Salvador,Desalinated water produced,2000,1.00E-04
El Salvador,Desalinated water produced,2005,1.00E-04
Finland,Desalinated water produced,1980,1.00E-04
Finland,Desalinated water produced,1985,1.00E-04
Finland,Desalinated water produced,1990,1.00E-04
Finland,Desalinated water produced,1995,1.00E-04
Finland,Desalinated water produced,2000,1.00E-04
Finland,Desalinated water produced,2005,1.00E-04
