# File: Macknick_elec_water_m3MWh.csv
# Title: Water withdrawals and consumption for electricity generation
# Units: m^3/MWh
# Source: original GCAM water-electricity workbooks. Many values from Macknick et al and IEAGHG
# Comment: March 2015 update: dry cooling coefs set to 10% of recirculating instead of 0
sector,fuel,technology,cooling_system,water_type,water_withdrawals,water_consumption
electricity generation,refined liquids,refined liquids (steam/CT),recirculating,fresh,4.55,3.13
electricity generation,refined liquids,refined liquids (steam/CT),none,none,0,0
electricity generation,refined liquids,refined liquids (steam/CT),cooling pond,seawater,4.55,3.13
electricity generation,refined liquids,refined liquids (steam/CT),once through,seawater,152.36,0.91
electricity generation,refined liquids,refined liquids (steam/CT),recirculating,seawater,4.55,3.13
electricity generation,refined liquids,refined liquids (CC),dry cooling,fresh,0.396,0.396
electricity generation,refined liquids,refined liquids (CC),once through,fresh,147.06,0.144
electricity generation,refined liquids,refined liquids (CC),recirculating,fresh,1.476,1.404
electricity generation,refined liquids,refined liquids (CC),once through,seawater,147.06,0.144
electricity generation,refined liquids,refined liquids (CC CCS),dry cooling,fresh,1.152,1.044
electricity generation,refined liquids,refined liquids (CC CCS),once through,fresh,185.616,0.396
electricity generation,refined liquids,refined liquids (CC CCS),recirculating,fresh,2.232,2.052
electricity generation,refined liquids,refined liquids (CC CCS),once through,seawater,185.616,0.396
electricity generation,solar CSP,CSP,recirculating,fresh,3.3,3.3
electricity generation,solar CSP,CSP,dry_hybrid,fresh,0.74,0.74
electricity generation,solar CSP,CSP_storage,recirculating,fresh,3.3,3.3
electricity generation,solar CSP,CSP_storage,dry_hybrid,fresh,0.74,0.74
electricity generation,solar PV,PV,none,fresh,0.02,0.02
electricity generation,solar PV,PV_storage,none,fresh,0.02,0.02
electricity generation,wind,wind,none,none,0,0
electricity generation,wind,wind_storage,none,none,0,0
