# File: pop_laborforce_variable.csv
# Title: Mapping of population to labor force
# Units: NA
# Description: variables in IIASA-WiC POP for two versions of SSP database
# Source: Internally generated mapping file
# Column types: ccl
# ----------
version,variable,laborforce_var
sspv1,Population,FALSE
sspv1,Population|Female,FALSE
sspv1,Population|Female|Aged0-4,FALSE
sspv1,Population|Female|Aged0-4|No Education,FALSE
sspv1,Population|Female|Aged5-9,FALSE
sspv1,Population|Female|Aged5-9|No Education,FALSE
sspv1,Population|Female|Aged10-14,FALSE
sspv1,Population|Female|Aged10-14|No Education,FALSE
sspv1,Population|Female|Aged15-19,FALSE
sspv1,Population|Female|Aged15-19|No Education,TRUE
sspv1,Population|Female|Aged15-19|Primary Education,TRUE
sspv1,Population|Female|Aged15-19|Secondary Education,FALSE
sspv1,Population|Female|Aged15-19|Tertiary Education,FALSE
sspv1,Population|Female|Aged20-24,FALSE
sspv1,Population|Female|Aged20-24|No Education,TRUE
sspv1,Population|Female|Aged20-24|Primary Education,TRUE
sspv1,Population|Female|Aged20-24|Secondary Education,TRUE
sspv1,Population|Female|Aged20-24|Tertiary Education,FALSE
sspv1,Population|Female|Aged25-29,TRUE
sspv1,Population|Female|Aged25-29|No Education,FALSE
sspv1,Population|Female|Aged25-29|Primary Education,FALSE
sspv1,Population|Female|Aged25-29|Secondary Education,FALSE
sspv1,Population|Female|Aged25-29|Tertiary Education,FALSE
sspv1,Population|Female|Aged30-34,TRUE
sspv1,Population|Female|Aged30-34|No Education,FALSE
sspv1,Population|Female|Aged30-34|Primary Education,FALSE
sspv1,Population|Female|Aged30-34|Secondary Education,FALSE
sspv1,Population|Female|Aged30-34|Tertiary Education,FALSE
sspv1,Population|Female|Aged35-39,TRUE
sspv1,Population|Female|Aged35-39|No Education,FALSE
sspv1,Population|Female|Aged35-39|Primary Education,FALSE
sspv1,Population|Female|Aged35-39|Secondary Education,FALSE
sspv1,Population|Female|Aged35-39|Tertiary Education,FALSE
sspv1,Population|Female|Aged40-44,TRUE
sspv1,Population|Female|Aged40-44|No Education,FALSE
sspv1,Population|Female|Aged40-44|Primary Education,FALSE
sspv1,Population|Female|Aged40-44|Secondary Education,FALSE
sspv1,Population|Female|Aged40-44|Tertiary Education,FALSE
sspv1,Population|Female|Aged45-49,TRUE
sspv1,Population|Female|Aged45-49|No Education,FALSE
sspv1,Population|Female|Aged45-49|Primary Education,FALSE
sspv1,Population|Female|Aged45-49|Secondary Education,FALSE
sspv1,Population|Female|Aged45-49|Tertiary Education,FALSE
sspv1,Population|Female|Aged50-54,TRUE
sspv1,Population|Female|Aged50-54|No Education,FALSE
sspv1,Population|Female|Aged50-54|Primary Education,FALSE
sspv1,Population|Female|Aged50-54|Secondary Education,FALSE
sspv1,Population|Female|Aged50-54|Tertiary Education,FALSE
sspv1,Population|Female|Aged55-59,TRUE
sspv1,Population|Female|Aged55-59|No Education,FALSE
sspv1,Population|Female|Aged55-59|Primary Education,FALSE
sspv1,Population|Female|Aged55-59|Secondary Education,FALSE
sspv1,Population|Female|Aged55-59|Tertiary Education,FALSE
sspv1,Population|Female|Aged60-64,FALSE
sspv1,Population|Female|Aged60-64|No Education,FALSE
sspv1,Population|Female|Aged60-64|Primary Education,FALSE
sspv1,Population|Female|Aged60-64|Secondary Education,FALSE
sspv1,Population|Female|Aged60-64|Tertiary Education,FALSE
sspv1,Population|Female|Aged65-69,FALSE
sspv1,Population|Female|Aged65-69|No Education,FALSE
sspv1,Population|Female|Aged65-69|Primary Education,FALSE
sspv1,Population|Female|Aged65-69|Secondary Education,FALSE
sspv1,Population|Female|Aged65-69|Tertiary Education,FALSE
sspv1,Population|Female|Aged70-74,FALSE
sspv1,Population|Female|Aged70-74|No Education,FALSE
sspv1,Population|Female|Aged70-74|Primary Education,FALSE
sspv1,Population|Female|Aged70-74|Secondary Education,FALSE
sspv1,Population|Female|Aged70-74|Tertiary Education,FALSE
sspv1,Population|Female|Aged75-79,FALSE
sspv1,Population|Female|Aged75-79|No Education,FALSE
sspv1,Population|Female|Aged75-79|Primary Education,FALSE
sspv1,Population|Female|Aged75-79|Secondary Education,FALSE
sspv1,Population|Female|Aged75-79|Tertiary Education,FALSE
sspv1,Population|Female|Aged80-84,FALSE
sspv1,Population|Female|Aged80-84|No Education,FALSE
sspv1,Population|Female|Aged80-84|Primary Education,FALSE
sspv1,Population|Female|Aged80-84|Secondary Education,FALSE
sspv1,Population|Female|Aged80-84|Tertiary Education,FALSE
sspv1,Population|Female|Aged85-89,FALSE
sspv1,Population|Female|Aged85-89|No Education,FALSE
sspv1,Population|Female|Aged85-89|Primary Education,FALSE
sspv1,Population|Female|Aged85-89|Secondary Education,FALSE
sspv1,Population|Female|Aged85-89|Tertiary Education,FALSE
sspv1,Population|Female|Aged90-94,FALSE
sspv1,Population|Female|Aged90-94|No Education,FALSE
sspv1,Population|Female|Aged90-94|Primary Education,FALSE
sspv1,Population|Female|Aged90-94|Secondary Education,FALSE
sspv1,Population|Female|Aged90-94|Tertiary Education,FALSE
sspv1,Population|Female|Aged95-99,FALSE
sspv1,Population|Female|Aged95-99|No Education,FALSE
sspv1,Population|Female|Aged95-99|Primary Education,FALSE
sspv1,Population|Female|Aged95-99|Secondary Education,FALSE
sspv1,Population|Female|Aged95-99|Tertiary Education,FALSE
sspv1,Population|Female|Aged100+,FALSE
sspv1,Population|Female|Aged100+|No Education,FALSE
sspv1,Population|Female|Aged100+|Primary Education,FALSE
