# File: CEDS_to_GCAM_sector_mapping.csv
# Title: mapping file for CEDS extended sectors and GCAM sectors
# Units: NA
# Source: NA - Mapping file
# Column types: cccccc
# ----------
CEDS_sector_code,CEDS_Sector,IPCC_sector_code,IPCC_sector_description,GCAM_sector,Notes
11C,11C_Other-natural,,,,Not used in GCAM
1A1a,1A1a_Public-Electricity,1A1a,Public electricity and heat production,elec_heat,
1A1b,1A1b_Pet-refining,,,petroleum_refining,Calibrate GCAM-USA refining to use petroleum refining emissions new petroleum refining tag
1A1c,1A1c_Coke-ovens,,,industry_energy,
1A1g,1A1g_Other-energy-transf,,,industry_energy,
1A2,1A2a_Ind-Comb,,,industry_energy,"This is CHP, maybe use someday"
1A2,1A2_Industrial_fuel_comb_off_hwy,,,industry_energy,
1A2,1A2_Industrial_fuel_combustion,1A1bc,Other Energy Industries,industry_energy,
1A2c,1A2c_Chemicals,,,industry_energy,
1A2f,1A2f_Ind-Comb-Non-metalic-minerals,,,industry_energy,
1A2g,1A2g_Construction_and_Mining,1A2,Manufacturing Industries and Construction,industry_energy,
1A2g,1A2g_Industry-other,1A2,Manufacturing Industries and Construction,industry_energy,
1A3aii,1A3aii_Domestic-aviation,1A3a,Domestic aviation,trn_domestic air,
1A3b,1A3b_Road-noncomb,,,,Not used in GCAM- PM from tires; map to road transport according to fuel use
1A3bi,1A3bi_Road,,,Road,This is an aggregate CEDS sector created for GCAM-USA processing
1A3bii,1A3bii_Road-LDV,1A3b,Road transportation,Road-LDV,
1A3bii,1A3bii_Road-truck-Light-Commertial,1A3b,Road transportation,Road-truck-Light-Commertial,
1A3biii,1A3biii_Road-bus,1A3b,Road transportation,Road-bus,
1A3biii,1A3biii_Road-heavy-duty-trucks-buses,,,Road-truck-Long-haul,
1A3biii,1A3biii_Road-truck-heavy,,,Road-truck-Long-haul,
1A3biii,1A3biii_Road-truck-Long-haul,1A3b,Road transportation,Road-truck-Long-haul,
1A3biii,1A3biii_Road-truck-medium,,,Road-truck-Short-haul,
1A3biii,1A3biii_Road-truck-medium-heavy,,,Road-truck-Long-haul,
1A3biii,1A3biii_Road-truck-Short-haul,1A3b,Road transportation,Road-truck-Short-haul,
1A3biv,1A3biv_Road-mopeds-motorcycles,,,Road-LDV,Might need to add a category
1A3c,1A3c_Rail,1A3c,Rail transportation,trn_rail,
1A3dii,1A3dii_Domestic-navigation (shipping),1A3d,Inland navigation,trn_domestic ship,
1A3eii,1A3eii_Other-unspecified-transp,,,,Just PM- map to road transport according to fuel use
1A4ai,1A4ai_Commercial-institutional-stationary,1A4,Residential and other sectors,building_comm,
1A4aii,1A4aii_Commercial-institutional-mobile,,,industry_energy,
1A4bi,1A4bi_Residential-mobile,,,industry_energy,
1A4bi,1A4bi_Residential-stationary,1A4,Residential and other sectors,building_resid,
1A4c,1A4c_Agriculture-forestry-fishing,1A4,Residential and other sectors,industry_energy,
1A5,1A5_Recreational-Equipment-Land,1A4,Residential and other sectors,industry_energy,
1A5,1A5_Recreational-Equipment-Marine,1A4,Residential and other sectors,industry_energy,
1B2ai,1B2ai_Fugitive-petr-prod,1B2,Fugitive emissions from oil and gas,petroleum_production,
1B2aiv,1B2aiv_Fugitive-petr-refining,1B2,Fugitive emissions from oil and gas,petroleum_refining,
