# File: MARKAL_nonghg_indenergy_tech_coeff_USA_dhl.csv
# Title: Industrial fuel use emission factors
# Source: Dan Loughlin (EPA)'s calculations based on GREET 2014 and market shares estimated using the EPA US nine-region MARKAL database: Database documentation Office of Research and Development. U.S. Environmental Protection Agency; 2013. No.: EPA 600/B-13/203. Available at:http://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=278925&CFID=36235307&CFTOKEN=34660040&jsessionid=cc308791e9d5b702ad59412787521533d523
# EFs for NOx SO2 PM10 PM2.5 NMVOC CO BC and OC
# Units: Tg/EJ
# Column types: ccccicn
# ----------
region,supplysector,subsector,stub.technology,year,Non.CO2,emiss.coeff
AK,industrial fuel use,coal,coal,2005,NOx,0.261565752
AK,industrial fuel use,coal,coal,2010,NOx,0.24128762
AK,industrial fuel use,coal,coal,2015,NOx,0.247879608
AK,industrial fuel use,coal,coal,2020,NOx,0.234312556
AK,industrial fuel use,coal,coal,2025,NOx,0.240398293
AK,industrial fuel use,coal,coal,2030,NOx,0.246677964
AK,industrial fuel use,coal,coal,2035,NOx,0.250299201
AK,industrial fuel use,coal,coal,2040,NOx,0.253554811
AK,industrial fuel use,coal,coal,2045,NOx,0.255578056
AK,industrial fuel use,coal,coal,2050,NOx,0.258549854
AK,industrial fuel use,coal,coal,2055,NOx,0.26014596
AK,industrial fuel use,coal,coal cogen,2005,NOx,0.261565752
AK,industrial fuel use,coal,coal cogen,2010,NOx,0.24128762
AK,industrial fuel use,coal,coal cogen,2015,NOx,0.247879608
AK,industrial fuel use,coal,coal cogen,2020,NOx,0.234312556
AK,industrial fuel use,coal,coal cogen,2025,NOx,0.240398293
AK,industrial fuel use,coal,coal cogen,2030,NOx,0.246677964
AK,industrial fuel use,coal,coal cogen,2035,NOx,0.250299201
AK,industrial fuel use,coal,coal cogen,2040,NOx,0.253554811
AK,industrial fuel use,coal,coal cogen,2045,NOx,0.255578056
AK,industrial fuel use,coal,coal cogen,2050,NOx,0.258549854
AK,industrial fuel use,coal,coal cogen,2055,NOx,0.26014596
AK,industrial fuel use,gas,gas,2005,NOx,0.080919016
AK,industrial fuel use,gas,gas,2010,NOx,0.044952568
AK,industrial fuel use,gas,gas,2015,NOx,0.037239142
AK,industrial fuel use,gas,gas,2020,NOx,0.040745965
AK,industrial fuel use,gas,gas,2025,NOx,0.042574105
AK,industrial fuel use,gas,gas,2030,NOx,0.045347383
AK,industrial fuel use,gas,gas,2035,NOx,0.048574619
AK,industrial fuel use,gas,gas,2040,NOx,0.050422899
AK,industrial fuel use,gas,gas,2045,NOx,0.050680722
AK,industrial fuel use,gas,gas,2050,NOx,0.0517343
AK,industrial fuel use,gas,gas,2055,NOx,0.052443137
AK,industrial fuel use,gas,gas cogen,2005,NOx,0.080919016
AK,industrial fuel use,gas,gas cogen,2010,NOx,0.044952568
AK,industrial fuel use,gas,gas cogen,2015,NOx,0.037239142
AK,industrial fuel use,gas,gas cogen,2020,NOx,0.040745965
AK,industrial fuel use,gas,gas cogen,2025,NOx,0.042574105
AK,industrial fuel use,gas,gas cogen,2030,NOx,0.045347383
AK,industrial fuel use,gas,gas cogen,2035,NOx,0.048574619
