subregion4,NAICS_code,industry,Total,Net.electricity,Residual.fuel.oil,Distillate.fuel.oil,Natural.gas,LPG_NGL,Coal,Coke_breeze,Other,Shipments
Northeast,311,Food,59,19,3,3,33,0,0,0,1,0
Northeast,3112,Grain and Oilseed Milling,4,2,0,0,2,0,0,0,0,0
Northeast,311221,Wet Corn Milling,0,0,0,0,0,0,0,0,0,0
Northeast,31131,Sugar Manufacturing,3,0,0,0,3,0,0,0,0,0
Northeast,3114,Fruit and Vegetable Preserving and Specialty Food ,7,2,1,0,3,0,0,0,1,0
Northeast,3115,Dairy Product,13,4,0,1,8,0,0,0,0,0
Northeast,3116,Animal Slaughtering and Processing,4,2,0,0,2,0,0,0,0,0
Northeast,312,Beverage and Tobacco Products,12,4,1,0,6,0,0,0,0,0
Northeast,3121,Beverages,11,4,1,0,6,0,0,0,0,0
Northeast,3122,Tobacco ,1,0,0,0,0,0,0,0,0,0
Northeast,313,Textile Mills,14,5,2,0,7,0,0,0,0,0
Northeast,314,Textile Product Mills,4,2,0,0,1,0,1,0,0,0
Northeast,315,Apparel,1,0,0,0,0,0,0,0,0,0
Northeast,316,Leather and Allied Products,1,1,0,0,0,0,0,0,0,0
Northeast,321,Wood Products,25,6,0,1,6,0,0,0,11,0
Northeast,321113,Sawmills,9,2,0,1,1,0,0,0,5,0
Northeast,3212,"Veneer, Plywood, and Engineered Woods",8,2,0,0,3,0,0,0,2,0
Northeast,3219,Other Wood Products,8,2,0,0,2,0,0,0,4,0
Northeast,322,Paper,213,22,27,1,65,2,15,0,82,0
Northeast,322110,Pulp Mills,11,0,2,0,0,0,0,0,9,0
Northeast,322121,"Paper Mills, except Newsprint",147,7,20,1,40,0,14,0,65,0
Northeast,322122,Newsprint Mills,4,2,2,0,0,0,0,0,0,0
Northeast,322130,Paperboard Mills,21,4,2,0,10,0,0,0,4,0
Northeast,323,Printing and Related Support,13,7,0,0,6,0,0,0,0,0
Northeast,324,Petroleum and Coal Products,528,13,11,8,46,6,7,0,436,0
Northeast,324110,Petroleum Refineries,498,10,7,1,38,6,1,0,435,0
Northeast,324199,Other Petroleum and Coal Products,8,1,0,0,0,0,7,0,0,0
Northeast,325,Chemicals,150,38,10,2,66,9,16,0,10,5
Northeast,325110,Petrochemicals,0,0,0,0,0,0,0,0,0,0
Northeast,325120,Industrial Gases,11,7,0,0,2,0,0,0,2,0
Northeast,325181,Alkalies and Chlorine,7,6,0,0,1,0,0,0,0,0
Northeast,325182,Carbon Black ,0,0,0,0,0,0,0,0,0,0
Northeast,325188,Other Basic Inorganic Chemicals,11,3,5,0,3,0,0,0,0,0
Northeast,325192,Cyclic Crudes and Intermediates,6,1,0,0,5,0,0,0,1,0
Northeast,325193,Ethyl Alcohol ,0,0,0,0,0,0,0,0,0,0
Northeast,325199,Other Basic Organic Chemicals,10,2,0,0,5,0,0,0,2,0
Northeast,325211,Plastics Materials and Resins,22,4,0,0,7,8,0,0,2,1
Northeast,325212,Synthetic Rubber,1,0,0,0,0,0,0,0,0,0
Northeast,325222,Noncellulosic Organic Fibers,0,0,0,0,0,0,0,0,0,0
Northeast,325311,Nitrogenous Fertilizers,1,0,0,0,1,0,0,0,0,0
Northeast,325312,Phosphatic Fertilizers,0,0,0,0,0,0,0,0,0,0
Northeast,3254,Pharmaceuticals and Medicines,39,10,1,1,25,0,0,0,2,0
Northeast,325412,Pharmaceutical Preparation,30,7,1,1,20,0,0,0,2,0
Northeast,325992,"Photographic Film, Paper, Plate, and Chemicals",20,1,0,0,3,0,16,0,0,0
Northeast,326,Plastics and Rubber Products,49,23,5,0,21,0,0,0,0,0
Northeast,327,Nonmetallic Mineral Products,145,18,1,5,58,0,39,1,23,0
Northeast,327211,Flat Glass,19,1,0,0,10,0,0,0,8,0
Northeast,327212,Other Pressed and Blown Glass and Glassware,15,1,0,0,4,0,0,0,9,0
Northeast,327213,Glass Containers,13,3,0,0,10,0,0,0,0,0
Northeast,327215,Glass Products from Purchased Glass,3,1,0,0,1,0,0,0,0,0
Northeast,327310,Cements,44,5,1,0,0,0,32,1,5,0
Northeast,327410,Lime,4,0,0,0,0,0,3,0,0,0
Northeast,327420,Gypsum,10,1,0,0,9,0,0,0,0,0
Northeast,327993,Mineral Wool,7,1,0,0,6,0,0,0,0,0
Northeast,331,Primary Metals,243,58,0,1,83,1,142,5,43,90
Northeast,331111,Iron and Steel Mills,131,26,0,0,50,0,139,0,6,90
Northeast,331112,Electrometallurgical Ferroalloy Products,0,0,0,0,0,0,0,0,0,0
Northeast,3312,Steel Products from Purchased Steel,11,2,0,0,7,0,0,0,1,0
Northeast,3313,Alumina and Aluminum,34,18,0,0,13,0,0,0,2,0
Northeast,331314,Secondary Smelting and Alloying of Aluminum,1,0,0,0,0,0,0,0,0,0
Northeast,331315,"Aluminum Sheet, Plate and Foils",8,2,0,0,5,0,0,0,0,0
Northeast,331316,Aluminum Extruded Products,5,1,0,0,4,0,0,0,0,0
Northeast,3314,"Nonferrous Metals, except Aluminum",55,7,0,0,8,0,3,3,34,0
