# State level RPS from the DSIRE project,,,,,,,,,,,,
# RPS inclusion definitions,,,,,,,,,,,,
state,tier,wind,csp,rooftop_pv,pv_,bio,hydro,geo,landfill_gas,ocean,load_covered,existing_allowed
Arizona,1,1,1,1,1,1,0,1,1,0,58.6,0
Arizona,2,1,0,1,0,0,0,0,0,0,58.6,0
California,1,1,1,1,1,1,1,1,1,1,98.2,100
Colorado,1,1,1,1,1,1,1,1,1,0,58.7,100
Colorado,2,1,1,1,1,1,1,1,1,0,58.7,100
Colorado,1,1,3,3,3,1,1,1,1,0,35.6,100
Connecticut,1,1,1,1,1,1,0,0,1,1,93.4,100
Connecticut,2,1,1,1,1,1,0,0,1,1,93.4,100
Connecticut,3,0,0,0,0,0,0,0,0,0,93.4,0
Delaware,1,3.5,1,3,1,1,1,1,1,1,70,0
Delaware,2,0,0,1,1,0,0,0,0,0,70,0
Delaware,3,1,1,3,1,1,1,1,1,1,70,100
District of Columbia,1,1,1,1,1,1,0,1,1,1,100,100
District of Columbia,2,1,1,1,1,1,1,1,1,1,100,100
District of Columbia,3,0,1,1,1,0,0,0,0,0,100,100
Hawaii,1,1,1,1,1,1,1,1,1,1,100,100
Illinois,1,1,0,0,0,0,0,0,0,0,39.9,100
Illinois,2,1,1,1,1,1,1,0,1,0,39.9,100
Illinois,3,0,0,1,1,0,0,0,0,0,39.9,100
Illinois,1,1,0,0,0,0,0,0,0,0,49,100
Illinois,2,1,1,1,1,1,1,0,1,0,49,100
Illinois,3,0,0,1,1,0,0,0,0,0,49,100
Iowa,1,1,1,1,1,1,1,0,1,0,75.7,100
Kansas,1,1,1,1,1,1,1,0,1,0,81.5,100
Maine,1,1,1,1,1,1,1,1,1,1,98.3,0
Maine,2,1,1,1,1,1,1,1,1,1,98.3,100
Maryland,1,1,0,1,1,1,1,1,1,1,93.4,100
Maryland,2,1,0,1,1,1,1,1,1,1,93.4,100
Maryland,3,0,0,1,1,0,0,0,0,0,93.4,100
Massachusetts,1,1,1,1,1,1,1,1,1,1,86,0
Massachusetts,2,1,1,1,1,1,0,1,1,1,86,100
Massachusetts,3,0,0,0,0,0,0,0,0,0,86,100
Massachusetts,4,0,0,1,1,0,0,0,0,0,86,0
Michigan,1,1,3,3,3,1,1,1,1,1,100,100
Minnesota,1,0,0,0,0,1,1,0,1,0,47.8,100
Minnesota,2,1,1,1,1,0,0,0,0,0,47.8,100
Minnesota,1,1,1,1,1,1,1,0,1,0,52.2,100
Missouri,1,1,1,1,1,1,0,0,1,0,70,100
Missouri,2,0,1,1,1,0,0,0,0,0,70,100
Montana,1,1,1,1,1,1,0,1,1,0,66.6,0
Nevada,1,1,1,2.45,1,1,1,1,1,0,88.2,100
Nevada,2,0,1,2.45,1,0,0,0,0,0,88.2,100
New Hampshire,1,1,1,1,1,1,1,1,1,1,98.2,0
New Hampshire,2,0,0,0,0,1,0,1,1,0,98.2,0
New Hampshire,3,0,1,1,1,0,0,0,0,0,98.2,0
New Hampshire,4,0,0,0,0,1,0,0,1,0,98.2,100
New Hampshire,5,0,0,0,0,0,0,0,0,0,98.2,100
New Jersey,1,1,1,1,1,1,1,1,1,1,98.3,100
New Jersey,2,1,1,1,1,1,1,1,1,1,98.3,100
New Jersey,3,0,1,1,1,0,0,0,0,0,98.3,100
New Mexico,1,1,1,1,1,1,1,1,1,0,67.7,100
New Mexico,2,0,1,1,1,0,0,0,0,0,67.7,100
New Mexico,3,1,0,0,0,0,0,0,0,0,67.7,100
New Mexico,4,0,0,0,0,1,1,1,1,0,67.7,100
New Mexico,5,1,0,1,0,0,0,0,0,0,67.7,100
New Mexico,1,1,1,1,1,1,1,1,1,0,20.8,100
New York,1,1,0,0,1,1,1,0,1,1,84.7,0
New York,2,1,0,1,0,0,0,0,0,0,84.7,0
New York,3,1,0,0,0,1,1,0,1,0,84.7,100
North Carolina,1,1,1,1,1,1,0,1,1,1,75.2,0
North Carolina,2,0,1,1,1,0,0,0,0,0,75.2,0
North Carolina,3,0,0,0,0,0,0,0,0,0,75.2,0
North Carolina,4,0,0,0,0,0,0,0,0,0,75.2,0
North Carolina,1,1,1,1,1,1,1,1,1,1,24.8,0
North Carolina,2,0,1,1,1,0,0,0,0,0,24.8,0
North Carolina,3,0,0,0,0,0,0,0,0,0,24.8,0
North Carolina,4,0,0,0,0,0,0,0,0,0,24.8,0
Ohio,1,1,1,1,1,1,1,1,1,0,88.6,0
Ohio,2,0,1,1,1,0,0,0,0,0,88.6,0
Oregon,1,1,1,1,2,1,1,1,1,1,74.6,0
Oregon,1,1,1,1,2,1,1,1,1,1,10.2,0
Oregon,1,1,1,1,1,1,1,1,1,1,15.2,0
Pennsylvania,1,1,1,1,1,1,1,1,1,0,97.3,100
Pennsylvania,2,0,0,0,0,1,1,0,0,0,97.3,100
Pennsylvania,3,0,0,1,1,0,0,0,0,0,97.3,100
Rhode Island,1,1,1,1,1,1,1,1,1,1,99.3,0
Rhode Island,2,1,1,1,1,1,1,1,1,1,99.3,100
Texas,1,1,2,2,2,2,2,2,2,2,75.9,0
Texas,2,1,1,1,1,1,1,1,1,1,75.9,100
Washington,1,1,1,2,1,1,0,1,1,1,84.7,0
Wisconsin,1,1,1,1,1,1,1,1,1,1,100,100
