subregion4,NAICS_code,industry,Total,Residual.fuel.oil,Distillate.fuel.oil,Natural.gas,LPG_NGL,Coal,Coke_breeze,Other
Northeast,311,Food,0,0,0,0,0,0,0,0
Northeast,3112,Grain and Oilseed Milling,0,0,0,0,0,0,0,0
Northeast,311221,Wet Corn Milling,0,0,0,0,0,0,0,0
Northeast,31131,Sugar Manufacturing,0,0,0,0,0,0,0,0
Northeast,3114,Fruit and Vegetable Preserving and Specialty Food ,0,0,0,0,0,0,0,0
Northeast,3115,Dairy Product,0,0,0,0,0,0,0,0
Northeast,3116,Animal Slaughtering and Processing,0,0,0,0,0,0,0,0
Northeast,312,Beverage and Tobacco Products,0,0,0,0,0,0,0,0
Northeast,3121,Beverages,0,0,0,0,0,0,0,0
Northeast,3122,Tobacco ,0,0,0,0,0,0,0,0
Northeast,313,Textile Mills,0,0,0,0,0,0,0,0
Northeast,314,Textile Product Mills,0,0,0,0,0,0,0,0
Northeast,315,Apparel,0,0,0,0,0,0,0,0
Northeast,316,Leather and Allied Products,0,0,0,0,0,0,0,0
Northeast,321,Wood Products,0,0,0,0,0,0,0,0
Northeast,321113,Sawmills,0,0,0,0,0,0,0,0
Northeast,3212,"Veneer, Plywood, and Engineered Woods",0,0,0,0,0,0,0,0
Northeast,3219,Other Wood Products,0,0,0,0,0,0,0,0
Northeast,322,Paper,0,0,0,0,0,0,0,0
Northeast,322110,Pulp Mills,0,0,0,0,0,0,0,0
Northeast,322121,"Paper Mills, except Newsprint",0,0,0,0,0,0,0,0
Northeast,322122,Newsprint Mills,0,0,0,0,0,0,0,0
Northeast,322130,Paperboard Mills,0,0,0,0,0,0,0,0
Northeast,323,Printing and Related Support,0,0,0,0,0,0,0,0
Northeast,324,Petroleum and Coal Products,282,0,6,0,0,5,0,276
Northeast,324110,Petroleum Refineries,276,0,0,0,0,0,0,276
Northeast,324199,Other Petroleum and Coal Products,5,0,0,0,0,5,0,0
Northeast,325,Chemicals,9,0,0,1,8,0,0,0
Northeast,325110,Petrochemicals,0,0,0,0,0,0,0,0
Northeast,325120,Industrial Gases,0,0,0,0,0,0,0,0
Northeast,325181,Alkalies and Chlorine,0,0,0,0,0,0,0,0
Northeast,325182,Carbon Black ,0,0,0,0,0,0,0,0
Northeast,325188,Other Basic Inorganic Chemicals,0,0,0,0,0,0,0,0
Northeast,325192,Cyclic Crudes and Intermediates,0,0,0,0,0,0,0,0
Northeast,325193,Ethyl Alcohol ,0,0,0,0,0,0,0,0
Northeast,325199,Other Basic Organic Chemicals,0,0,0,0,0,0,0,0
Northeast,325211,Plastics Materials and Resins,8,0,0,0,8,0,0,0
Northeast,325212,Synthetic Rubber,0,0,0,0,0,0,0,0
Northeast,325222,Noncellulosic Organic Fibers,0,0,0,0,0,0,0,0
Northeast,325311,Nitrogenous Fertilizers,0,0,0,0,0,0,0,0
Northeast,325312,Phosphatic Fertilizers,0,0,0,0,0,0,0,0
Northeast,3254,Pharmaceuticals and Medicines,0,0,0,0,0,0,0,0
Northeast,325412,Pharmaceutical Preparation,0,0,0,0,0,0,0,0
Northeast,325992,"Photographic Film, Paper, Plate, and Chemicals",0,0,0,0,0,0,0,0
Northeast,326,Plastics and Rubber Products,0,0,0,0,0,0,0,0
Northeast,327,Nonmetallic Mineral Products,8,0,0,0,0,0,0,8
Northeast,327211,Flat Glass,8,0,0,0,0,0,0,8
Northeast,327212,Other Pressed and Blown Glass and Glassware,0,0,0,0,0,0,0,0
Northeast,327213,Glass Containers,0,0,0,0,0,0,0,0
Northeast,327215,Glass Products from Purchased Glass,0,0,0,0,0,0,0,0
Northeast,327310,Cements,0,0,0,0,0,0,0,0
Northeast,327410,Lime,0,0,0,0,0,0,0,0
Northeast,327420,Gypsum,0,0,0,0,0,0,0,0
Northeast,327993,Mineral Wool,0,0,0,0,0,0,0,0
Northeast,331,Primary Metals,185,0,0,1,0,139,3,42
Northeast,331111,Iron and Steel Mills,145,0,0,1,0,139,0,5
Northeast,331112,Electrometallurgical Ferroalloy Products,0,0,0,0,0,0,0,0
Northeast,3312,Steel Products from Purchased Steel,0,0,0,0,0,0,0,0
Northeast,3313,Alumina and Aluminum,2,0,0,0,0,0,0,2
Northeast,331314,Secondary Smelting and Alloying of Aluminum,0,0,0,0,0,0,0,0
Northeast,331315,"Aluminum Sheet, Plate and Foils",0,0,0,0,0,0,0,0
Northeast,331316,Aluminum Extruded Products,0,0,0,0,0,0,0,0
Northeast,3314,"Nonferrous Metals, except Aluminum",3,0,0,0,0,0,3,0
Northeast,3315,Foundries,1,0,0,0,0,0,1,0
Northeast,331511,Iron Foundries,1,0,0,0,0,0,1,0
Northeast,331521,Aluminum Die-Casting Foundries,0,0,0,0,0,0,0,0
Northeast,331524,"Aluminum Foundries, except Die-Casting",0,0,0,0,0,0,0,0
Northeast,332,Fabricated Metal Products,0,0,0,0,0,0,0,0
Northeast,333,Machinery,0,0,0,0,0,0,0,0
Northeast,334,Computer and Electronic Products,0,0,0,0,0,0,0,0
Northeast,334413,Semiconductors and Related Devices,0,0,0,0,0,0,0,0
Northeast,335,"Electrical Equip., Appliances, and Components",0,0,0,0,0,0,0,0
Northeast,336,Transportation Equipment,0,0,0,0,0,0,0,0
Northeast,336111,Automobiles,0,0,0,0,0,0,0,0
Northeast,336112,Light Trucks and Utility Vehicles,0,0,0,0,0,0,0,0
Northeast,3364,Aerospace Product and Parts,0,0,0,0,0,0,0,0
Northeast,336411,Aircraft,0,0,0,0,0,0,0,0
Northeast,337,Furniture and Related Products,0,0,0,0,0,0,0,0
Northeast,339,Miscellaneous,0,0,0,0,0,0,0,0
Northeast,ALL,Total,485,0,6,2,8,144,4,318
Midwest,311,Food,3,0,0,2,0,0,0,0
Midwest,3112,Grain and Oilseed Milling,2,0,0,2,0,0,0,0
Midwest,311221,Wet Corn Milling,0,0,0,0,0,0,0,0
Midwest,31131,Sugar Manufacturing,0,0,0,0,0,0,0,0
Midwest,3114,Fruit and Vegetable Preserving and Specialty Food ,0,0,0,0,0,0,0,0
Midwest,3115,Dairy Product,0,0,0,0,0,0,0,0
Midwest,3116,Animal Slaughtering and Processing,0,0,0,0,0,0,0,0
Midwest,312,Beverage and Tobacco Products,0,0,0,0,0,0,0,0
Midwest,3121,Beverages,0,0,0,0,0,0,0,0
Midwest,3122,Tobacco ,0,0,0,0,0,0,0,0
Midwest,313,Textile Mills,0,0,0,0,0,0,0,0
Midwest,314,Textile Product Mills,0,0,0,0,0,0,0,0
Midwest,315,Apparel,0,0,0,0,0,0,0,0
Midwest,316,Leather and Allied Products,0,0,0,0,0,0,0,0
Midwest,321,Wood Products,3,0,3,0,0,0,0,0
Midwest,321113,Sawmills,0,0,0,0,0,0,0,0
Midwest,3212,"Veneer, Plywood, and Engineered Woods",0,0,0,0,0,0,0,0
Midwest,3219,Other Wood Products,3,0,3,0,0,0,0,0
Midwest,322,Paper,0,0,0,0,0,0,0,0
Midwest,322110,Pulp Mills,0,0,0,0,0,0,0,0
Midwest,322121,"Paper Mills, except Newsprint",0,0,0,0,0,0,0,0
Midwest,322122,Newsprint Mills,0,0,0,0,0,0,0,0
Midwest,322130,Paperboard Mills,0,0,0,0,0,0,0,0
Midwest,323,Printing and Related Support,0,0,0,0,0,0,0,0
Midwest,324,Petroleum and Coal Products,499,0,7,0,0,0,0,492
Midwest,324110,Petroleum Refineries,481,0,0,0,0,0,0,481
Midwest,324199,Other Petroleum and Coal Products,11,0,0,0,0,0,0,11
Midwest,325,Chemicals,172,8,0,34,110,1,0,19
Midwest,325110,Petrochemicals,32,0,0,0,32,0,0,0
Midwest,325120,Industrial Gases,4,0,0,4,0,0,0,0
Midwest,325181,Alkalies and Chlorine,0,0,0,0,0,0,0,0
Midwest,325182,Carbon Black ,9,8,0,1,0,0,0,0
Midwest,325188,Other Basic Inorganic Chemicals,9,0,0,1,8,0,0,0
Midwest,325192,Cyclic Crudes and Intermediates,0,0,0,0,0,0,0,0
Midwest,325193,Ethyl Alcohol ,2,0,0,1,0,0,0,1
Midwest,325199,Other Basic Organic Chemicals,1,0,0,1,0,0,0,0
Midwest,325211,Plastics Materials and Resins,90,0,0,0,90,0,0,0
Midwest,325212,Synthetic Rubber,0,0,0,0,0,0,0,0
Midwest,325222,Noncellulosic Organic Fibers,0,0,0,0,0,0,0,0
Midwest,325311,Nitrogenous Fertilizers,25,0,0,25,0,0,0,0
Midwest,325312,Phosphatic Fertilizers,0,0,0,0,0,0,0,0
Midwest,3254,Pharmaceuticals and Medicines,0,0,0,0,0,0,0,0
Midwest,325412,Pharmaceutical Preparation,0,0,0,0,0,0,0,0
Midwest,325992,"Photographic Film, Paper, Plate, and Chemicals",0,0,0,0,0,0,0,0
Midwest,326,Plastics and Rubber Products,0,0,0,0,0,0,0,0
Midwest,327,Nonmetallic Mineral Products,4,0,0,0,0,0,0,4
Midwest,327211,Flat Glass,0,0,0,0,0,0,0,0
Midwest,327212,Other Pressed and Blown Glass and Glassware,4,0,0,0,0,0,0,4
Midwest,327213,Glass Containers,0,0,0,0,0,0,0,0
Midwest,327215,Glass Products from Purchased Glass,0,0,0,0,0,0,0,0
Midwest,327310,Cements,0,0,0,0,0,0,0,0
Midwest,327410,Lime,0,0,0,0,0,0,0,0
Midwest,327420,Gypsum,0,0,0,0,0,0,0,0
Midwest,327993,Mineral Wool,0,0,0,0,0,0,0,0
Midwest,331,Primary Metals,237,0,0,25,0,149,45,18
Midwest,331111,Iron and Steel Mills,217,0,0,25,0,148,42,2
Midwest,331112,Electrometallurgical Ferroalloy Products,2,0,0,0,0,0,2,0
Midwest,3312,Steel Products from Purchased Steel,12,0,0,0,0,0,0,12
Midwest,3313,Alumina and Aluminum,3,0,0,0,0,0,0,3
Midwest,331314,Secondary Smelting and Alloying of Aluminum,0,0,0,0,0,0,0,0
Midwest,331315,"Aluminum Sheet, Plate and Foils",0,0,0,0,0,0,0,0
Midwest,331316,Aluminum Extruded Products,0,0,0,0,0,0,0,0
Midwest,3314,"Nonferrous Metals, except Aluminum",1,0,0,0,0,0,1,0
Midwest,3315,Foundries,1,0,0,0,0,0,0,1
Midwest,331511,Iron Foundries,1,0,0,0,0,0,0,1
Midwest,331521,Aluminum Die-Casting Foundries,0,0,0,0,0,0,0,0
Midwest,331524,"Aluminum Foundries, except Die-Casting",0,0,0,0,0,0,0,0
Midwest,332,Fabricated Metal Products,0,0,0,0,0,0,0,0
