Country_name,AgaveFibresNes,Almonds_withshell,Anise_badian_fennel_corian.,Apples,Apricots,Arecanuts,Artichokes,Asparagus,Avocados,Bananas,Beans_green,BerriesNes,Blueberries,Brazilnuts_withshell,Buckwheat,Cabbagesandotherbrassicas,Canaryseed,Carobs,Carrotsandturnips,Cashewapple,Cashewnuts,Castoroilseed,Cauliflowersandbroccoli,Cereals_nes,Cherries,Chestnuts,Chilliesandpeppers_dry,Chilliesandpeppers_green,Cinnamon(canella),Cloves,Coconuts,Cranberries,Cucumbersandgherkins,Currants,Eggplants(aubergines),FibreCropsNes,Figs,Flaxfibreandtow,Fonio,Fruit_tropicalfreshnes,FruitFreshNes,Garlic,Ginger,Gooseberries,Hazelnuts_withshell,Hempseed,HempTowWaste,Hops,Jute,Kiwifruit,Kolanuts,Lettuceandchicory,Linseed,Maize_green,Mangoes_mangosteens_guavas,ManilaFibre(Abaca),Melonseed,Mixedgrain,Mustardseed,Naturalrubber,Nutmeg_maceandcardamoms,Nuts_nes,Oats,Oilseeds_Nes,Okra,Olives,Onions_dry,Onions(inc.shallots)_green,OtherBastfibres,Othermelons(inc.cantaloupes),Papayas,Peachesandnectarines,Pears,Peas_green,Pepper(Piperspp.),Peppermint,Pineapples,Pistachios,Plantains,Plumsandsloes,Poppyseed,Pumpkins_squashandgourds,Quinoa,Ramie,Raspberries,Rootsandtubersnes,Safflowerseed,Sesameseed,Sisal,Sourcherries,Spices_nes,Spinach,Stonefruit_nes,Strawberries,Stringbeans,Sugarcrops_nes,Sweetpotatoes,Taro(cocoyam),Tea,Tobacco_unmanufactured,tomato,Tomatoes,Triticale,Vanilla,Vegetablesfreshnes,Walnuts_withshell,Watermelons,Yams,Yautia(cocoyam)
Afghanistan,0,5107,8486,1424,1306,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1392,0,0,0,0,0,0,0,0,0,0,0,10512,0,0,0,0,0,0,0,0,9421,0,0,0,8987,0,0,0,334,0,1308,1397,0,0,0,0,9908,0,1310,0,0,0,0,0,0,0,5528,0,0,0,0,1334,0,0,0,0,0,0,0,0,0,0,0,622,5689,326,0,0
Albania,0,0,0,234,382,0,0,0,0,0,108,0,0,0,0,108,0,0,92,0,0,0,110,0,267,1165,0,164,0,0,0,0,78,0,89,0,4,0,0,0,436,6,0,0,0,0,0,2233,0,0,0,0,0,0,0,0,0,0,0,0,0,2836,251,0,70,173,292,79,0,60,0,149,242,0,0,0,0,0,0,194,0,71,0,0,0,0,0,0,0,879,2885,86,0,0,0,0,0,0,0,287,542,108,0,0,274,0,31,0,0
Algeria,0,1792,0,274,355,0,248,0,0,139,1,0,0,0,0,172,0,185,211,0,0,0,3,0,1470,0,1233,13,0,0,0,0,75,0,15,0,2776,0,0,0,331,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,0,0,901,76,0,0,0,0,309,253,12,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,788,0,0,0,0,0,0,723,331,66,6,0,22,0,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,1264,2175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,320,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,786,277,0,0,0,0,0,0,0,58,0,0,0,563,113,0,0,97,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,12,0,0,82,0,0,0,0,0,0,0,0,37,0,0,0,0,4,0,21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,90,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,0,367,73,0,0,37,0,0,0,0
Argentina,0,852,1011,171,395,0,162,576,321,369,62,0,0,0,0,0,0,0,53,0,0,0,0,159,811,0,3046,131,0,0,0,0,0,0,0,767,166,1151,0,0,0,313,0,0,0,0,0,492,0,0,0,0,619,0,826,0,0,0,0,0,0,0,435,0,0,995,109,0,0,23,108,401,169,305,0,0,6,0,0,659,0,26,0,0,0,0,250,0,0,0,935,0,0,237,57,0,40,0,1222,378,167,33,0,0,166,903,144,0,0
Armenia,0,3773,0,460,951,0,0,0,0,0,0,501,0,0,0,144,0,0,24,0,0,0,26,242,1058,0,0,0,0,0,0,0,156,0,0,0,0,0,0,1088,1768,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,182,0,0,0,0,816,827,77,0,0,0,0,0,727,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,627,125,0,0,161,0,58,0,0
Australia,0,1341,579,368,839,0,0,1037,1046,313,69,1739,0,0,0,142,0,0,158,0,0,0,42,0,1186,0,0,253,0,0,0,0,272,96,0,0,1438,0,0,768,0,0,0,0,0,0,0,207,0,528,0,20,426,422,1610,0,0,0,0,0,0,1434,146,0,0,498,152,0,0,15,275,839,267,56,0,0,18,0,0,721,0,28,0,0,1838,0,726,0,0,0,0,32,0,277,0,0,31,0,0,90,352,70,246,0,133,0,153,0,0
Austria,0,0,0,6,10,0,0,312,0,0,6,57,0,0,0,26,0,0,32,0,0,0,5,1,53,0,0,32,0,0,0,0,11,2,1,0,0,0,0,0,0,0,0,13,0,0,0,62,0,0,0,4,45,2,0,0,0,36,0,0,0,0,3,55,0,0,48,0,0,0,0,13,2,17,0,0,0,0,0,36,0,1,0,0,0,0,0,0,0,49,0,3,0,42,0,0,0,0,0,0,29,6,15,0,55,102,1,0,0
Azerbaijan,0,5479,0,458,351,0,0,0,0,0,0,164,0,0,0,241,0,0,64,0,0,0,0,0,488,806,0,1935,0,0,0,250,245,443,465,0,0,0,0,0,802,552,0,0,2456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1736,789,501,0,2066,384,0,0,0,0,378,326,474,0,0,0,751,0,495,0,0,0,0,163,0,0,0,0,278,0,0,0,0,0,0,0,0,9894,0,1090,218,0,0,151,543,131,0,0
"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,2616,0,0,0,0,0,448,0,0,683,0,0,0,473,0,0,0,0,73,0,0,0,0,57,0,548,0,0,0,0,0,2328,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,10017,0,0,0,0,260,0,0,2341,0,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877,0,1078,0,0
