Country_name,Green_rfd,Green_irr,Green_tot,Blue
Afghanistan,0,415.54,415.54,1695.54
Albania,408.58,0,408.58,0
Algeria,1178.59,0,1178.59,0
American Samoa,0,0,0,0
Angola,0,0,0,0
Antigua and Barbuda,0,0,0,0
Argentina,32643.3,505.7,33148.9,449.4
Armenia,454.1,0.1,454.2,0.1
Australia,1579.7,4898.6,6478.3,5203.6
Austria,624.15,0.02,624.17,0.01
Azerbaijan,1327.01,0,1327.01,0
Bahamas,0,0,0,0
Bahrain,0,0.02,0.02,0.27
Bangladesh,18.24,0,18.24,0
Barbados,2.95,0,2.95,0
Belarus,9095.05,270.46,9365.51,85.48
Belgium,1.54,0,1.54,0
Belize,0,0,0,0
Benin,0,0,0,0
Bermuda,0,0,0,0
Bhutan,0,0,0,0
Bolivia,848.29,0,848.29,0
Bosnia and Herzegovina,224.8,0.04,224.84,0.02
Botswana,0,0,0,0
Brazil,0,784.51,784.51,735.4
Brunei Darussalam,0,0,0,0
Bulgaria,937.9,2.12,940.02,1.57
Burkina Faso,0,0,0,0
Burundi,0,0,0,0
Cambodia,0,0,0,0
Cameroon,0,0,0,0
Canada,34269.5,1282.6,35552.2,1015.9
Cape Verde,0,0,0,0
Cayman Islands,0,0,0,0
Central African Republic,0,0,0,0
Chad,0,0,0,0
Chile,2599.72,0.04,2599.75,0.02
China,0,0,0,0
Colombia,0,0,0,0
Comoros,0,0,0,0
Congo,0,0,0,0
"Congo, Dem Republic of",0,0,0,0
Cook Islands,0,0,0,0
Costa Rica,0,0,0,0
Cote dIvoire,0,0,0,0
Croatia,427.6,0,427.6,0
Cuba,0,0,0,0
Cyprus,16.11,3.8,19.9,13.41
Czech Republic,2328.47,0,2328.47,0
Denmark,1802.01,35.66,1837.67,7.62
Djibouti,0,0,0,0
Dominica,0,0,0,0
Dominican Republic,0,0,0,0
Ecuador,0,0,0,0
Egypt,2212.78,0,2212.78,0
El Salvador,0,0,0,0
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,0
Estonia,1509.11,0.8,1509.9,0.22
Ethiopia,0,0,0,0
Faroe Islands,0,0,0,0
Fiji,0,0,0,0
Finland,2161.3,3.49,2164.79,1.04
France,11476.61,346.39,11822.99,162.87
French Guiana,0,0,0,0
French Polynesia,0,0,0,0
Gabon,0,0,0,0
Gambia,0,0,0,0
Georgia,0.08,251.7,251.79,108.19
Germany,1483.37,0.7,1484.06,0.17
Ghana,0,0,0,0
Greece,619.11,0,619.11,0
Grenada,0.69,0,0.69,0
Guadeloupe,0,0,0,0
Guam,0,0.25,0.25,0
Guatemala,0,0,0,0
Guinea,0,0,0,0
Guinea-Bissau,0,0,0,0
Guyana,0,0,0,0
Haiti,0,0,0,0
Honduras,0,0,0,0
Hungary,3824.78,29.13,3853.9,17.55
Iceland,0,0,0,0
India,33264.77,0,33264.77,0
Indonesia,0,0,0,0
Iran (Islamic Republic of),2380.89,0,2380.89,0
Iraq,0,0,0,0
Ireland,972.25,0,972.25,0
Israel,133.28,0,133.28,0
Italy,8008.51,717.39,8725.89,345.27
Jamaica,0,0,0,0
Japan,5699.92,7.45,5707.37,0.15
Jordan,6.56,0,6.56,0
Kazakhstan,9838.02,1657.38,11495.41,3693.76
Kenya,0,0,0,0
Kiribati,0,0,0,0
"Korea, Democratic Peoples Republic of",0,0,0,0
"Korea, Republic of",172.35,0,172.35,0
Kuwait,1.14,0,1.14,0
