# File: CEDS_sector_tech_combustion_revised.csv
# Title: CEDS-GCAM sector map for combustion emission sectors
# Units: NA
# Description: Maps CEDS aggregated sectors and fuels to final GCAM sectors for combustion emissions. This mapping file is used when using the new transportation modes and size classes.
# Column types: ccccc
supplysector,subsector,stub.technology,CEDS_agg_sector,CEDS_agg_fuel
out_resources,coal,coal,coal,process
out_resources,natural gas,natural gas,oil_gas,process
out_resources,crude oil,crude oil,oil_gas,process
other industrial energy use,biomass,biomass,industry_energy,biomass
other industrial energy use,coal,coal,industry_energy,coal
other industrial energy use,gas,gas,industry_energy,gas
other industrial energy use,refined liquids,refined liquids,industry_energy,refined liquids
N fertilizer,coal,coal,industry_energy,coal
N fertilizer,gas,gas,industry_energy,gas
N fertilizer,refined liquids,refined liquids,industry_energy,refined liquids
process heat cement,biomass,biomass,cement,biomass
process heat cement,coal,coal,cement,coal
process heat cement,gas,gas,cement,gas
process heat cement,refined liquids,refined liquids,cement,refined liquids
district heat,biomass,biomass,elec_heat,biomass
district heat,coal,coal,elec_heat,coal
district heat,gas,gas,elec_heat,gas
district heat,refined liquids,refined liquids,elec_heat,refined liquids
electricity,biomass,biomass (conv),elec_heat,biomass
electricity,coal,coal (conv pul),elec_heat,coal
electricity,gas,gas (CC),elec_heat,gas
electricity,gas,gas (steam/CT),elec_heat,gas
electricity,refined liquids,refined liquids (steam/CT),elec_heat,refined liquids
comm heating,biomass,biomass,bld_comm,biomass
comm others,biomass,biomass,bld_comm,biomass
comm heating,coal,coal,bld_comm,coal
comm others,coal,coal,bld_comm,coal
comm cooling,gas,gas,bld_comm,gas
comm heating,gas,gas,bld_comm,gas
comm others,gas,gas,bld_comm,gas
comm heating,refined liquids,refined liquids,bld_comm,refined liquids
comm others,refined liquids,refined liquids,bld_comm,refined liquids
resid heating,biomass,biomass,bld_resid,biomass
resid others,biomass,biomass,bld_resid,biomass
resid heating,coal,coal,bld_resid,coal
resid others,coal,coal,bld_resid,coal
resid cooling,gas,gas,bld_resid,gas
resid heating,gas,gas,bld_resid,gas
resid others,gas,gas,bld_resid,gas
resid heating,refined liquids,refined liquids,bld_resid,refined liquids
resid others,refined liquids,refined liquids,bld_resid,refined liquids
trn_freight,Freight Rail,Coal,trn_rail,coal
trn_freight,Freight Rail,Liquids,trn_rail,refined liquids
trn_freight,Domestic Ship,Liquids,trn_domestic ship,refined liquids
trn_shipping_intl,International Ship,Liquids,trn_intl_ship,refined liquids
trn_pass,Domestic Aviation,Liquids,trn_domestic air,refined liquids
trn_aviation_intl,International Aviation,Liquids,trn_intl_air,refined liquids
trn_pass_road,Bus,Liquids,Bus,refined liquids
trn_pass_road_LDV_2W,2W and 3W,Liquids,LDV_2W_3W,refined liquids
trn_pass_road_LDV_4W,Mini Car,Liquids,LDV_4W,refined liquids
trn_pass_road_LDV_4W,Car,Liquids,LDV_4W,refined liquids
trn_pass_road_LDV_4W,Large Car and Truck,Liquids,LDV_4W,refined liquids
trn_pass_road_LDV_4W,Car,Liquids,LDV_4W,refined liquids
trn_pass,Passenger Rail,Liquids,trn_rail,refined liquids
trn_freight_road,Light truck,Liquids,Truck,refined liquids
trn_pass_road_LDV_2W,2W and 3W,Liquids,LDV_2W_3W,refined liquids
trn_pass_road_LDV_2W,2W and 3W,Liquids,LDV_2W_3W,refined liquids
trn_pass_road_LDV,2W and 3W,Liquids,LDV_2W_3W,refined liquids
trn_freight_road,Heavy truck,Liquids,Truck,refined liquids
trn_freight_road,Heavy truck,Liquids,Truck,refined liquids
trn_freight_road,Heavy truck,Liquids,Truck,refined liquids
trn_freight_road,Heavy truck,Liquids,Truck,refined liquids
trn_freight_road,Light truck,Liquids,Truck,refined liquids
trn_freight_road,Light truck,Liquids,Truck,refined liquids
trn_freight_road,Light truck,Liquids,Truck,refined liquids
trn_freight_road,Light truck,Liquids,Truck,refined liquids
trn_freight_road,Light truck,Liquids,Truck,refined liquids
trn_freight_road,Light truck,Liquids,Truck,refined liquids
trn_freight_road,Heavy truck,Liquids,Truck,refined liquids
trn_freight_road,Light truck,Liquids,Truck,refined liquids
trn_freight_road,Medium truck,Liquids,Truck,refined liquids
trn_freight_road,Light truck,Liquids,Truck,refined liquids
trn_freight_road,Medium truck,Liquids,Truck,refined liquids
trn_freight_road,Medium truck,Liquids,Truck,refined liquids
trn_freight_road,Medium truck,Liquids,Truck,refined liquids
trn_freight_road,Medium truck,Liquids,Truck,refined liquids
trn_freight_road,Medium truck,Liquids,Truck,refined liquids
trn_freight_road,Medium truck,Liquids,Truck,refined liquids
trn_freight_road,Heavy truck,Liquids,Truck,refined liquids
trn_freight_road,Heavy truck,Liquids,Truck,refined liquids
trn_pass_road_LDV_4W,Large Car and Truck,Liquids,LDV_4W,refined liquids
trn_pass_road_LDV_4W,Large Car and Truck,Liquids,LDV_4W,refined liquids
trn_pass_road_LDV_4W,Large Car and Truck,Liquids,LDV_4W,refined liquids
trn_pass_road_LDV_4W,Car,Liquids,LDV_4W,refined liquids
trn_pass_road_LDV_4W,Large Car and Truck,Liquids,LDV_4W,refined liquids
trn_pass_road_bus,All,Liquids,Bus,refined liquids
trn_pass_road_bus,All,Liquids,Bus,refined liquids
resid heating,traditional biomass,traditional biomass,bld_resid,biomass
resid others,traditional biomass,traditional biomass,bld_resid,biomass
trn_pass_road_LDV_2W,2W and 3W,Liquids,LDV_2W_3W,refined liquids
agricultural energy use,mobile,refined liquids,agricultural energy use,refined liquids
agricultural energy use,stationary,refined liquids,agricultural energy use,refined liquids
agricultural energy use,stationary,gas,agricultural energy use,gas
agricultural energy use,stationary,biomass,agricultural energy use,biomass
agricultural energy use,stationary,coal,agricultural energy use,coal
agricultural energy use,stationary,heat,agricultural energy use,heat
mining energy use,mobile,refined liquids,mining energy use,refined liquids
mining energy use,stationary,refined liquids,mining energy use,refined liquids
mining energy use,stationary,gas,mining energy use,gas
mining energy use,stationary,biomass,mining energy use,biomass
mining energy use,stationary,coal,mining energy use,coal
mining energy use,stationary,heat,mining energy use,heat
construction energy use,mobile,refined liquids,construction energy use,refined liquids
construction energy use,stationary,refined liquids,construction energy use,refined liquids
construction energy use,stationary,gas,construction energy use,gas
construction energy use,stationary,biomass,construction energy use,biomass
construction energy use,stationary,coal,construction energy use,coal
construction energy use,stationary,heat,construction energy use,heat
chemical energy use,refined liquids,refined liquids,chemical energy use,refined liquids
chemical energy use,refined liquids,refined liquids cogen,chemical energy use,refined liquids
chemical energy use,refined liquids,refined liquids CCS,chemical energy use,refined liquids
chemical energy use,gas,gas,chemical energy use,gas
chemical energy use,gas,gas cogen,chemical energy use,gas
chemical energy use,gas,gas CCS,chemical energy use,gas
chemical energy use,biomass,biomass,chemical energy use,biomass
chemical energy use,biomass,biomass cogen,chemical energy use,biomass
chemical energy use,biomass,biomass CCS,chemical energy use,biomass
chemical energy use,coal,coal,chemical energy use,coal
chemical energy use,coal,coal cogen,chemical energy use,coal
chemical energy use,coal,coal CCS,chemical energy use,coal
chemical energy use,heat,heat,chemical energy use,heat
alumina,refined liquids,refined liquids,industry_energy,refined liquids
alumina,refined liquids,refined liquids cogen,industry_energy,refined liquids
alumina,refined liquids,refined liquids CCS,industry_energy,refined liquids
alumina,coal,coal,industry_energy,coal
alumina,coal,coal cogen,industry_energy,coal
alumina,coal,coal CCS,industry_energy,coal
alumina,gas,gas,industry_energy,gas
alumina,gas,gas cogen,industry_energy,gas
alumina,gas,gas CCS,industry_energy,gas
alumina,biomass,biomass,industry_energy,biomass
alumina,biomass,biomass cogen,industry_energy,biomass
alumina,biomass,biomass CCS,industry_energy,biomass
alumina,heat,heat,industry_energy,heat
iron and steel,coal,BLASTFUR,iron and steel,coal
iron and steel,refined liquids,BLASTFUR,iron and steel,refined liquids
iron and steel,gas,BLASTFUR,iron and steel,gas
iron and steel,coal,BLASTFUR CCS,iron and steel,coal
iron and steel,refined liquids,BLASTFUR CCS,iron and steel,refined liquids
iron and steel,gas,BLASTFUR CCS,iron and steel,gas
iron and steel,biomass,Biomass-based,iron and steel,biomass
iron and steel,refined liquids,Biomass-based,iron and steel,refined liquids
iron and steel,gas,Biomass-based,iron and steel,gas
iron and steel,coal,EAF with DRI,iron and steel,coal
iron and steel,refined liquids,EAF with DRI,iron and steel,refined liquids
iron and steel,gas,EAF with DRI,iron and steel,gas
iron and steel,coal,EAF with DRI CCS,iron and steel,coal
iron and steel,refined liquids,EAF with DRI CCS,iron and steel,refined liquids
iron and steel,gas,EAF with DRI CCS,iron and steel,gas
iron and steel,refined liquids,EAF with scrap,iron and steel,refined liquids
