supplysector,subsector,stub.technology,CEDS_agg_sector,CEDS_agg_fuel,,,,
industrial energy use,biomass,biomass,industry_energy,biomass,,ag_waste_burning,process,
industrial energy use,coal,coal,industry_energy,coal,,Animals,process,
industrial energy use,electricity,electricity,industry_energy,gas,,bld_comm,biomass,
industrial energy use,gas,gas,industry_energy,process,,bld_comm,coal,
industrial energy use,refined liquids,refined liquids,industry_energy,refined liquids,,bld_comm,gas,
N fertilizer,coal,coal,,,,bld_comm,refined liquids,
N fertilizer,gas,gas,,,,bld_resid,biomass,
N fertilizer,refined liquids,refined liquids,,,,bld_resid,coal,
process heat cement,biomass,biomass,,,,bld_resid,gas,
process heat cement,coal,coal,,,,bld_resid,refined liquids,
process heat cement,gas,gas,,,,cement,process,
process heat cement,refined liquids,refined liquids,,,,chemicals,process,
district heat,biomass,biomass,elec_heat,biomass,,coal,process,
district heat,coal,coal,elec_heat,coal,,elec_gen,biomass,
district heat,gas,gas,elec_heat,gas,,elec_gen,coal,
district heat,refined liquids,refined liquids,elec_heat,refined liquids,,elec_gen,gas,
electricity,biomass,biomass (conv),elec_gen,biomass,,elec_gen,refined liquids,
electricity,coal,coal (conv pul),elec_gen,coal,,elec_heat,biomass,
electricity,gas,gas (CC),elec_gen,gas,,elec_heat,coal,
electricity,gas,gas (steam/CT),elec_gen,gas,,elec_heat,gas,
electricity,refined liquids,refined liquids (steam/CT),elec_gen,refined liquids,,elec_heat,refined liquids,
comm heating,biomass,biomass,bld_comm,biomass,,forest,process,
comm others,biomass,biomass,bld_comm,biomass,,industry_energy,biomass,
comm heating,coal,coal,bld_comm,coal,,industry_energy,coal,
comm others,coal,coal,bld_comm,coal,,industry_energy,gas,
comm cooling,electricity,electricity,,,,industry_energy,process,
comm heating,electricity,electricity,,,,industry_energy,refined liquids,
comm others,electricity,electricity,,,,industry_processes,process,
comm cooling,gas,gas,bld_comm,gas,,landfills,process,
comm heating,gas,gas,bld_comm,gas,,metals,process,
comm others,gas,gas,bld_comm,gas,,not_in_gcam,process,
comm heating,refined liquids,refined liquids,bld_comm,refined liquids,,oil_gas,process,
comm others,refined liquids,refined liquids,bld_comm,refined liquids,,rice,process,
resid heating,biomass,biomass,bld_resid,biomass,,soil,process,
resid others,biomass,biomass,bld_resid,biomass,,solvents,process,
resid heating,coal,coal,bld_resid,coal,,trn_domestic air,biomass,
resid others,coal,coal,bld_resid,coal,,trn_domestic air,coal,
resid cooling,electricity,electricity,,,,trn_domestic air,gas,
